方案A,方案B,月份,方案A日均费用_元,方案B日均费用_元,天数,A相对B日均差_元
"Q3-S={6,12,18}",Q3-空集,2025-02,45843.793037085095,47055.07730266899,28,-1211.2842655838976
"Q3-S={6,12,18}",Q3-空集,2025-03,38635.63005971807,41439.621590275834,31,-2803.991530557767
"Q3-S={6,12,18}",Q3-空集,2025-04,34143.552700568485,36570.94279797475,30,-2427.3900974062635
"Q3-S={6,12,18}",Q3-空集,2025-05,34967.38476817256,35582.84955237985,31,-615.4647842072882
"Q3-S={6,12,18}",Q3-空集,2025-06,48203.08086012867,49901.71061877125,30,-1698.629758642579
"Q3-S={6,12,18}",Q3-空集,2025-07,53918.067293144675,56808.00522113866,31,-2889.937927993982
"Q3-S={6,12,18}",Q3-空集,2025-08,44692.9208187258,47152.43358886249,31,-2459.5127701366946
"Q3-S={6,12,18}",Q3-空集,2025-09,40977.56794394099,42355.201872413236,30,-1377.633928472249
"Q3-S={6,12,18}",Q3-空集,2025-10,39031.7231831578,40494.11399092157,31,-1462.390807763768
"Q3-S={6,12,18}",Q3-空集,2025-11,44826.2566922763,45997.73268599121,30,-1171.4759937149065
"Q3-S={6,12,18}",Q3-空集,2025-12,57664.127054831435,58138.01844943925,31,-473.89139460781735
