group,scenario,eta_c,eta_d,capacity_kWh,power_kW,S0_kWh,cash_total,相对基准费用变化_元,相对基准费用变化_pct,contract_kwh,emergency_kwh,emergency_slots,charge_kwh,discharge_kwh,unused_contract_kwh,S_min,S_max,S_end,numeric_ok
基准,基准,0.9,0.9,12000.0,5000.0,6000.0,14786101.353457492,0.0,0.0,22382650.65499936,245483.29306317572,6822,7112133.945271054,5760889.777650556,1596110.9422015036,1200.0,10800.0,10731.908909999998,True
效率,eta=sqrt(0.9),0.9486832980505138,0.9486832980505138,12000.0,5000.0,6000.0,14322473.618462227,-463627.73499526456,-3.1355644325192777,21767531.924733438,251361.81727156852,6797,7168547.916091083,6451761.215571974,1560321.4574968924,1200.0,10800.0,10728.225689078829,True
初始SOC,初始SOC=20%,0.9,0.9,12000.0,5000.0,2400.0,14786101.353457492,0.0,0.0,22382650.65499936,245483.29306317572,6822,7112133.945271054,5760889.777650556,1596110.9422015036,1200.0,10800.0,10731.908909999998,True
初始SOC,初始SOC=80%,0.9,0.9,12000.0,5000.0,9600.0,14786101.353457492,0.0,0.0,22382650.65499936,245483.29306317572,6822,7112133.945271054,5760889.777650556,1596110.9422015036,1200.0,10800.0,10731.908909999998,True
容量,容量-20%,0.9,0.9,9600.0,5000.0,6000.0,15392912.44250014,606811.0890426487,4.103928916331667,22312621.207605418,251029.7094923189,6963,5895896.887293483,4775707.960788722,1597110.7712209595,960.0,8640.0,8605.019909999999,True
容量,容量+20%,0.9,0.9,14400.0,5000.0,6000.0,14267282.6979955,-518818.65546199307,-3.5088265869398727,22240398.935844023,250574.677136834,6747,7877931.617286056,6381588.116233103,1457729.149787474,1440.0,12960.0,11532.776957619048,True
功率,功率-20%,0.9,0.9,12000.0,4000.0,6000.0,16318749.8972597,1532648.5438022092,10.36546759125132,21852664.586955424,563286.3237157683,8033,6932077.75110071,5624961.876708139,1520730.674759766,1200.0,10762.553703352654,8919.929909999999,True
功率,功率+20%,0.9,0.9,12000.0,6000.0,6000.0,14738026.270212166,-48075.08324532583,-0.3251369789514124,22390723.62614055,247951.10713103585,6974,7133518.337195423,5778181.335209293,1557840.5374608207,1200.0,10800.0,10765.01991,True
效率,eta=0.9/0.9,0.9,0.9,12000.0,5000.0,6000.0,14786101.353457492,0.0,0.0,22382650.65499936,245483.29306317572,6822,7112133.945271054,5760889.777650556,1596110.9422015036,1200.0,10800.0,10731.908909999998,True
初始SOC,初始SOC=50%,0.9,0.9,12000.0,5000.0,6000.0,14786101.353457492,0.0,0.0,22382650.65499936,245483.29306317572,6822,7112133.945271054,5760889.777650556,1596110.9422015036,1200.0,10800.0,10731.908909999998,True
