日期,月份,现金费_元,应急购电量_kWh,合同购电量_kWh,充电量_kWh,放电量_kWh,弃购量_kWh,弃光量_kWh,日末储电量_kWh
2025-02-01,2025-02,26057.921416833105,61.027645238095374,49066.54093517929,19287.770728493037,15623.094290079365,6497.419185360572,4587.297023309815,10800.0
2025-02-02,2025-02,60236.51567419848,53.331999999999994,94635.9982063492,24230.901216931212,19627.029985714285,9467.025746560847,2262.155278571429,10800.0
2025-02-03,2025-02,59310.666333967056,74.46720952380923,93233.10806349205,24297.58951499118,19681.04750714286,6500.708805643739,1973.407959523809,10800.0
2025-02-04,2025-02,60268.1683103192,153.16921426190515,93991.157715873,23806.500567078187,19369.673923833332,7551.287296413877,961.349040476191,10703.990595
2025-02-05,2025-02,58906.78428013476,46.918207142857746,92990.78710291005,24358.056093738975,19643.61697142857,6443.642018694887,1131.1971857142853,10800.0
2025-02-06,2025-02,59891.722587417134,49.06246666666652,93930.09673571428,24096.68381246325,19518.31388809524,7323.260139917699,1806.4719214285703,10800.0
2025-02-07,2025-02,24914.885841678908,68.47668809523776,47011.617711875355,19576.69550852439,15857.123361904763,6127.560205702527,5427.2823809817755,10800.0
2025-02-08,2025-02,22775.39103618719,97.45310061904718,42809.47502239858,19346.468375220455,15682.08801842857,3551.720021722513,4113.665027836566,10787.279295
2025-02-09,2025-02,57874.380080109404,461.9260034285694,88781.72656049381,23885.349864932385,19335.684756095237,4262.278843180482,876.2926452380955,10800.0
2025-02-10,2025-02,56398.079774492435,54.57516428571425,89156.40859121692,24149.844456449144,19612.12880952381,6929.722665720167,3416.9078595238093,10743.605778
2025-02-11,2025-02,55198.65340582143,156.2841210317465,86871.74366569959,24285.6862661552,19623.689264285716,5195.623553909463,1949.810097619048,10796.624235
2025-02-12,2025-02,54563.01413839447,201.94698333333318,85832.98606240447,23996.554445061724,19458.343849999997,4548.318638771314,1681.667678571429,10773.141179999999
2025-02-13,2025-02,54484.247393253,256.80224523809545,85309.27663321575,23708.377737595532,19179.613029452383,6171.470071810698,3536.365081833336,10800.0
2025-02-14,2025-02,22130.743134658333,468.7869161190461,38369.550195238095,20317.16499753086,16463.2448815,1577.5516761904762,3605.063502469136,10792.954184999999
