日期,月份,现金费_元,计划购电量_kWh,最终合同量_kWh,调整量_kWh,应急购电量_kWh,充电量_kWh,放电量_kWh,弃购量_kWh,弃光量_kWh,日末储电量_kWh
2025-02-01,2025-02,25002.19247433261,47441.348230895856,45405.320793903986,-2036.0274369918682,70.53319639528746,19503.45301568092,15797.796942701549,5262.778412835519,2129.243571151056,10800.0
2025-02-02,2025-02,59089.87591236357,93634.98853986914,91913.47444100387,-1721.5140988652697,50.31679536518084,23942.645602711294,19393.54293819615,7394.317120730595,1664.0935011233194,10800.0
2025-02-03,2025-02,59872.13001313046,95451.28799882921,91212.37763659048,-4238.910362238758,200.51416391360738,23609.131098469377,19123.3961897602,5417.532394265827,1292.7079975290658,10800.0
2025-02-04,2025-02,62053.995915078296,98278.15181268551,94984.41805772082,-3293.7337549646754,34.04986728331465,24152.16774556268,19563.25587390577,7684.948301445107,1549.7438019021292,10800.0
2025-02-05,2025-02,59940.52383550859,91993.43378070029,92880.19769470347,886.763914003177,94.5690676783706,23594.65551711955,19111.670968866834,6576.722158075163,1166.6330727206314,10800.0
2025-02-06,2025-02,60786.287293034526,98166.99169976951,92346.59396753054,-5820.397732238959,62.36531064068245,24005.040670345174,19444.082942979596,6074.093218470807,1502.8511156681739,10800.0
2025-02-07,2025-02,24471.284067545654,47398.654341163834,44173.381865650794,-3225.2724755130394,86.67194348536844,20267.94608782148,16417.03633113541,4335.5852861966305,4267.879099586791,10800.0
2025-02-08,2025-02,22267.73195982111,38812.828031295736,39438.0895432356,625.2615119398591,321.76643125894196,20574.659379703575,16665.474097559898,2597.520243068552,1675.9877326156416,10800.0
2025-02-09,2025-02,57660.7795526149,89683.0305104769,89297.69656441025,-385.3339460666633,175.46924187768337,23145.649795053065,18747.976333992985,4499.644450852646,1020.4319277085439,10800.0
2025-02-10,2025-02,54090.28216446315,85916.41494614554,83314.13045925001,-2602.2844868955226,208.00719540738922,23825.095048252602,19298.326989084606,3692.805707597526,975.9263045585556,10800.0
2025-02-11,2025-02,55815.33234802858,85325.75872279356,81677.63177347988,-3648.1269493136783,741.5985939952745,22992.400785577807,18623.844636318026,2513.877244629981,316.19984025205565,10800.0
2025-02-12,2025-02,55859.179141044755,85276.6928713092,81719.95845627802,-3556.734415031187,776.0110832287388,23196.1672634286,18788.895483377164,2516.6593409406455,305.3022851813562,10800.0
2025-02-13,2025-02,52817.103012974054,80477.91669318653,79160.6363049139,-1317.2803882726553,591.4889303670568,22825.56961596453,18488.711388931268,3402.821976234332,682.9660153466922,10800.0
2025-02-14,2025-02,22970.25058072873,37564.24993136855,38259.400670671486,695.1507393029392,658.6340464329173,19949.758945001733,16159.304745451404,2164.1977200154893,3161.58098087192,10800.0
2025-02-15,2025-02,22688.32640432318,37631.991568612255,37328.99089361914,-303.00067499311376,688.6190033830949,20688.098018877736,16757.359395290965,1540.4503607333327,3266.3298126821323,10800.0
2025-02-16,2025-02,57004.34790128828,86250.3773452517,80726.77126445046,-5523.606080801239,1114.7512205886992,22847.76459463571,18506.68932165492,1877.2718007451112,245.79631131327818,10800.0
2025-02-17,2025-02,53880.95244380855,86012.45997673293,78307.64167538329,-7704.81830134964,659.5740816595542,22454.346357922746,18188.02054991743,2482.340739425434,1034.686042945429,10800.0
2025-02-18,2025-02,53565.95658995556,76964.30283733192,79775.24302322333,2810.940185891416,481.69917726425825,20351.968765997277,16485.094700457794,2800.6152253449372,1498.0651262698418,10800.0
2025-02-19,2025-02,53209.87802323928,77244.31504487403,78929.11871946932,1684.8036745952884,717.7845980281543,22023.004498130438,17838.633643485657,2315.628516647927,267.5765628714329,10800.0
2025-02-20,2025-02,52514.702845331405,80152.34105198558,78067.17131879707,-2085.1697331885102,773.341466988224,21997.637944279333,17818.086734866265,2925.278419467474,742.5494235714268,10800.0
2025-02-21,2025-02,20600.813587334003,36395.031918872024,36557.20570590655,162.17378703452636,408.0178853229356,20574.988106748642,16665.7403664664,1687.734598199885,5807.979219414027,10800.0
2025-02-22,2025-02,21261.82816355882,36775.60474407795,36679.99525621922,-95.60948785873234,471.8103838872695,20654.52170103295,16730.16257783669,1921.4742491360455,3461.2093844408532,10800.0
2025-02-23,2025-02,52565.16826437796,79606.615556775,78110.8741163818,-1495.741440393182,732.9546879732554,22016.153140194863,17833.08404355784,2389.2592391604426,739.646785224272,10800.0
2025-02-24,2025-02,51887.986162798654,75885.77978924237,76920.86489252589,1035.0851032835226,577.7174778744361,20068.547080771,16255.523135424512,3983.2424216163167,1499.282386770856,10800.0
2025-02-25,2025-02,49675.91462550624,78784.32384091272,73427.03836983976,-5357.285471072952,668.2337448042812,21361.23711258517,17302.60206119399,3173.6528723616657,1041.6609575578684,10800.0
2025-02-26,2025-02,51713.07104003216,72187.23059135073,75991.65684878199,3804.426257431258,541.2716686271892,18948.64310442924,15348.400914587688,3314.214572061972,803.6237221723269,10800.0
2025-02-27,2025-02,49991.8137415334,73031.39212639065,74349.76801043071,1318.3758840400767,649.626178602296,21832.31503814204,17684.17518089505,3266.1282379734066,628.5418938126288,10800.0
2025-02-28,2025-02,20368.49697462612,35583.44246543241,35662.05873485461,78.61626942220227,438.1316014339623,21061.029613417457,17059.433986868145,1999.5875596125893,6806.4136001266725,10800.0
2025-03-01,2025-03,20843.168376013105,38147.20474879297,37622.5291047651,-524.6756440278625,288.4730085834049,18720.34836295674,15163.482173994958,2713.407832921055,7981.962158132335,10800.0
2025-03-02,2025-03,54744.02697012516,82078.4410194289,83856.95032161064,1778.5093021817418,307.7461155836567,23472.052074145606,19012.362180057942,5286.286496360605,2060.412980079365,10800.0
2025-03-03,2025-03,53510.17132428837,84096.06287007678,81185.4364488801,-2910.6264211966936,322.71411528238445,23507.37498552003,19040.973738271223,3734.444051339793,1290.158632240546,10800.0
2025-03-04,2025-03,52617.683901373464,75072.47491897075,78245.67557008192,3173.2006511111804,473.0659957376288,20070.362217398797,16256.993396093021,3643.1548940581306,2062.7599171223133,10800.0
2025-03-05,2025-03,49701.6829703271,78826.19785618968,75695.75731144188,-3130.4405447478084,448.2220751827216,22837.97223591255,18498.757511089167,3743.329487531888,1930.9631576026725,10800.0
2025-03-06,2025-03,48548.45253892672,73489.19632132807,75144.45732502875,1655.261003700678,277.01652708053285,21308.73235502708,17260.07320757194,3661.763313143849,1770.3972581769585,10800.0
2025-03-07,2025-03,19323.747133749242,35806.70287644558,34987.76161396184,-818.9412624837448,238.43239761347965,19841.16218718236,16071.34137161771,2317.1753703951163,8216.91229228222,10800.0
2025-03-08,2025-03,18586.993354060378,33068.861420645575,33257.99383329082,189.13241264523867,340.5153577131388,20663.880151603007,16737.742922798432,1667.9854509882794,8941.246994544434,10800.0
2025-03-09,2025-03,46080.358908972776,74571.89294169287,70608.83998871727,-3963.0529529755836,356.9727192534237,22043.77915365468,17855.46111446029,2451.801615828596,992.1680029477147,10800.0
2025-03-10,2025-03,50565.84111696039,71653.8778558492,74794.17254685756,3140.2946910083488,658.3340863809138,20100.31911221063,16281.25848089061,2872.6319427689714,718.7426091494825,10800.0
2025-03-11,2025-03,50019.08029447975,63295.01833668618,70218.29860979333,6923.2802731071515,459.2661853611195,14758.404409722116,11954.307571874911,3205.1404745475984,729.408682759661,10800.0
2025-03-12,2025-03,45268.67605154023,73234.19949957149,69373.98947965325,-3860.2100199182405,442.0102845455723,21536.109039139472,17444.248321702973,2309.485362789172,979.1190006398167,10800.0
2025-03-13,2025-03,50192.48976942307,72933.31243616957,74748.92135225772,1815.6089160881475,740.2279501973387,20492.245454242806,16598.71881793667,3596.133234562231,453.8714149200333,10800.0
2025-03-14,2025-03,18791.304777580393,32392.76008649771,32869.88628847529,477.1262019775788,377.6919819849214,20633.464045056546,16713.105876495807,2030.321734884686,11267.472383681448,10800.0
2025-03-15,2025-03,18679.39784927352,32749.905701828153,33252.44890680918,502.54320498102265,274.48098130968475,20550.799392936628,16646.14750827867,1409.0661486432666,7289.086704817633,10800.0
2025-03-16,2025-03,47372.83577233381,70289.91061312011,71595.29786473903,1305.3872516188967,282.18897210755256,18949.925964746973,15349.440031445049,3723.8027748226395,1202.1511953886684,10800.0
2025-03-17,2025-03,44641.016556672854,66371.0020854419,65062.30327268044,-1308.698812761454,342.1398181987431,19077.276622043115,15452.594063854925,3261.3263243271867,660.3027750304716,10800.0
2025-03-18,2025-03,45547.0069555969,74587.38269254194,69457.76289189304,-5129.61980064889,381.8638531529773,21368.243507147476,17308.27724078946,3293.393601261323,1360.308510760026,10800.0
2025-03-19,2025-03,46471.97741488987,61490.92232815815,67505.62826280615,6014.7059346479855,119.9335277809367,15946.675044732472,12916.806786233301,3770.927849219269,1359.2952328686422,10800.0
2025-03-20,2025-03,46105.004602908804,70348.66922141728,68886.78841755477,-1461.8808038625184,568.043293283821,20976.790550632802,16991.200346012567,2919.9516971160265,340.3279924356667,10800.0
2025-03-21,2025-03,17434.24222487965,31816.040501708037,31654.385950716496,-161.65455099153994,329.0909684910036,20607.51998347823,16692.09118661737,1258.240874917277,14776.342730762695,10800.0
2025-03-22,2025-03,17388.16151860352,33505.1392716931,33259.93849201055,-245.20077968253992,45.511644858515695,20120.56221508194,16297.655394216375,2644.470693218624,10956.872889451555,10800.0
2025-03-23,2025-03,44043.9720633309,71512.83663273207,68534.76729473667,-2978.069337995398,383.46242557999733,21320.695632736606,17269.763462516654,3872.2014338620384,2225.375999568014,10800.0
2025-03-24,2025-03,42670.42262511235,67115.5301103784,66419.74977253689,-695.780337841517,258.41670752851905,21049.597083545585,17050.17363767192,3286.783666401917,1393.462284456495,10800.0
2025-03-25,2025-03,45250.7644851187,74290.9242979277,67012.47887751301,-7278.44542041469,607.3191481393008,21318.79773617089,17268.22616629842,1933.0931686651202,686.008570448064,10800.0
2025-03-26,2025-03,40355.0173315805,63579.98418426581,63461.73162771198,-118.25255655383444,191.2153154078909,21051.896685684926,17052.036315404792,2381.149267647445,1679.382438525629,10800.0
