槽序号,原始列标签,自然区间,是否首槽,是否末槽,审计项,结果,判定,方案,价格整体平移槽数,重放费用_元,相对原映射_元
1.0,00:10:00,0:00-0:10,True,False,,,,,,,
2.0,00:20:00,0:10-0:20,False,False,,,,,,,
3.0,00:30:00,0:20-0:30,False,False,,,,,,,
4.0,00:40:00,0:30-0:40,False,False,,,,,,,
5.0,00:50:00,0:40-0:50,False,False,,,,,,,
6.0,01:00:00,0:50-1:00,False,False,,,,,,,
7.0,01:10:00,1:00-1:10,False,False,,,,,,,
8.0,01:20:00,1:10-1:20,False,False,,,,,,,
9.0,01:30:00,1:20-1:30,False,False,,,,,,,
10.0,01:40:00,1:30-1:40,False,False,,,,,,,
11.0,01:50:00,1:40-1:50,False,False,,,,,,,
12.0,02:00:00,1:50-2:00,False,False,,,,,,,
13.0,02:10:00,2:00-2:10,False,False,,,,,,,
14.0,02:20:00,2:10-2:20,False,False,,,,,,,
15.0,02:30:00,2:20-2:30,False,False,,,,,,,
16.0,02:40:00,2:30-2:40,False,False,,,,,,,
17.0,02:50:00,2:40-2:50,False,False,,,,,,,
18.0,03:00:00,2:50-3:00,False,False,,,,,,,
19.0,03:10:00,3:00-3:10,False,False,,,,,,,
20.0,03:20:00,3:10-3:20,False,False,,,,,,,
21.0,03:30:00,3:20-3:30,False,False,,,,,,,
22.0,03:40:00,3:30-3:40,False,False,,,,,,,
23.0,03:50:00,3:40-3:50,False,False,,,,,,,
24.0,04:00:00,3:50-4:00,False,False,,,,,,,
25.0,04:10:00,4:00-4:10,False,False,,,,,,,
26.0,04:20:00,4:10-4:20,False,False,,,,,,,
27.0,04:30:00,4:20-4:30,False,False,,,,,,,
28.0,04:40:00,4:30-4:40,False,False,,,,,,,
29.0,04:50:00,4:40-4:50,False,False,,,,,,,
30.0,05:00:00,4:50-5:00,False,False,,,,,,,
31.0,05:10:00,5:00-5:10,False,False,,,,,,,
32.0,05:20:00,5:10-5:20,False,False,,,,,,,
33.0,05:30:00,5:20-5:30,False,False,,,,,,,
34.0,05:40:00,5:30-5:40,False,False,,,,,,,
35.0,05:50:00,5:40-5:50,False,False,,,,,,,
36.0,06:00:00,5:50-6:00,False,False,,,,,,,
37.0,06:10:00,6:00-6:10,False,False,,,,,,,
38.0,06:20:00,6:10-6:20,False,False,,,,,,,
39.0,06:30:00,6:20-6:30,False,False,,,,,,,
40.0,06:40:00,6:30-6:40,False,False,,,,,,,
41.0,06:50:00,6:40-6:50,False,False,,,,,,,
42.0,07:00:00,6:50-7:00,False,False,,,,,,,
43.0,07:10:00,7:00-7:10,False,False,,,,,,,
44.0,07:20:00,7:10-7:20,False,False,,,,,,,
45.0,07:30:00,7:20-7:30,False,False,,,,,,,
46.0,07:40:00,7:30-7:40,False,False,,,,,,,
