group,scenario,eta_c,eta_d,capacity_kWh,power_kW,S0_kWh,cash_total,相对基准费用变化_元,相对基准费用变化_pct,contract_kwh,emergency_kwh,emergency_slots,charge_kwh,discharge_kwh,unused_contract_kwh,S_min,S_max,S_end,numeric_ok
基准,基准,0.9,0.9,12000.0,5000.0,6000.0,14917501.487385403,0.0,0.0,23165422.81918828,156695.85338832185,4675,7163298.76431501,5802329.168881658,2102608.015240967,1200.0,10800.0,10736.478015,True
效率,eta=sqrt(0.9),0.9486832980505138,0.9486832980505138,12000.0,5000.0,6000.0,14440441.253595645,-477060.2337897606,-3.197990187520172,22546998.72552459,162341.19976581266,4649,7243516.654348472,6519228.510898626,2023921.6591072497,1200.0,10800.0,10733.041948634982,True
初始SOC,初始SOC=20%,0.9,0.9,12000.0,5000.0,2400.0,14917501.487385403,0.0,0.0,23165422.81918828,156695.85338832185,4675,7163298.76431501,5802329.168881658,2102608.015240967,1200.0,10800.0,10736.478015,True
初始SOC,初始SOC=80%,0.9,0.9,12000.0,5000.0,9600.0,14917501.487385403,0.0,0.0,23165422.81918828,156695.85338832185,4675,7163298.76431501,5802329.168881658,2102608.015240967,1200.0,10800.0,10736.478015,True
容量,容量-20%,0.9,0.9,9600.0,5000.0,6000.0,15525067.288943505,607565.8015581015,4.0728388870741705,23086047.079753727,161674.68846125045,4782,5950634.162299372,4820044.225998992,2100776.122781828,960.0,8640.0,8606.050514999999,True
容量,容量+20%,0.9,0.9,14400.0,5000.0,6000.0,14381362.90292697,-536138.5844584331,-3.594024005372509,22991712.68140488,161281.5413297225,4630,7928915.450676277,6423575.556374008,1922473.097948263,1440.0,12960.0,11635.400229285711,True
功率,功率-20%,0.9,0.9,12000.0,4000.0,6000.0,15031699.298420375,114197.81103497373,0.7655290742323073,23018033.414014146,159343.41297422868,4570,6795425.676098804,5505706.071095221,2111797.1102448897,1200.0,10800.0,8928.540015,True
功率,功率+20%,0.9,0.9,12000.0,6000.0,6000.0,15805180.4342615,887678.9468760956,5.950587285858422,22709940.87859961,403733.9228706005,5982,7521531.46381313,6099539.060000233,1779761.635225819,1200.0,10751.48977725521,10265.472176284937,True
效率,eta=0.9/0.9,0.9,0.9,12000.0,5000.0,6000.0,14917501.487385403,0.0,0.0,23165422.81918828,156695.85338832185,4675,7163298.76431501,5802329.168881658,2102608.015240967,1200.0,10800.0,10736.478015,True
初始SOC,初始SOC=50%,0.9,0.9,12000.0,5000.0,6000.0,14917501.487385403,0.0,0.0,23165422.81918828,156695.85338832185,4675,7163298.76431501,5802329.168881658,2102608.015240967,1200.0,10800.0,10736.478015,True
