问题,方案,口径A总费_元,口径B总费_元,口径B-A_元,口径A排序,口径B排序
Q3,main,14664345.399456076,14991205.573840365,326860.1743842872,1.0,4.0
Q3,abl_none,15230376.117912792,15230376.117912792,0.0,8.0,7.0
Q3,abl_1,15038617.00496167,15374206.120755352,335589.1157936824,7.0,8.0
Q3,abl_2,14746909.958681779,14938335.514250377,191425.55556859734,4.0,3.0
Q3,abl_3,14805047.535675902,14808406.7144361,3359.1787601997567,5.0,1.0
Q3,abl_1_2,14679898.818455614,15006308.565209003,326409.7467533903,2.0,5.0
Q3,abl_1_3,14864586.675859258,15202066.21487794,337479.5390186841,6.0,6.0
Q3,abl_2_3,14710994.091780603,14903974.866868671,192980.7750880698,3.0,2.0
Q3主方案,Q3主方案,14664345.399456076,14991205.573840365,326860.1743842872,1.0,1.0
Q4,Q4-3_median30,15465962.604129817,15807140.275293775,341177.6711639591,1.0,1.0
