方案,日期,全天购电费用_元,计划购电量_kWh,最终合同量_kWh,充电量_kWh,放电量_kWh,应急购电量_kWh,弃购量_kWh,弃光量_kWh,0时SOC_kWh,24时SOC_kWh
Q2,2025-03-20,45158.04648245654,70894.4853158436,70894.4853158436,21437.12889620811,17368.35732142857,542.7372166666673,3397.3477644326863,1762.141376631393,10800.0,10795.241205
Q2,2025-06-21,24282.589011662396,41689.26875769047,41689.26875769047,19238.463532539685,15583.155461357144,9.357338095238207,6829.57831409788,11878.99931050529,10800.0,10800.0
Q2,2025-09-23,47616.380213593635,72083.06049945296,72083.06049945296,21291.250832275127,17216.265540642857,600.287082714285,4663.845533392122,1827.9011738095237,10760.831685000001,10793.7735
Q2,2025-12-21,66632.0301921151,101642.57458333333,101642.57458333333,25185.432275102878,20361.076116833334,234.75050697619048,6561.101501087596,1454.0855642857143,10756.52886,10800.0
Q3,2025-03-20,46105.004602908804,70348.66922141728,68886.78841755477,20976.790550632802,16991.200346012567,568.043293283821,2919.9516971160265,340.3279924356667,10800.0,10800.0
Q3,2025-06-21,22415.54226839852,39130.38337942152,39003.406367325275,19912.264010345192,16128.933848379605,49.30775360767251,4546.067893854146,11388.575665113221,10800.0,10800.0
Q3,2025-09-23,46491.8167095236,71290.37754464059,70117.18171678939,21461.580146200147,17383.87991842212,474.1025883540039,3827.829602668649,569.1388913633883,10800.0,10800.0
Q3,2025-12-21,66196.7608278867,98676.5383285777,98449.56712048253,23804.312095608027,19281.492797442505,391.83188018942536,4655.759605503012,625.0382303367774,10800.0,10800.0
Q4-2,2025-03-20,49615.69632300861,70341.99263394618,70341.99263394618,21363.83787850284,17304.708681587304,1153.6990642815886,4861.731464662326,365.8692199832512,10800.0,10800.0
Q4-2,2025-06-21,19799.009895200208,39288.716712754846,39288.716712754846,20556.692347207143,16650.920801237786,49.30775360767251,4476.475824383206,11621.036696009964,10800.0,10800.0
Q4-2,2025-09-23,48796.37334173359,71290.37754464059,71290.37754464059,21340.113070292937,17285.49158693728,401.7764468437386,4400.699708993061,1120.217215802285,10800.0,10800.0
Q4-2,2025-12-21,76915.15568454425,98334.63429319297,98334.63429319297,22909.111841326674,18556.380591474604,447.50264234229263,4747.384269516511,644.2395495000267,10800.0,10800.0
Q4-3,2025-03-20,47091.9151663126,70341.99263394618,68886.78841755477,21027.265623433115,17032.08515498082,568.043293283821,2910.3617832839655,340.32764243566675,10800.0,10800.0
Q4-3,2025-06-21,19805.131053805202,39288.716712754846,39161.922461145914,20500.935903238886,16605.7580816235,49.30775360767251,4448.232455540937,11533.079537597267,10800.0,10800.0
Q4-3,2025-09-23,48810.177144361405,71290.37754464059,70117.07188016451,21458.577102319992,17381.44745287919,472.56771368065637,3826.7025363743105,569.1918246967217,10800.0,10800.0
Q4-3,2025-12-21,77802.76761817385,98334.63429319297,98154.24028890734,22033.838204276493,17847.40894546396,350.76867241164763,4831.524507677801,449.273328161988,10800.0,10800.0
