日期,月份,现金费_元,应急购电量_kWh,合同购电量_kWh,充电量_kWh,放电量_kWh,弃购量_kWh,弃光量_kWh,日末储电量_kWh
2025-02-01,2025-02,27874.612868312885,13.978928571428582,52283.25031894032,19215.711079757006,15564.725974603174,8781.280590623654,5486.78761840094,10800.0
2025-02-02,2025-02,63167.74834199602,17.018333333333317,98576.82724080981,24120.65351263962,19537.729345238098,12919.80534483686,2734.838111904765,10800.0
2025-02-03,2025-02,62055.33355383135,1.7093738095236404,97171.60928457818,24224.36139329806,19621.732728571427,9702.167860327747,2651.6056333333327,10800.0
2025-02-04,2025-02,62527.396872845275,1.1368683772161603e-13,97835.1543595047,23754.927078947676,19292.31171904762,10671.753830557023,1505.921219047622,10743.532460999999
2025-02-05,2025-02,60228.51119359154,4.921219047619212,94920.63888865078,24245.173740158727,19587.769944428568,8105.449505634922,1414.2798230000008,10800.0
2025-02-06,2025-02,60472.808026276354,35.0607,94784.5106579365,24023.932039486568,19459.384951984128,8062.757282338824,1921.20977142857,10800.0
2025-02-07,2025-02,24953.25064614224,68.47668809523776,47100.02119044679,19576.69550852439,15857.123361904763,6212.364339035859,5430.881726219871,10800.0
2025-02-08,2025-02,22758.580287746183,103.45803228571253,42726.339340329214,19343.69273941799,15679.839753428572,3503.7399216637236,4085.04174829512,10787.279295
2025-02-09,2025-02,58257.494905099986,577.5440171190454,88562.80821134626,23854.034101410933,19310.31898764286,4129.015840887712,912.205307142857,10800.0
2025-02-10,2025-02,56743.19495820428,46.44731428571417,89699.37019074074,24136.549812551435,19588.831016666667,7362.450323427396,3509.0108023809526,10757.527035
2025-02-11,2025-02,55650.77019302489,95.1848214285717,87911.19043618458,24251.601301499115,19605.571385714284,6055.143560875951,2084.6046476190477,10800.0
2025-02-12,2025-02,55262.08412298311,120.23477619047608,87344.64498215755,23984.64147810112,19440.458104761907,5700.097468342152,1953.862783333333,10785.668324999999
2025-02-13,2025-02,55189.17074676837,144.2790809523811,86861.7319313639,23952.664448001175,19388.759695380955,7259.931028743685,3852.6962142857155,10800.0
2025-02-14,2025-02,21775.602153858323,266.7781528571418,39196.58435714285,20245.230263962378,16398.636513809528,2195.750793738972,3619.216149441507,10800.0
2025-02-15,2025-02,21522.818449643568,297.42164047619013,38687.33398333333,20392.827472957084,16589.30973809524,2145.480171663723,3755.6666172839523,10720.97835
2025-02-16,2025-02,54601.469337798626,486.18769761904787,84231.8938563198,23163.63887998236,18698.452273785715,3867.13430728983,1008.3815404523818,10792.195259999999
2025-02-17,2025-02,52628.048540426425,147.98332619047676,83563.0605047619,22857.494625485007,18511.28910714286,5192.615857848326,2988.359288095239,10795.841414999999
2025-02-18,2025-02,52278.229183782496,145.07939047619044,83083.08522499999,22713.761149706057,18394.403804761907,4770.409169341565,2047.0103178571435,10800.0
2025-02-19,2025-02,53192.368251765256,482.5093234999998,82390.32585290476,22735.95721919459,18476.77790454762,4824.282071281597,910.0464071428571,10732.60827
2025-02-20,2025-02,51886.273977940305,197.89341904761835,82128.86187866665,22661.699044708992,18322.760623714286,5234.962938624338,1759.720204761903,10769.514495
2025-02-21,2025-02,20168.04634611399,74.52247619047617,38041.17122116666,20008.09781978248,16186.976755023808,2628.0927730158696,6106.217826249265,10791.272804999999
2025-02-22,2025-02,20412.3624147062,145.4494547619044,37878.7584802619,20174.527629688415,16358.60554354762,2261.2982208994736,4102.224744650204,10772.11929
2025-02-23,2025-02,51727.43052043894,369.9817923095229,81144.08677857142,22676.89363353909,18349.69609816667,4145.907568841856,1509.1097833333333,10792.77234
2025-02-24,2025-02,50262.95294681352,160.16544047619053,80252.22203290476,22693.30730861258,18375.23711947619,4997.465577101705,2893.818090476191,10799.818785
2025-02-25,2025-02,50145.48806624552,139.40491904761882,80203.90035452381,22780.132352322158,18462.066657380954,5999.996576249268,4203.919769047619,10788.530505
2025-02-26,2025-02,50894.80874421027,403.34998947618965,79742.34820305702,22625.472360141088,18316.31006621429,4305.881155749266,2715.8067095238102,10800.0
2025-02-27,2025-02,50226.22072422619,396.00222142857126,78536.23057733686,22848.87344797178,18507.587492857143,5890.485736507939,1743.8769071428574,10800.0
2025-02-28,2025-02,20314.926742803094,290.17187857142835,36694.332566666664,20425.69149323927,16549.83615952381,2286.8970369782464,7529.158524544387,10794.4155
2025-03-01,2025-03,20309.19310826714,272.8164785714285,36697.671807142855,19714.809960846553,15974.753764285713,3070.8194127865972,6500.846743033512,10788.01806
2025-03-02,2025-03,63837.542499670555,3086.530976071427,77849.80842689594,21110.737504085828,17099.509026309526,3745.1262490005884,821.6776095238088,10788.22734
2025-03-03,2025-03,57266.7325676159,1948.1783460476179,78120.71311695236,22320.62285152851,18082.782982238095,3481.985996090534,331.9189642857136,10784.806815
2025-03-04,2025-03,49846.55492902738,153.656547619047,79730.86957380951,22643.522372104642,18374.98370840476,4708.120308847737,1708.4092155476174,10747.328384999999
2025-03-05,2025-03,50303.46422939884,83.00898095238072,80733.24501835713,22909.801596061145,18524.318986309525,6929.0329777483785,3371.2663951428567,10783.57317
2025-03-06,2025-03,50157.544629727854,98.05964761904809,80302.01564285715,22554.67775279247,18285.896004761908,6313.575006731333,3877.0644023809523,10765.120919999998
2025-03-07,2025-03,19065.127624682944,61.74189285714342,36237.37161009524,19467.17426660788,15770.126708952379,3073.704195649616,8606.07621631393,10763.21475
2025-03-08,2025-03,18808.329453434402,192.2100404761906,34584.62857738095,20245.249959288652,16380.087334523807,2546.119616078776,9302.416860346857,10783.842675
2025-03-09,2025-03,48186.20280932717,119.26318571428588,77407.6558835338,22715.37885,18386.010909,6525.4830163433235,3338.54306190476,10798.78263
2025-03-10,2025-03,51649.64455251928,926.7590190476192,76252.58191804762,22058.341247707234,17881.14500814286,3221.4752847442633,1738.597962786592,10783.350855
2025-03-11,2025-03,47250.55511352036,224.85510238095236,75980.55980637859,22492.036010052907,18236.270132142854,4714.910695135214,3295.8195357142854,10763.660894999999
2025-03-12,2025-03,46695.48341547416,232.35531904761842,75112.9790339506,22189.03491046443,17964.20069047619,4871.028923486182,3813.936526190474,10773.569325
2025-03-13,2025-03,55753.56003978742,1991.948760285717,74165.28114071133,21351.348706378598,17280.077670666666,3293.186541475603,1247.154307142856,10789.69686
2025-03-14,2025-03,18524.151248515154,245.86033571428652,33507.1264307619,20485.05194897119,16595.279040666668,2385.3265285714288,11448.4613462669,10787.044679999999
2025-03-15,2025-03,18427.925836040078,157.86011666666724,33933.64940942857,20234.316642298643,16423.176566761904,1882.7148289829524,7473.529471575543,10749.955695
2025-03-16,2025-03,47009.40255313245,380.27761190476247,74674.23791828335,21702.359052645494,17533.870958142856,5137.458803733098,2397.5216986190485,10800.0
