方案,tag,mode,H,updates,cash_total,plan_kwh,contract_kwh,adjust_up_kwh,adjust_down_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,emergency_kwh,emergency_slots,S_min,S_max,S_end,clip_charge,clip_discharge,fallback,lp_ms_median,lp_ms_p95,lp_ms_max,cov_Ncov,cov_pinball,cov_resid_MAE_kW,cov_resid_RMSE_kW
主配置：分层储备 + H=36 + 三次调整,main,stratified,36,1002,14968496.843265679,22886635.15205593,22881901.555786304,525660.0277627781,530393.6240324058,6733809.167002924,5454385.425272369,2058092.3600531733,87488.7580637784,3331,1200.0,10800.0,10800.0,1652,3948,0,4.459999996470287,16.53112499479903,134.07050000387244,0.8943155355954757,52.86139132500156,217.1732781867168,296.7100240586232
对照：统一逐槽分位储备 + H=36,uniform,uniform,36,1002,14906791.435054004,22679417.338920455,22674249.004658252,526065.7635395564,531234.0978017575,6751481.171367129,5468756.918593876,1888266.909242345,106350.11507094195,4492,1200.0,10800.0,10736.478014999999,1849,3810,0,4.474650006159209,16.097049992822576,124.89019997883588,0.8655189620758483,52.9435254839372,217.1732781867168,296.7100240586232
对照：分层储备 + H=72,h72,stratified,72,1002,14966969.648486722,22886635.15205593,22880277.09804903,524127.8019401963,530485.8559470971,6734242.193440994,5454736.176687206,2058020.211713868,87755.20825595023,3337,1200.0,10800.0,10800.0,1654,3948,0,6.447299994761124,21.56134999677306,127.22180000855587,0.8943155355954757,52.86139132500156,217.1732781867168,296.7100240586232
消融 空集：仅 0:00 预报，仍共享每 10 min 重算机会,abl_none,stratified,36,0,15587243.578201748,23937009.857311644,23937009.857311644,0.0,0.0,7038381.753853209,5701089.2206211,2791107.6953681037,142668.74786883942,2964,1200.0,10800.0,10800.0,1986,4051,0,4.263750015525147,16.34972498868592,118.17819997668266,0.8968937125748503,78.27435296100924,310.99072945504827,455.14556505136665
消融 {6},abl_1,stratified,36,334,15324029.746438863,23212522.088690016,23176400.39634803,498880.25354802253,535001.9458900057,6709892.068287106,5435012.575312557,2358779.4959013257,113901.88966935752,3210,1200.0,10800.0,10800.0,1842,4058,0,4.550849989755079,16.58454999414971,100.26840001228265,0.8947105788423154,60.37254814766962,245.2407902146633,341.79327384262825
消融 {12},abl_2,stratified,36,334,15178645.359031428,23247894.99532724,23296983.356966645,342749.85998378805,293661.4983443889,6843461.0782692935,5543203.4733981285,2327679.4016949856,86403.22089438923,2948,1200.0,10800.0,10800.0,1839,3976,0,4.491900006541982,16.28565001010429,191.31369999377057,0.8953759148369926,62.74748750116346,251.44319708493896,360.6052977611312
消融 {18},abl_3,stratified,36,334,15281353.413587226,23922276.24167073,23983190.824554868,65781.28415236143,4866.701268223999,7178128.552720444,5814291.116402394,2661927.3482061382,95155.807646974,3046,1200.0,10800.0,10792.234779073642,1892,3951,0,4.76709999202285,16.188850007893052,101.37109999777749,0.8952511643379907,75.78254602634895,310.92616846975034,455.10719184957645
"消融 {6,12}",abl_1_2,stratified,36,668,15010282.406692263,22897627.64048758,22883641.41665446,515315.9482908705,529302.172123994,6713082.01605152,5437596.433001731,2076124.463307304,92337.00850578333,3299,1200.0,10800.0,10800.0,1713,3990,0,4.226149991154671,12.563300006149802,81.59689998137765,0.893920492348636,52.980893791640135,217.18837188086792,296.74640944231714
"消融 {6,18}",abl_1_3,stratified,36,668,15199272.581073053,23189712.85165236,23184730.51000738,533402.6042388419,538384.9458838217,6779734.695917074,5491585.103692831,2308496.4610009855,96972.22305411095,3309,1200.0,10800.0,10800.0,1735,3953,0,3.708950011059642,6.828825018601492,80.63279997440986,0.89416999334664,59.565395486869306,245.16587213039196,341.72402630326826
"消融 {12,18}",abl_2_3,stratified,36,668,15086848.61833207,23231935.891309682,23281575.361139223,347518.56613078,297879.0963012357,6912046.6174498275,5598767.680996308,2235196.2940855613,81150.49726952834,3096,1200.0,10800.0,10788.97682005759,1796,3915,0,4.02330000360962,6.818474997999147,88.76669997698627,0.8939620758483033,61.41432748224054,251.42810339078784,360.5753563866443
