日期,月份,现金费_元,计划购电量_kWh,最终合同量_kWh,调整量_kWh,应急购电量_kWh,充电量_kWh,放电量_kWh,弃购量_kWh,弃光量_kWh,日末储电量_kWh
2025-02-01,2025-02,27666.81461992491,52213.64771031196,50326.77006284836,-1886.8776474636015,0.0,18878.467713009642,15291.558847537814,8690.69270208869,3670.9925619545115,10800.0
2025-02-02,2025-02,62573.41915899361,98520.44275236616,96783.80609573817,-1736.6366566279848,2.9069367521366303,23672.561111685594,19174.774500465333,11715.481154541756,2217.1673167282984,10800.0
2025-02-03,2025-02,62688.95734918833,100486.12132878978,96340.56181664857,-4145.559512141217,8.087363703703772,24001.452133413128,19441.176228064636,9548.800449902112,2022.6563251016755,10800.0
2025-02-04,2025-02,65664.44015725367,103312.38081211608,100089.47866693707,-3222.902145179022,0.0,24096.88346153175,19544.80220787719,12241.372805405324,2101.160657877193,10770.748217737255
2025-02-05,2025-02,62400.79392517601,95671.08228498405,96607.75000495162,936.6677199675912,14.54219317421592,23337.098245787747,18876.722975051605,9923.525865239502,1489.9640788168845,10800.0
2025-02-06,2025-02,62490.52316139845,100707.81640388753,94917.48403118255,-5790.332372704979,14.005870944095022,23886.4897149744,19348.056669129266,8287.389121677808,1834.610517937043,10800.0
2025-02-07,2025-02,25303.374658095323,48875.97773162395,46045.5713403159,-2830.406391308048,57.642660156048805,20335.32474725297,16471.613045274906,5631.251609683326,4802.571022143891,10800.0
2025-02-08,2025-02,22569.087751521954,39911.64971932965,40730.23762056729,818.5879012376365,164.12565573995732,20128.596171065423,16309.688198530735,3448.7175343178396,2049.5750527880546,10793.860777813614
2025-02-09,2025-02,58285.72168327592,91069.71935537175,90674.71320015508,-395.0061552166627,81.46015191957324,23134.466791492057,18733.392801140817,5618.253229493221,1181.430165563539,10800.0
2025-02-10,2025-02,54811.77526644524,87836.34327457067,84908.45513143748,-2927.8881431331697,104.43077878604768,23758.12184089087,19278.995785914907,4967.435934952458,1239.6863369617931,10761.203228007444
2025-02-11,2025-02,55751.039397369044,87696.39241256322,83734.18500015046,-3962.207412412757,405.89327433299616,22920.65516311024,18530.813587326003,4037.0513609482173,492.58820441766875,10800.0
2025-02-12,2025-02,55496.19672650681,88114.74278996226,84065.81812053324,-4048.924669429023,323.5903250077247,23135.543549294318,18739.7902749284,4227.7332977772,499.18574006452,10800.0
2025-02-13,2025-02,53025.22492533085,83191.26784051748,81658.32741588114,-1532.9404246363522,190.53918335685486,22724.112570460224,18406.531182072784,5284.947310566054,916.8588836178304,10800.0
2025-02-14,2025-02,23052.173214650767,39493.55531757399,40327.449907256945,833.8945896829568,300.7557268959097,19400.576691651448,15714.46712023767,3562.8393382920303,3577.4549077803886,10800.0
2025-02-15,2025-02,23967.55744524953,40025.994719531416,40474.506599943445,448.5118804120264,403.8546973004321,18952.465026585058,15379.376767433894,2853.387355229076,5171.794582863634,10769.022115666667
2025-02-16,2025-02,55946.55164834826,88794.1358832067,83200.87582682577,-5593.260056380941,500.4552880832605,22763.368717364898,18410.44856516557,3463.703572940261,507.3282897694426,10800.0
2025-02-17,2025-02,53778.56630952734,88492.49497316392,80651.88518940349,-7840.609783760441,301.4356275066805,22304.447136164734,18066.602180293434,4086.7222832806333,1444.890411091568,10800.0
2025-02-18,2025-02,54112.29973150932,79344.08773150499,82217.8200124163,2873.7322809113257,189.0850116594046,20291.104025166627,16435.794260384973,4597.1231734209905,1863.084302539728,10800.0
2025-02-19,2025-02,53397.131401995524,79582.52708989484,81425.4615722041,1842.9344823092856,311.7602018278765,21876.793871931586,17743.71880512389,4119.480202144419,605.3391217465361,10773.871367934114
2025-02-20,2025-02,52148.072182319556,82581.08066738433,80675.11029823429,-1905.9703691500495,301.34257880014934,21908.07677798276,17724.523906764567,4702.421674302917,1097.34459818,10797.225016157965
2025-02-21,2025-02,20683.902581951494,38382.851121928135,38552.830583137125,169.9794612089886,100.2763924775968,20114.594317148865,16290.323911432746,3073.6531103498296,6194.92142621544,10800.0
2025-02-22,2025-02,21416.0990623423,38802.812308305496,38652.0185857639,-150.79372254159955,200.8623857936644,20101.115601231213,16281.90363699728,3366.2285056511964,3822.677618339101,10800.0
2025-02-23,2025-02,52919.2767370643,82079.50685112392,80678.93582327609,-1400.5710278478386,418.62524717081,22043.385635605344,17855.142364840336,4193.139091892518,1184.3250244560413,10800.0
2025-02-24,2025-02,52317.81301256371,78361.1662369034,79644.39824937301,1283.232012469613,260.62045199555985,20016.4919035753,16213.358441895993,5922.674043185507,1976.177579837097,10800.0
2025-02-25,2025-02,49705.80594788742,81263.3929392659,76317.45590959894,-4945.937029666974,251.96234746755854,21689.709799143617,17568.664937306334,5108.122572933231,1518.9275889626467,10800.0
2025-02-26,2025-02,52044.23812505282,74710.6769218035,78704.91878964202,3994.241867838523,182.81514865944615,18936.661130438602,15338.695515655272,5387.951102187873,1086.9691879969348,10800.0
2025-02-27,2025-02,50671.97542134839,75430.51507550199,77093.6330624145,1663.1179869125347,344.09628335963384,21583.893503269435,17482.953737648248,5423.342393602636,956.8629865503319,10800.0
2025-02-28,2025-02,20255.96647555745,37416.75568751272,37436.23033556648,19.474648053752475,164.64667911719994,20694.98173008317,16762.93520136737,3301.764455941796,7074.472480026083,10800.0
2025-03-01,2025-03,21509.142107479598,40602.055624839275,40501.48845868204,-100.5671661572361,79.32991005886709,17815.808706726144,14430.80505244817,4318.6868035025045,9218.361977627097,10800.0
2025-03-02,2025-03,55980.42863639739,84559.22377151034,86666.8955279094,2107.6717563990705,117.7724869905706,23105.81152420774,18715.70733460827,7557.097314467175,2479.1594441666675,10800.0
2025-03-03,2025-03,54023.18585162896,86411.91755550297,83873.39231457922,-2538.525240923729,33.74643423786989,23253.089359878988,18835.00238150198,5748.365915195569,1723.5392219112073,10800.0
