提前期_h,MAE_kW,RMSE_kW,Bias_kW,q90_kW
1,19.377193049024363,25.28631890227367,0.2972424411890425,31.949019397321422
2,36.27225004494354,47.46285495330528,-0.3311461449117088,61.268292142857035
3,52.30431729226473,65.90797799514593,-0.5896628254059741,81.46918357142852
4,69.00095625398704,86.99298861111217,-0.8677137815678873,108.06590857142862
5,81.4602226922321,104.03221777824785,-1.4887479529661403,139.15298785714288
6,92.71344322916555,124.10175285209976,-2.1871450909881065,164.4142057142856
7,152.98085046173628,198.36851655372126,-0.31645504503818656,262.8004447619046
8,191.85210001662858,243.80060881223062,-1.5418400502365526,325.6081380952381
9,218.64603160268248,272.8800544227509,-2.2785234411347552,346.2988238095234
10,214.82697285176815,274.04839315704,-0.8903165499562045,343.51803142857125
11,218.64956667526826,280.7634615055301,-2.8421201008673975,343.4395885714285
12,211.78352878832797,270.6070012367183,-2.597534133018319,364.1821761904764
13,320.7194263253839,401.8009775929637,-1.3208281399711344,510.2915585714286
14,298.76222841761796,378.8727873054996,4.297018195205644,470.7257085714282
15,255.31291198036212,321.42856580709497,1.3382607584309762,437.0253114285715
16,173.35530339996907,220.77792233634995,2.553361290794557,311.97546714285716
17,86.44271226578225,123.09129636275105,0.19710667045503846,154.98221428571424
18,25.34028270744226,46.16109110944664,-0.005758319076131374,53.598147142857144
19,0.04954272027373824,0.18472897001036426,-7.154833190760664e-05,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
