日期,月份,现金费_元,计划购电量_kWh,最终合同量_kWh,调整量_kWh,应急购电量_kWh,充电量_kWh,放电量_kWh,弃购量_kWh,弃光量_kWh,日末储电量_kWh
2025-02-01,2025-02,21076.438030287667,47311.043368123384,47311.043368123384,0.0,70.53319639528746,18827.721700116792,15242.585168652138,6296.6584199611425,3121.605679759542,10800.0
2025-02-02,2025-02,65688.93546028258,93655.1328642237,93655.1328642237,0.0,49.17230161518103,23907.126255094834,19364.772266626816,9181.706476426329,1623.9667509445549,10800.0
2025-02-03,2025-02,69049.4766732367,95491.25283246084,95491.25283246084,0.0,154.28617288674783,23258.1609217675,18839.110346631678,9769.099799729465,1240.4721304823147,10800.0
2025-02-04,2025-02,71802.36982703413,98327.03729496195,98327.03729496195,0.0,135.28251635478716,24187.430821140704,19591.818965123974,11006.88635502255,1664.9576502774494,10800.0
2025-02-05,2025-02,68351.76156863756,91993.43378070029,91993.43378070029,0.0,537.681857706153,23944.837317441907,19395.31822712794,5865.005402684465,1368.164162074686,10800.0
2025-02-06,2025-02,70838.90824771888,98257.63014260697,98257.63014260697,0.0,44.72427390155201,23668.38336640632,19171.39052678912,12033.33013707546,1500.9742231491964,10800.0
2025-02-07,2025-02,20526.00036049907,47398.65434116383,47398.65434116383,0.0,86.67194348536844,20198.721161585807,16360.96414088451,6132.510431497878,5709.379165783361,10800.0
2025-02-08,2025-02,18841.80823047531,38812.828031295736,38812.828031295736,0.0,640.5168112379527,20956.607132104724,16990.408279060182,2180.848909150377,1729.1343636721058,10782.714997716266
2025-02-09,2025-02,65931.4553114348,89702.23606856994,89702.23606856994,0.0,520.2408976926835,23365.438149765854,18910.448399254983,5109.926413349571,1102.1448357355316,10800.0
2025-02-10,2025-02,59045.29648505442,85720.94169511674,85720.94169511674,0.0,153.3639394794283,21369.172545520516,17309.02976187162,6270.077164332526,1217.4481032814151,10800.0
2025-02-11,2025-02,62076.97223396014,85167.42538946023,85167.42538946023,0.0,684.4002238931744,22159.4475370449,17949.152505006372,6196.837488090621,224.0959598909095,10800.0
2025-02-12,2025-02,61254.67662627385,85114.8562125747,85114.8562125747,0.0,561.5733969009693,21229.627312537174,17195.998123155114,5809.832249833192,566.2320369270903,10800.0
2025-02-13,2025-02,58263.032162227704,80319.5833598532,80319.5833598532,0.0,927.3393383511766,21439.723698140355,17366.17619549368,4649.415157001507,1194.4810218895525,10800.0
2025-02-14,2025-02,19358.259817336435,37564.24993136855,37564.24993136855,0.0,986.8688609197646,20506.370289080856,16612.686357393126,1687.249338597775,3168.383705336143,10797.192863069293
2025-02-15,2025-02,18696.10515022435,37634.51799184989,37634.51799184989,0.0,664.0960460815077,20667.07523482567,16737.804516971155,1714.4273588590431,3374.8248612178445,10800.0
2025-02-16,2025-02,63103.71940706292,86025.90913786911,86025.90913786911,0.0,814.4446172441011,20747.614775100104,16805.567967831084,7300.350368082871,220.57747976131526,10800.0
2025-02-17,2025-02,60659.85839032247,85916.14628474119,85916.14628474119,0.0,553.513370222212,19552.655748058343,15837.65115592726,10338.378769832647,1232.4131263330064,10800.0
2025-02-18,2025-02,67401.13915141684,76805.96950399858,76805.96950399858,0.0,2778.930823648316,19843.9741247855,16073.619041076265,2265.496318461475,1457.6611421428593,10800.0
2025-02-19,2025-02,64706.306893735906,77085.98171154069,77085.98171154069,0.0,2323.389185847245,21266.705613007653,17304.53002549995,1765.8366566913505,802.0312698555595,10712.779467818056
2025-02-20,2025-02,57260.07943260737,80086.99248489889,80086.99248489889,0.0,771.9127582923875,21010.886120652132,16940.31927876448,5060.331284591928,734.8733833783745,10800.0
2025-02-21,2025-02,16631.54706291325,36395.03191887203,36395.03191887203,0.0,408.0178853229356,20744.091868889147,16802.71441380021,1438.0714850785735,5863.338830694118,10800.0
2025-02-22,2025-02,17488.685772158366,36775.60474407795,36775.60474407795,0.0,471.8103838872695,20847.909560035492,16886.806743628753,1976.8551595338538,3464.694268691294,10800.0
2025-02-23,2025-02,58748.051267211864,79559.7092372684,79559.7092372684,0.0,1210.2107283938917,22385.905424686614,18132.583393996163,4561.4580854480155,423.28616619047557,10800.0
2025-02-24,2025-02,59563.41134753576,75885.77978924237,75885.77978924237,0.0,1550.999807974872,20999.70248412027,17009.759012137416,3698.954382828613,1544.84812573911,10800.0
2025-02-25,2025-02,53465.3838401837,78784.32384091271,78784.32384091271,0.0,511.53041508014826,20036.84470191029,16229.844208547336,8242.87242071028,1424.65810858629,10800.0
2025-02-26,2025-02,71092.69318529994,72187.23059135074,72187.23059135074,0.0,3962.3034782497925,19273.36681675027,15611.427121567724,2599.8173817541037,1072.928959330548,10800.0
2025-02-27,2025-02,58604.89347959629,72873.05879305731,72873.05879305731,0.0,2071.104601547269,21224.162453854282,17191.57158762197,3130.6198970199603,824.3684313523104,10800.0
2025-02-28,2025-02,16163.262505909493,35583.44246543241,35583.44246543241,0.0,507.85189938538656,21043.057217773974,17044.87634639693,1994.1063433140757,6806.413600126671,10800.0
2025-03-01,2025-03,16621.565888963436,38147.20474879296,38147.20474879296,0.0,232.00580278001294,18548.156212371076,15024.006532020572,3056.180517822645,8140.114420066493,10800.0
2025-03-02,2025-03,60912.44010743984,81718.70122364041,81718.70122364041,0.0,1195.8494413622197,21916.04816701157,17751.99901527937,5270.69448271489,1121.4999638888914,10800.0
2025-03-03,2025-03,61717.87028301114,83955.68549373635,83955.68549373635,0.0,1026.634476949051,22624.36906274064,18334.513248259464,7780.157959608328,895.1595632625687,10790.250769511616
2025-03-04,2025-03,64361.789983723786,74973.86072820026,74973.86072820026,0.0,2661.3983596928233,19702.808747627187,15999.477283353175,3320.6399417291095,1411.8297485566325,10745.581660872564
2025-03-05,2025-03,51595.834483624065,78785.44074950519,78785.44074950519,0.0,213.87772630908285,22139.392825261202,17883.931683246883,6757.550925628448,1855.8343915048263,10800.0
2025-03-06,2025-03,54114.691546756585,73489.19632132807,73489.19632132807,0.0,1306.7445574363694,21610.552303541885,17504.54736586893,3016.7302898838534,1732.5515178742976,10800.0
2025-03-07,2025-03,14779.024712001326,35806.70287644558,35806.70287644558,0.0,103.33391681524466,19891.212429934283,16111.882068246769,2782.0515743591195,8426.369323880863,10800.0
2025-03-08,2025-03,14457.57249167966,33068.861420645575,33068.861420645575,0.0,340.51535771313877,20896.409873098557,16926.09199720983,1392.5318714558302,8983.387514347496,10800.0
