日期,月份,现金费_元,计划购电量_kWh,最终合同量_kWh,调整量_kWh,应急购电量_kWh,充电量_kWh,放电量_kWh,弃购量_kWh,日末储电量_kWh
2025-02-01,2025-02,22688.745283289307,52213.64771031196,50239.7333961817,-1973.9143141302643,0.0,19003.61783267858,15392.930444469652,8563.820919351592,10800.0
2025-02-02,2025-02,69116.10609411857,98584.34499763633,96830.57138794135,-1753.7736096949711,2.9069367521366303,23918.694228544413,19374.14232512098,11648.864400686112,10800.0
2025-02-03,2025-02,70583.9168169034,100491.81839910398,96340.56181664857,-4151.256582455419,8.087363703703772,24001.452133413128,19441.176228064636,9548.800449902114,10800.0
2025-02-04,2025-02,74275.33877156337,103410.06964457425,100089.47866693707,-3320.5909776371805,0.0,24026.107304673067,19487.473520821655,12046.782385015664,10770.748217737255
2025-02-05,2025-02,70503.99508768282,95689.64200412476,96588.71669647201,899.0746923472414,14.54219317421592,23236.922938000218,18795.580975743705,9717.36663222897,10800.0
2025-02-06,2025-02,70187.8786147108,100820.94688328131,94921.07185270236,-5899.875030578962,14.005870944095022,23905.37298613123,19363.3521187663,8287.389121677805,10800.0
2025-02-07,2025-02,20511.07396783155,48875.97773162395,46042.345325797396,-2833.632405826549,57.642660156048805,20295.79598883353,16439.594750955162,5710.008257231304,10800.0
2025-02-08,2025-02,18151.965425011367,39911.64971932965,40747.08068213005,835.4309628004039,164.12565573995732,20175.806327723032,16347.9284254234,3456.6024994489944,10793.860777813614
2025-02-09,2025-02,64794.46671987066,91069.71935537175,90674.71320015508,-395.0061552166625,81.46015191957324,23134.466791492057,18733.392801140817,5603.444018011739,10800.0
2025-02-10,2025-02,59669.67844235124,87682.86062835081,84656.02487258743,-3026.8357557633713,104.43077878604768,22429.541531153674,18202.845735027782,5069.632093357264,10761.203228007444
2025-02-11,2025-02,60772.6815347522,87587.50995316051,83613.67266986027,-3973.837283300226,405.89327433299616,22255.827108951395,17992.302863457335,3980.6146527692613,10800.0
2025-02-12,2025-02,60305.13421239638,87915.39179257455,83890.42444483169,-4024.9673477428605,279.6523232441119,21981.16629947772,17804.744702576958,4184.843581766674,10800.0
2025-02-13,2025-02,56888.03090128519,83032.93450718415,81499.9940825478,-1532.940424636353,190.53918335685486,21890.77923712689,17731.531182072784,5272.719750658646,10800.0
2025-02-14,2025-02,18421.65642338539,39493.55531757399,40327.44990725695,833.8945896829584,300.7557268959097,19433.903544247187,15741.461870840218,3581.609750222882,10800.0
2025-02-15,2025-02,19514.924750697195,40025.994719531416,40572.752246175936,546.7575266445208,305.60905106793643,19026.741040963367,15439.540339080324,2856.544233896373,10769.022115666667
2025-02-16,2025-02,61194.103450476476,88500.84269540236,83012.83624175555,-5488.006453646831,500.4552880832605,21773.288156743973,17608.48331106262,3432.3627584958135,10800.0
2025-02-17,2025-02,58497.28523213727,88322.89136760836,80526.76314343454,-7796.128224173831,309.33379652198494,21687.47936272451,17566.858283806854,4048.435410780635,10800.0
2025-02-18,2025-02,57818.38242828173,79185.75439817164,82063.45436386445,2877.6999656928083,189.0850116594046,19478.653243314777,15777.70912708497,4632.093535031269,10800.0
2025-02-19,2025-02,57210.01993997593,79424.1937565615,81267.07769415596,1842.8839375944722,311.7602018278765,21043.19451378344,17068.50332502389,4196.492522348994,10773.871367934114
2025-02-20,2025-02,56318.195453327986,82416.42921629037,80516.77696490096,-1899.6522513894158,301.34257880014945,21074.743444649423,17049.523906764567,4702.421674302917,10797.225016157965
2025-02-21,2025-02,16827.207202869824,38382.851121928135,38552.830583137125,169.9794612089886,100.2763924775968,20067.74110727232,16252.372811432748,3035.70176034983,10800.0
2025-02-22,2025-02,17652.11579622587,38802.812308305496,38652.01858576389,-150.79372254160208,200.8623857936644,20165.230147094353,16333.836419146428,3396.468840702629,10800.0
2025-02-23,2025-02,57088.146966985114,82069.88417439145,80738.5685138602,-1331.3156605312593,418.6252471708133,22369.291444604176,18119.126070129387,4252.405684055974,10800.0
2025-02-24,2025-02,55842.28939239242,78361.1662369034,79709.00564736227,1347.8394104588665,260.62045199555996,20327.88802032307,16465.589296461687,5928.041395659355,10800.0
2025-02-25,2025-02,52321.616099214996,81263.3929392659,76159.1225762656,-5104.270363000307,251.96234746755854,20898.288754714024,16927.613891318364,5100.159238041519,10800.0
2025-02-26,2025-02,55337.77800961178,74701.60502822262,78695.84689606115,3994.241867838523,182.81514865944615,18946.158613209547,15346.388476699734,5377.074686880513,10800.0
2025-02-27,2025-02,52733.19311672969,75272.18174216866,76935.9570511108,1663.775308942164,344.0962833596339,20777.382857903223,16829.680114901617,5418.670254918515,10800.0
2025-02-28,2025-02,15883.938219547239,37416.75568751272,37387.90866889981,-28.84701861291282,164.64667911719994,20694.981730083164,16762.93520136737,3226.840319487049,10800.0
2025-03-01,2025-03,17180.543861792714,40602.055624839275,40561.54408606655,-40.51153877272634,79.32991005886709,17824.352906400727,14437.725854184586,4377.146316282178,10800.0
2025-03-02,2025-03,60209.77101875354,84280.096840669,86409.44191596252,2129.345075293518,117.7724869905706,21794.93413887517,17653.89665248889,8209.732783418665,10800.0
2025-03-03,2025-03,57621.88081227485,86244.44828810242,83793.00265051141,-2451.44563759102,33.74643423786989,22756.116776658102,18432.454589093068,6045.235556228636,10800.0
2025-03-04,2025-03,56596.37464112917,77410.24478986446,80916.55757560936,3506.3127857449085,199.1682662965268,19613.94815237969,15890.904039826768,6368.736305435341,10795.993292889762
2025-03-05,2025-03,52057.98810139831,81332.58193167063,78436.74883918156,-2895.8330924890774,161.4159452445727,22380.753646434387,18124.80441721264,5831.2930391892605,10800.0
2025-03-06,2025-03,52032.05539135676,76239.30791799356,78196.89357935762,1957.5856613640672,69.05317271972689,21272.206706173733,17230.487432000722,6019.310442796464,10800.0
2025-03-07,2025-03,15694.095493420205,37963.616883127055,38049.46948278658,85.85259965952866,11.429108346499842,19130.52937821847,15519.233832696798,3917.1382386942687,10773.88329295574
2025-03-08,2025-03,16362.018970505529,35185.514848633626,36317.356194685475,1131.8413460518525,33.74367314176021,19070.8181971912,15423.857703385036,3179.501575307654,10800.0
2025-03-09,2025-03,47934.00957162385,77868.62732782541,73579.25289313801,-4289.374434687397,49.18836350652215,22191.561842315798,17975.165092275798,4543.482997088311,10800.0
2025-03-10,2025-03,53549.451991589034,74925.77149759192,77857.55516185403,2931.7836642621123,170.7266256103141,20184.165380540064,16349.173958237454,5139.415058070215,10800.0
2025-03-11,2025-03,52247.290613894744,66351.55838578545,73208.39524370458,6856.836857919132,138.45321316842058,14758.387412565855,11954.293804178344,5452.019353755344,10800.0
2025-03-12,2025-03,47326.12234158673,76201.31022844565,72407.75856215623,-3793.551666289436,119.46075777615863,21449.643340397844,17377.99334117226,4448.596881563291,10795.797516166667
2025-03-13,2025-03,52720.531194973155,75956.98805234957,77820.76260290082,1863.7745505512623,259.3149133020852,20546.033000142037,16638.504494665052,5881.734612292863,10800.0
2025-03-14,2025-03,15213.525146029093,34327.044176502415,35244.44823921917,917.4040627167567,92.94067049885483,19619.47328500358,15891.773360852902,3377.1015694392463,10800.0
2025-03-15,2025-03,15162.7550212668,34594.4278066236,35087.257454205435,492.82964758183476,70.3092538713907,20025.84420324801,16220.93380463089,2743.326445051567,10800.0
2025-03-16,2025-03,49448.318463580996,73143.76732779486,74347.67502242149,1203.907694626636,73.80653314401195,19436.652215382404,15743.688294459753,5779.53495591852,10800.0
2025-03-17,2025-03,45076.54788815172,69238.15672130807,67600.08710355332,-1638.0696177547495,126.92391241372115,19422.586922087998,15732.29540689128,5107.983505587937,10800.0
2025-03-18,2025-03,47220.65879473371,77294.67320910134,72082.12433074278,-5212.548878358537,113.56218718763562,22090.563447325625,17910.52436339092,5102.267014070747,10780.924476603157
2025-03-19,2025-03,47834.833723899384,64155.622947691416,69774.25595237184,5618.633004680435,40.611023698060556,16281.650998365361,13170.96933761878,5741.241671771131,10800.0
2025-03-20,2025-03,47480.44544574521,73197.8746203659,70851.6077525985,-2346.266867767398,385.39836619401063,21076.384105083445,17071.871125117592,4461.99730592726,10800.0
2025-03-21,2025-03,13315.693002279608,33469.67180769934,33300.93143443602,-168.74037326332336,72.247571514648,20161.79913004265,16338.011399020486,2427.9767922294,10792.273218126731
2025-03-22,2025-03,15444.472589745214,35178.64364933026,35764.776215125195,586.1325657949335,0.0,19106.136773090562,15469.016682517416,3984.771767211836,10800.0
2025-03-23,2025-03,45092.640220847905,74339.08801468826,71063.9801206939,-3275.1078939943536,114.63388178769117,21628.53454156578,17519.11297866828,5582.055107026927,10800.0
2025-03-24,2025-03,44279.34972119013,69732.58716652384,68936.19857508747,-796.3885914363768,33.53933009719188,20949.730375780928,17007.09419452388,5155.294175345008,10757.986010954077
2025-03-25,2025-03,45924.20423229463,76733.08955843332,69454.95829433005,-7278.131264103283,182.85914698192667,21249.41170092184,17180.897340617837,3590.305753257395,10792.570607763919
2025-03-26,2025-03,41563.05698868887,66028.10923898811,65752.34092919093,-275.7683097971799,37.82759733466787,20677.101871697552,16752.73950518975,4217.6522554754765,10787.80728652533
2025-03-27,2025-03,43287.645161517146,70345.74245432443,67660.85618304019,-2684.8862712842392,220.91893119380615,20896.865612435904,16915.487703945888,4219.5184618909925,10800.0
2025-03-28,2025-03,13713.203543753716,34204.98712101874,34218.04847076706,13.06134974832014,34.37478977951503,19347.39543586033,15671.390303046863,3394.441412637856,10800.0
2025-03-29,2025-03,13357.933933797405,32642.509019795,33199.003737920415,556.4947181254076,22.74650715968687,19849.83707442051,16078.368030280619,2392.534495153147,10800.0
2025-03-30,2025-03,41716.21828072547,69182.14127685083,63802.172681041135,-5379.968595809699,419.96295730518045,20697.1497634603,16764.691308402842,3738.5328543786177,10800.0
2025-03-31,2025-03,45229.120660111104,60006.57155135027,65508.333041588245,5501.761490237965,173.85754905601883,15053.401494092745,12195.52928821497,4142.074195338703,10797.47324666684
2025-04-01,2025-04,45617.91651337126,73764.98071272782,71230.84225506682,-2534.1384576609858,78.37697012094878,20377.64315577974,16503.616878181743,4475.510574996431,10800.0
2025-04-02,2025-04,45289.41326193342,69603.94311305377,70960.10963263895,1356.1665195851915,93.90519224456702,19453.74255473642,15767.071241511436,4757.801875356267,10789.400253138961
2025-04-03,2025-04,42881.92073093934,71050.04592267709,67243.22203591454,-3806.8238867625446,76.50297702213435,21483.93466607351,17413.800056721975,4755.5807048596835,10776.274722914037
2025-04-04,2025-04,12895.61606031608,32030.573245564105,32152.57406800425,122.00082244014541,131.44292471737745,20108.33197346254,16266.39614912729,2826.997236610766,10800.0
2025-04-05,2025-04,14464.256768645679,31780.22661692443,32791.730423193214,1011.503806268787,69.77997358655105,19557.755507318318,15844.271192866174,2516.680773184466,10797.234186735184
2025-04-06,2025-04,42020.61675515766,67484.06189141131,66093.77490580134,-1390.2869856099705,58.42795313951365,20645.22151723708,16720.1401970237,4869.324893026409,10800.0
2025-04-07,2025-04,40482.727961973134,58905.54464248204,62354.79690115496,3449.2522586729156,107.54725004003562,17184.6561283192,13919.571463938551,3876.9680865333053,10800.0
2025-04-08,2025-04,41608.47654144284,68575.57905139425,65504.63989407782,-3070.939157316425,223.9875662317246,20877.784206055858,16911.005206905247,4807.512324245695,10800.0
