方案,tag,价格基线,光伏预报源,定价信息,cash_total,plan_kwh,contract_kwh,adjust_up_kwh,adjust_down_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,emergency_kwh,emergency_slots,S_min,S_max,S_end,updates,clip_charge,clip_discharge,fallback,lp_ms_median,lp_ms_p95,lp_ms_max,价格MAE0_元每kWh,安全轨迹覆盖率
模式一(固定合同),Q4-2_prev_day,昨日同槽,archive,forecast,17264915.924812637,22979660.62141077,22979660.62141077,0.0,0.0,7194459.136390725,5827511.900476488,2272636.79507344,421454.12505385187,4652,1200.0,10800.0,10800.0,0,1577,4341,0,4.596099985064939,16.691324999555945,121.65559999994002,0.08432593978709249,0.8943155355954757
模式一(固定合同),Q4-2_mean7,近7日均值,archive,forecast,17337826.571734674,22907443.022338316,22907443.022338316,0.0,0.0,6786685.515398353,5497215.267472666,2296846.1651036916,440013.2832148161,4674,1200.0,10800.0,10800.0,0,1541,3854,0,4.509849997702986,16.310874983901158,127.84610001835972,0.08266928345689574,0.8943155355954757
模式一(固定合同),Q4-2_mean30,近30日均值,archive,forecast,17338929.32720425,22901256.724113345,22901256.724113345,0.0,0.0,6758274.202064989,5474202.103672642,2297539.8686209773,439713.4696592768,4695,1200.0,10800.0,10800.0,0,1544,3818,0,4.435850016307086,16.802575009933207,119.74640001426451,0.08747693488023951,0.8943155355954757
模式一(固定合同),Q4-2_median30,近30日中位数,archive,forecast,17258751.729631,22898507.457401782,22898507.457401782,0.0,0.0,6762132.110567249,5477327.009559472,2281458.9065967035,425014.4958167563,4646,1200.0,10800.0,10800.0,0,1558,3848,0,4.299299995182082,16.054474996053614,154.49320001062006,0.08327562063373253,0.8943155355954757
模式二(可调合同),Q4-3_prev_day,昨日同槽,archive,forecast,15790185.291751342,22978999.17848023,22967804.614931345,517265.9748735852,528460.5384224707,7237922.519340141,5862717.240665515,2060832.7815964902,85775.42891681503,3268,1200.0,10800.0,10800.0,1002,1701,4476,0,4.612249991623685,16.820174983877223,160.1334000006318,0.08432593978709249,0.8943155355954757
模式二(可调合同),Q4-3_mean7,近7日均值,archive,forecast,15754516.516547855,22907423.613474425,22898688.778730482,523603.086077151,532337.9208210963,6843971.997730376,5543617.318161605,2068035.9031259897,86347.11351529999,3317,1200.0,10800.0,10800.0,1002,1657,3987,0,4.52479999512434,16.179350001038983,99.14780000690371,0.08266928345689574,0.8943155355954757
模式二(可调合同),Q4-3_mean30,近30日均值,archive,forecast,15756684.954748904,22901195.108190186,22894352.114412926,524041.9958544513,530884.9896317073,6812878.322897516,5518431.44154699,2071745.673049787,86340.98702297144,3313,1200.0,10800.0,10800.0,1002,1670,3968,0,4.553900012979284,16.139325009135064,161.56410000985488,0.08747693488023951,0.8943155355954757
模式二(可调合同),Q4-3_median30,近30日中位数,archive,forecast,15769829.132433042,22898439.408559676,22894661.79263044,525616.9646313022,529394.5805605352,6799417.911288651,5507528.508143807,2074896.7171234072,86353.65372001668,3314,1200.0,10800.0,10800.0,1002,1672,3981,0,4.65884999721311,16.396649996750057,122.6641999965068,0.08327562063373253,0.8943155355954757
模式一(固定合同),Q4-2_oracle,0时已知真价（理想信息）,archive,oracle,17141642.958714932,22959886.083856225,22959886.083856225,0.0,0.0,7167700.9937869655,5805837.8049674425,2275481.3318997687,421444.2757462978,4721,1200.0,10800.0,10800.0,0,1536,4209,0,3.7352000072132796,6.607174989767373,76.56620000489056,0.0,0.8943155355954757
模式二(可调合同),Q4-3_oracle,0时已知真价（理想信息）,archive,oracle,15675332.931479625,22958283.159920804,22948107.066552285,522743.65841977135,532919.7517882928,7213833.513001338,5843205.145531084,2065043.310987359,86339.79815654384,3317,1200.0,10800.0,10800.0,1002,1653,4340,0,3.6743000091519207,6.418324999685865,86.90329999080859,0.0,0.8943155355954757
模式一(固定合同),Q4-2_center_median30,近30日中位数,center,forecast,16018581.189915888,23492931.714706246,23492931.714706246,0.0,0.0,7075342.937771925,5731027.77959526,2527252.981103952,146211.49002433952,2765,1200.0,10800.0,10800.0,0,2152,4206,0,3.714699996635318,6.488000006356742,151.08549999422394,0.08327562063373253,0.8943155355954757
