date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,64321.365011309324,64321.365011309324,218668.6827910142,218668.6827910142,34583.273311524004,21.217300000000023,0.0,18525.022316666662,11676.771310499993,7200.0,10898.32974,1440.0,11848.49583037037,1.1368683772161603e-13,84,35765.26112795569,182903.42166305849,75
2025-01-02,99273.40289014875,99273.40289014875,62131.382573407136,62131.382573407136,53.744576328014816,862.5328076751861,0.0,28830.509870634916,23251.134478500004,10898.32974,11011.194758571428,1440.0,12938.159736496209,2.2737367544323206e-13,3,61911.48988704348,219.89268636366353,2
2025-01-03,102560.96494194386,102560.96494194386,64452.380374374436,64452.380374374436,0.0,48127.89330610969,4748.769192137688,12765.454524969002,8586.093447939176,11011.194758571428,12960.0,6491.071240719111,12960.0,2.2737367544323206e-13,0,64452.380374374436,0.0,89
2025-01-04,99761.95359168752,99761.95359168752,63004.592069037855,63004.592069037855,0.0,47580.027006798235,5391.131183333334,10658.91070994375,8633.71767505444,12960.0,12960.0,6100.669593560525,12960.0,3.410605131648481e-13,0,63004.592069037855,0.0,96
2025-01-05,99084.2461926886,99084.2461926886,64634.35345981302,64634.35345981302,328.30805827692336,5253.686683242904,0.0,24999.39212182915,21876.23485410652,12960.0,11152.525293972334,1440.0,12960.0,2.2737367544323206e-13,3,62416.60027245156,2217.7531873614703,24
2025-01-06,100017.96106880528,100017.96106880528,64328.229663902996,64328.229663902996,269.1179768218068,4595.461628568371,0.0,27006.48149269345,21947.345175634724,11152.525293972334,11072.419553357857,1440.0,12960.0,2.2737367544323206e-13,5,62559.26803462638,1768.9616292766138,16
2025-01-07,102314.617556814,102314.617556814,64318.71942374745,64318.71942374745,0.0,4419.67458214499,0.0,26693.524960783892,21365.48293611488,11072.419553357857,11357.166533491274,1514.0084936587407,12960.0,2.2737367544323206e-13,0,64318.71942374745,0.0,14
2025-01-08,104677.73217701213,104677.73217701213,66316.08857119532,66316.08857119532,0.0,10090.462732699503,0.0,25566.53766608792,20505.269538441946,11357.166533491274,11583.417612479352,1785.578512553022,12960.0,2.2737367544323206e-13,0,66316.08857119532,0.0,25
2025-01-09,106190.94163983835,106190.94163983835,67563.39510709449,67563.39510709449,0.0,10403.172612565308,0.0,25052.699853677994,20356.486943071613,11583.417612479352,11512.528655154427,1799.47500591695,12960.0,2.2737367544323206e-13,0,67563.39510709449,0.0,30
2025-01-10,106025.39423806203,106025.39423806203,67298.23449616971,67298.23449616971,0.0,52538.262722463965,4461.384850000001,11749.240729317802,8214.160780386399,11512.528655154427,12960.0,6264.445703980626,12960.0,3.410605131648481e-13,0,67298.23449616971,0.0,91
2025-01-11,103807.93448025396,103807.93448025396,66113.01019544184,66113.01019544184,0.0,51598.343013389254,5455.2137833333345,9939.426667709018,8050.935600844305,12960.0,12960.0,5982.814450182058,12960.0,3.410605131648481e-13,0,66113.01019544184,0.0,98
2025-01-12,102782.4022516889,102782.4022516889,67845.83204444738,67845.83204444738,374.8975647705229,9540.840110364154,0.0,23418.91294360047,20668.34163750521,12960.0,11072.197607567967,1440.0,12960.0,2.2737367544323206e-13,3,65292.30374039791,2553.528304049472,48
2025-01-13,106814.5404361235,106814.5404361235,68679.22857855988,68679.22857855988,185.8744975842077,14198.245117885132,0.0,24102.79222785507,19574.579378699156,11072.197607567967,11015.177969638476,1440.0,12960.0,2.2737367544323206e-13,5,67688.07265580198,991.1559227578962,35
2025-01-14,108448.67558494434,108448.67558494434,69644.87123055576,69644.87123055576,95.32625770063908,14501.61197641279,0.0,24344.742722152077,19582.665789253217,11015.177969638476,11166.928875960664,1440.0,12960.0,2.2737367544323206e-13,1,68979.8752568361,664.9959737196582,33
2025-01-15,110338.51660697174,110338.51660697174,70559.44925722195,70559.44925722195,0.0,15599.999342490057,0.0,24344.196103968214,19676.021772819866,11166.928875960664,11214.458955287764,1451.4028799133946,12960.0,2.2737367544323206e-13,0,70559.44925722195,0.0,38
2025-01-16,109458.19483402529,109458.19483402529,70071.21841953427,70071.21841953427,0.0,15856.111224964505,0.0,23818.35388833526,19290.42172927448,11214.458955287764,11217.175533373413,1504.9407699554608,12960.0,2.2737367544323206e-13,0,70071.21841953427,0.0,42
2025-01-17,107210.05746293181,107210.05746293181,68195.08675729076,68195.08675729076,0.0,54594.679012570705,6254.176316666666,11071.298142441326,7399.209475413543,11217.175533373413,12960.0,5916.76815607296,12960.0,3.410605131648481e-13,0,68195.08675729076,0.0,97
