date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,62815.659004949586,62815.659004949586,216361.1689851971,216361.1689851971,34413.093111550406,21.217300000000137,0.0,14394.04228333333,9221.677483499996,6000.0,8708.329740000001,1200.0,9838.495830370372,1.1368683772161603e-13,83,36674.80453430289,179686.3644508942,75
2025-01-02,98412.07459462728,98412.07459462728,64902.56690271906,64902.56690271906,126.46650555555561,862.5596055555551,0.0,24297.176254220514,19506.43402625989,8708.329740000001,8901.97278406526,1280.7780254938323,10798.566555793654,2.2737367544323206e-13,8,64079.99652468454,822.5703780345242,0
2025-01-03,101622.51595082392,101622.51595082392,66611.76389606079,66611.76389606079,0.0,47133.4845801404,5470.793316666666,9500.379963204874,5987.083275854682,8901.97278406526,10800.0,5764.330460280636,10800.0,1.7053025658242404e-13,0,66611.76389606079,0.0,100
2025-01-04,98879.92531852407,98879.92531852407,65165.76680467161,65165.76680467161,0.0,46717.72108446646,5992.491348565187,7390.0553622409225,5985.944843415148,10800.0,10800.0,5550.6423373308,10800.0,2.2737367544323206e-13,0,65165.76680467161,0.0,103
2025-01-05,98202.21820762937,98202.21820762937,66736.1822378356,66736.1822378356,328.3080582769244,5238.492391123303,0.0,20579.214790567865,18322.891215784875,10800.0,8962.525293972334,1200.0,10800.0,2.2737367544323206e-13,11,64564.14670709961,2172.0355307359796,24
2025-01-06,99169.26665304252,99169.26665304252,66464.60517578395,66464.60517578395,272.6477692415498,4584.80210695391,0.0,22614.349378332554,18389.7181630024,8962.525293972334,8882.419553357857,1200.0,10800.0,2.2737367544323206e-13,12,64728.10043958243,1736.504736201521,15
2025-01-07,101465.92197321547,101465.92197321547,67326.0359500878,67326.0359500878,121.06553792475802,4397.511329627556,0.0,22362.53705412041,17739.961822607736,8882.419553357857,9297.634210279854,1404.4761704473194,10800.0,2.2737367544323206e-13,8,66510.13094790714,815.9050021806542,14
2025-01-08,103627.84088311002,103627.84088311002,68780.21152691386,68780.21152691386,45.799482942832356,10058.724095377656,0.0,20849.03505668994,16760.120102681394,9297.634210279854,9439.410091654809,1591.570991728477,10800.0,2.2737367544323206e-13,2,68467.13925202447,313.0722748893996,25
2025-01-09,105170.1991833533,105170.1991833533,69765.58807597651,69765.58807597651,0.0,10364.838840469565,0.0,20101.181652966574,16387.377426749506,9439.410091654809,9322.276438491941,1559.2227892544652,10800.0,3.410605131648481e-13,0,69765.58807597651,0.0,33
2025-01-10,105044.28376947911,105044.28376947911,69511.79810937447,69511.79810937447,0.0,51957.39174870473,4626.603016666667,8629.847800441023,5660.225512999975,9322.276438491941,10800.0,5550.929348272764,10800.0,2.2737367544323206e-13,0,69511.79810937447,0.0,106
2025-01-11,102784.51017085687,102784.51017085687,68290.97507861652,68290.97507861652,0.0,50989.97955512191,5610.417316666666,6938.035170534925,5619.808488133289,10800.0,10800.0,5367.253839533841,10800.0,2.2737367544323206e-13,0,68290.97507861652,0.0,112
2025-01-12,101755.42198486824,101755.42198486824,69957.82635694474,69957.82635694474,375.6633282794287,9477.921499002468,0.0,18491.03982807392,16703.764413928708,10800.0,8882.197607567965,1200.0,10800.0,2.2737367544323206e-13,12,67456.56600781827,2501.260349126467,50
2025-01-13,105807.56550686932,105807.56550686932,71037.51052787973,71037.51052787973,192.452663478799,14116.111360252646,0.0,19269.82903981761,15659.8791963888,8882.197607567965,8825.177969638476,1200.0,10800.0,2.2737367544323206e-13,12,69891.45374871074,1146.0567791689855,41
2025-01-14,107441.70120858954,107441.70120858954,72015.33546029628,72015.33546029628,121.12926169770458,14404.991406940879,0.0,19553.406896452594,15675.880766439563,8825.177969638476,9005.598880401847,1228.6700044411841,10800.0,3.410605131648481e-13,7,71195.26651754831,820.0689427479837,36
2025-01-15,109299.6677190616,109299.6677190616,73680.60552870951,73680.60552870951,134.22672331046374,15530.845592865124,0.0,19399.12296116744,15566.417044993823,9005.598880401847,9168.790606570516,1355.7345311961456,10800.0,3.410605131648481e-13,5,72777.02025214028,903.5852765692202,45
2025-01-16,108290.85243140935,108290.85243140935,72751.35365693364,72751.35365693364,76.66966448748076,15768.42755421125,0.0,18819.615753028876,15294.672661343298,9168.790606570516,9112.364049470612,1350.1292860526635,10800.0,3.410605131648481e-13,4,72234.54844482266,516.8052121109795,46
2025-01-17,106108.42884933106,106108.42884933106,70361.3622383785,70361.3622383785,0.0,53973.96690140412,6278.319716666666,8674.507416406068,5507.478651812463,9112.364049470612,10800.0,5271.36628891753,10800.0,2.2737367544323206e-13,0,70361.3622383785,0.0,110
2025-01-18,103358.12332831253,103358.12332831253,68810.4090376039,68810.4090376039,0.0,52822.8420506733,5987.215499999998,6871.351373539891,5565.794612567311,10800.0,10800.0,5283.222095240573,10800.0,2.2737367544323206e-13,0,68810.4090376039,0.0,115
2025-01-19,106303.87341460204,106303.87341460204,73415.0759290581,73415.0759290581,329.2274966160636,16591.529157625046,0.0,16331.622190625774,14973.189903699385,10800.0,8861.582300786109,1200.0,10800.0,3.410605131648481e-13,9,71204.88155231369,2210.19437674443,66
2025-01-20,110099.14685819819,110099.14685819819,74677.99689221456,74677.99689221456,189.56876361476395,18572.607626452766,0.0,18508.213159963623,14859.181714603414,8861.582300786109,9008.772239638463,1253.1991239458712,10800.0,3.410605131648481e-13,7,73408.72659986356,1269.270292351021,44
2025-01-21,111506.79440125264,111506.79440125264,74625.25049030076,74625.25049030076,1.9346976845897643,23951.78312265579,782.4998833333336,16751.076617978164,13452.535208363373,9008.772239638463,9137.479853192834,1361.9272281701558,10800.0,2.2737367544323206e-13,2,74612.66238893273,12.588101368021338,57
2025-01-22,110874.6621267882,110874.6621267882,75802.85664789076,75802.85664789076,275.9820501160917,19051.129047505136,0.0,17992.923301789608,14792.172539057117,9137.479853192834,8895.363559184458,1200.0,10800.0,3.410605131648481e-13,11,74190.46592453297,1612.3907233577936,59
2025-01-23,111833.22742201493,111833.22742201493,75196.7414401008,75196.7414401008,48.39205875965081,18614.215350039776,0.0,18343.10348509562,14641.624954360825,8895.363559184458,9135.68452425849,1363.19621637216,10800.0,3.410605131648481e-13,6,74865.08676507499,331.65467502580617,53
2025-01-24,106976.92478768076,106976.92478768076,70942.20441355894,70942.20441355894,0.0,55451.39953927049,8562.285383333334,8610.225194260915,5476.398479183978,9135.68452425849,10800.0,5334.949856850295,10800.0,2.2737367544323206e-13,0,70942.20441355894,0.0,109
2025-01-25,103546.8251911933,103546.8251911933,68880.39816001304,68880.39816001304,0.0,53901.68840165598,9857.2905,7096.162225635038,5747.891402764378,10800.0,10800.0,5031.09320110759,10800.0,2.2737367544323206e-13,0,68880.39816001304,0.0,114
2025-01-26,104647.73605134085,104647.73605134085,72091.7300993542,72091.7300993542,308.5370873861133,15832.109244796498,0.0,16182.023665879742,14756.8498052826,10800.0,8967.32151564443,1200.0,10800.0,3.410605131648481e-13,8,70001.66550740256,2090.0645919516387,68
2025-01-27,107279.41339180537,107279.41339180537,72169.33432346734,72169.33432346734,125.9754262625139,19821.821892803076,198.49428333333344,17184.08159329521,13993.925734697066,8967.32151564443,8884.188577724495,1211.6576995081307,10800.0,3.410605131648481e-13,6,71320.45351810817,848.8808053591699,47
2025-01-28,107754.2446180263,107754.2446180263,72739.9767834141,72739.9767834141,156.6765588054717,17320.059968139278,0.0,18384.945410591477,14774.483568565627,8884.188577724495,9014.546593295021,1200.0,10800.0,3.410605131648481e-13,9,71675.19007317828,1064.7867102358173,39
2025-01-29,108494.7510850147,108494.7510850147,72657.13733906034,72657.13733906034,43.65190071583481,23559.23869573666,130.00299999999982,16534.753276414478,13070.793036420617,9014.546593295021,9372.721168267362,1628.4271952412964,10800.0,2.2737367544323206e-13,2,72363.14984666066,293.98749239967896,56
2025-01-30,108278.8220112698,108278.8220112698,72980.03109497191,72980.03109497191,94.44473553615148,21370.13409750101,227.56126666666626,17159.734940640854,14126.746341335907,9372.721168267362,9120.097791137568,1275.5754520304997,10800.0,3.410605131648481e-13,5,72343.61140564195,636.4196893299677,53
2025-01-31,103615.19780788149,103615.19780788149,68366.63832712297,68366.63832712297,0.0,53367.094149744524,8315.396966666665,8718.271860495333,5549.888219025028,9120.097791137568,10800.0,5266.130097199903,10800.0,2.2737367544323206e-13,0,68366.63832712297,0.0,109
2025-02-01,98735.49338974201,98735.49338974201,65137.31336548694,65137.31336548694,0.0,52598.411666834145,10472.001883333332,6773.178453901061,5486.274547659861,10800.0,10800.0,5312.831999125138,10800.0,2.2737367544323206e-13,0,65137.31336548694,0.0,115
2025-02-02,102317.61682343096,102317.61682343096,68429.07409207003,68429.07409207003,41.714313184032676,22081.71955610786,437.19255,15130.857548047697,13646.716467540547,10800.0,9254.75349597565,1275.4869906922067,10800.0,3.410605131648481e-13,4,68153.84078459447,275.2333074755559,77
