date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,64816.03163252717,64816.03163252717,216443.17218575475,216443.17218575475,34593.63373713949,21.217300000000023,0.0,17346.217299999997,9992.939246999993,6000.0,10508.32974,1200.0,10508.32974,1.1368683772161603e-13,84,37403.14888484667,179040.02330090804,78
2025-01-02,59806.776415706234,59806.776415706234,218741.6577873974,218741.6577873974,35533.52096362709,102.0162499999999,0.0,12465.091366666667,10112.049504000004,10508.32974,10491.30141,1200.0,10508.32974,0.0,83,35296.01238326197,183445.64540413543,77
2025-01-03,59825.69678220672,59825.69678220672,37610.91556254258,37610.91556254258,467.10849782865654,11099.497194644448,0.0,17950.199935390934,14261.833216666666,10491.30141,10800.0,1200.0,10800.0,1.1368683772161603e-13,4,35303.03751547556,2307.878047067022,49
2025-01-04,59482.698351886065,59482.698351886065,35175.682195905334,35175.682195905334,0.0,11361.185918724284,0.0,17662.684560500653,14306.774494005529,10800.0,10800.0,1235.2067257345977,10800.0,2.2737367544323206e-13,0,35175.682195905334,0.0,50
2025-01-05,59482.698351886065,59482.698351886065,210945.92908011674,210945.92908011674,33882.41798994726,33.59123333333321,0.0,13117.0129,10821.198091499995,10800.0,10581.758175,1200.0,10800.0,1.1368683772161603e-13,81,35175.682195905334,175770.2468842114,76
2025-01-06,59725.189266422836,59725.189266422836,209502.22725759607,209502.22725759607,33476.754291243815,17.643683333333115,0.0,13174.00938333333,10622.190609000003,10581.758175,10635.93261,1200.0,10635.93261,1.1368683772161603e-13,80,35265.71907416404,174236.50818343202,74
2025-01-07,59664.995450284885,59664.995450284885,217099.46072098892,217099.46072098892,35316.63959254844,41.25373333333346,0.0,12446.427099999997,10072.946740499998,10635.93261,10645.553955000001,1200.0,10645.553955000001,1.1368683772161603e-13,84,35243.36910981221,181856.09161117673,78
2025-01-08,59654.30506704543,59654.30506704543,205401.1253616407,205401.1253616407,32619.33662937859,124.77168333333339,0.0,13597.496794337047,10974.62809791301,10645.553955000001,10689.269849999997,1200.0,10689.269849999997,1.1368683772161603e-13,77,35239.399770440854,170161.72559119988,71
2025-01-09,59605.7318508054,59605.7318508054,212372.0290970388,212372.0290970388,34087.37885254526,196.95001666666656,0.0,12986.174513249136,10581.569943231794,10689.269849999997,10619.526974999999,1200.0,10689.269849999997,1.1368683772161603e-13,81,35221.364534912165,177150.66456212662,75
2025-01-10,59683.22393345809,59683.22393345809,35703.78767250086,35703.78767250086,94.54420316342899,10678.764289707942,0.0,18136.375830246914,14528.0387,10619.526974999999,10800.0,1200.0,10800.0,1.1368683772161603e-13,2,35250.13734574156,453.6503267592972,45
2025-01-11,59482.698351886065,59482.698351886065,35548.72587554488,35548.72587554488,78.77105350552851,11303.955318936878,0.0,17850.67089362139,14459.043423833335,10800.0,10800.0,1200.0,10800.0,1.1368683772161603e-13,2,35175.682195905334,373.04367963954485,50
2025-01-12,59482.698351886065,59482.698351886065,209907.53601770633,209907.53601770633,33646.654869113925,19.114499999999907,0.0,12738.60305,10494.252728999996,10800.0,10604.461935000001,1200.0,10800.0,1.1368683772161603e-13,82,35175.682195905334,174731.85382180096,77
2025-01-13,59699.962866644404,59699.962866644404,198140.9950873537,198140.9950873537,31058.84885252225,44.82908333333353,0.0,13297.848666666663,10857.822997500001,10604.461935000001,10508.27796,1200.0,10604.461935000001,1.1368683772161603e-13,78,35256.352511750374,162884.64257560333,72
2025-01-14,59806.833949039064,59806.833949039064,202995.99529721474,202995.99529721474,32003.670055627597,28.31220000000019,0.0,13523.242583333331,11021.363711999998,10508.27796,10433.236604999998,1200.0,10508.27796,1.1368683772161603e-13,78,35296.03374538885,167699.9615518259,72
2025-01-15,59890.213231640046,59890.213231640046,208371.58317186555,208371.58317186555,33014.353306378594,75.29958333333332,0.0,13451.747683431488,10692.823662079505,10433.236604999998,10658.894339999999,1200.0,10658.894339999999,1.1368683772161603e-13,79,35326.99247360011,173044.59069826544,73
2025-01-16,59639.482417175626,59639.482417175626,203493.29426095315,203493.29426095315,32026.58162554526,174.264633333333,0.0,13272.634778355596,10854.986818968035,10658.894339999999,10543.169174999999,1200.0,10658.894339999999,1.1368683772161603e-13,76,35233.89612044081,168259.39814051232,70
2025-01-17,59768.0659327129,59768.0659327129,35281.63918065658,35281.63918065658,0.0,13522.789607407416,0.0,17500.079558625424,13943.916699986601,10543.169174999999,10800.0,1603.211722237111,10800.0,2.2737367544323206e-13,0,35281.63918065658,0.0,60
2025-01-18,59482.698351886065,59482.698351886065,35175.682195905334,35175.682195905334,0.0,13084.376572427987,0.0,16609.54085679695,13453.72809400553,10800.0,10800.0,1968.274191845708,10800.0,1.1368683772161603e-13,0,35175.682195905334,0.0,64
2025-01-19,59482.698351886065,59482.698351886065,201590.5925190693,201590.5925190693,31614.747664045262,26.475916666666762,0.0,13494.933318936874,11107.102686338865,10800.0,10604.21478,1200.0,10800.0,1.1368683772161603e-13,77,35175.682195905334,166414.91032316396,71
