date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,61789.9354,61789.9354,216183.62568806164,216183.62568806164,30266.451916666658,21.217300000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,54187.28196072833,161996.3437273333,144
2025-01-02,93667.32991507935,93667.32991507935,96410.05412588548,96410.05412588548,1741.8648484126998,2523.9554968253938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,62,88135.7634473815,8274.290678503978,144
2025-01-03,97080.29705844886,97080.29705844886,73753.99066511828,73753.99066511828,0.0,46101.04120844886,5474.314483333333,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0,73753.99066511828,0.0,144
2025-01-04,96446.62474690951,96446.62474690951,72467.0339215663,72467.0339215663,0.0,45670.33666357618,6010.685716666667,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0,72467.0339215663,0.0,144
2025-01-05,95768.91729981406,95768.91729981406,94667.22313223824,94667.22313223824,907.1959425777678,5640.402942391832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,44,90365.3441362344,4301.878996003827,144
2025-01-06,94694.32727459367,94694.32727459367,94141.41243430936,94141.41243430936,896.2637036705512,4958.109878264221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,48,89950.6841348937,4190.728299415654,144
2025-01-07,96901.97721214872,96901.97721214872,94313.71752391357,94313.71752391357,581.7148495964234,4916.791111745137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,32,91236.89922517171,3076.8182987418627,144
2025-01-08,99525.22736324469,99525.22736324469,95382.12465563195,95382.12465563195,338.0582207981703,10337.284267376192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,22,93946.22314681049,1435.9015088214546,144
2025-01-09,101225.11473792113,101225.11473792113,96284.70908646457,96284.70908646457,180.33767446495528,10313.896295719424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,16,95836.67506099411,448.03402547046073,144
2025-01-10,100969.05075850296,100969.05075850296,75806.06664562535,75806.06664562535,0.0,50851.78102516962,4626.603016666666,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0,75806.06664562535,0.0,144
2025-01-11,100351.1919298493,100351.1919298493,76012.18991895784,76012.18991895784,10.92294309171325,49885.810939607676,5610.417316666666,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,1,75986.56469446467,25.625224493159287,144
2025-01-12,99322.10353992625,99322.10353992625,98205.5878780084,98205.5878780084,800.310341155996,9256.52548108224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,39,94355.50494982001,3850.082928188386,144
2025-01-13,101243.34883763379,101243.34883763379,97888.30589069205,97888.30589069205,567.7950695072038,13537.186940474341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,27,95310.91252547309,2577.3933652189535,144
2025-01-14,102814.12955509088,102814.12955509088,98927.59871341792,98927.59871341792,356.73052143429993,13890.547143191847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,23,97305.95127815586,1621.6474352620667,144
2025-01-15,104872.56394920516,104872.56394920516,101358.06174327873,101358.06174327873,262.7971491996842,15065.018165071517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,14,99877.44569892391,1480.6160443548006,144
2025-01-16,104045.07273142852,104045.07273142852,99739.30269734884,99739.30269734884,238.20394134458354,15209.125222773111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,15,98627.41807696792,1111.8846203809267,144
2025-01-17,101799.95273200587,101799.95273200587,76216.58878103786,76216.58878103786,0.0,52832.51954867254,6278.319716666667,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0,76216.58878103786,0.0,144
2025-01-18,100924.79806610593,100924.79806610593,75390.87111653804,75390.87111653804,41.30465131425251,51736.37820075351,5987.215499999998,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,1,75289.55080686418,101.3203096738614,144
2025-01-19,103870.54846275128,103870.54846275128,101999.0478829295,101999.0478829295,647.2259550626096,15834.634951147227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,28,98454.90639529804,3544.1414876314766,144
2025-01-20,105498.18213486312,105498.18213486312,102030.18228026824,102030.18228026824,350.83886653301886,17781.944451396143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,24,99993.3211094334,2036.861170834853,144
2025-01-21,107048.77510774841,107048.77510774841,100620.17151922562,100620.17151922562,156.1936205688246,22946.564161650567,782.4998833333334,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,14,99955.80680405998,664.3647151656402,144
2025-01-22,106573.18890499257,106573.18890499257,104036.59282800514,104036.59282800514,501.9445818095859,18176.369120135496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,22,101490.97214316427,2545.6206848408724,144
2025-01-23,107256.34893754034,107256.34893754034,103137.33542158658,103137.33542158658,159.5434528939321,17849.966790434282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,16,102364.29126387692,773.0441577096672,144
2025-01-24,102694.36038429353,102694.36038429353,75667.48105377909,75667.48105377909,0.0,54302.6618509602,8562.285383333332,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0,75667.48105377909,0.0,144
2025-01-25,101113.4999380594,101113.4999380594,74158.7442608632,74158.7442608632,0.0,52816.63397139274,9857.2905,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0,74158.7442608632,0.0,144
2025-01-26,102214.41094353751,102214.41094353751,99252.31652941875,99252.31652941875,453.0196721988019,14968.440582402978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,26,96683.22171542002,2569.094813998715,144
2025-01-27,102809.77902787286,102809.77902787286,97935.7189912739,97935.7189912739,414.94936645604514,18831.31732766225,198.49428333333356,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,28,95901.95653069994,2033.7624605739559,144
2025-01-28,103192.24036905012,103192.24036905012,98243.69296804882,98243.69296804882,333.55297656842447,16545.393978951895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,30,96462.07790394998,1781.6150640988435,144
2025-01-29,104077.58916472984,104077.58916472984,96761.22938347433,96761.22938347433,179.79855714164637,22742.18367187149,130.00299999999982,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,7,96003.08102446196,758.1483590123557,144
2025-01-30,104259.63183842215,104259.63183842215,98799.94044805958,98799.94044805958,208.84119799983694,20498.328986421988,227.56126666666637,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,14,97582.05329563547,1217.8871524241297,144
2025-01-31,99315.31447831019,99315.31447831019,73210.99844730199,73210.99844730199,0.0,52235.594461643515,8315.396966666665,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0,73210.99844730199,0.0,144
2025-02-01,96302.17437796496,96302.17437796496,65789.27990433594,65789.27990433594,0.0,51451.99656129828,10472.001883333334,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0,65789.27990433594,0.0,144
2025-02-02,99884.29147612503,99884.29147612503,87703.35626789683,87703.35626789683,129.82958767604464,21220.650563801086,437.1925500000001,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,7,86879.88328012894,823.472987767885,144
2025-02-03,100014.8187814568,100014.8187814568,88232.36062855221,88232.36062855221,70.79093072926696,19788.026728852736,80.66648333333353,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,8,87851.64907223353,380.71155631868635,144
2025-02-04,100246.85309139412,100246.85309139412,88890.70530447309,88890.70530447309,126.05702874958695,18858.99782014372,319.0483500000005,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,8,88419.43249581163,471.27280866143326,144
