date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,64816.03163252717,64816.03163252717,261206.75266537163,261206.75266537163,34593.63373713949,21.217300000000023,0.0,17346.217299999997,9992.939246999993,6000.0,10508.32974,1200.0,10508.32974,1.1368683772161603e-13,84,41978.55472847065,219228.197936901,78
2025-01-02,61442.87567640093,61442.87567640093,259531.905008747,259531.905008747,33947.78364729561,105.19700079365089,0.0,12665.490468160584,10265.267411924358,10508.32974,10501.41848142857,1200.0,10508.32974,1.1368683772161603e-13,81,40867.06568109306,218664.83932765393,75
2025-01-03,63475.84752074904,63475.84752074904,33473.30141089778,33473.30141089778,70.93912390489466,13898.651455397168,455.03453165714893,17997.031180098355,14308.871889165388,10501.41848142857,10800.0,1200.0,10800.0,2.2737367544323206e-13,1,33134.03505082262,339.2663600751587,69
2025-01-04,62625.70879601512,62625.70879601512,32638.32738290355,32638.32738290355,0.0,13600.838470311028,999.0910843127544,17158.82565644566,13898.648781720987,10800.0,10800.0,1784.4591308814786,10800.0,1.1368683772161603e-13,0,32638.32738290355,0.0,74
2025-01-05,62090.40547484357,62090.40547484357,242422.7810998656,242422.7810998656,31413.667386608216,0.6023643526947353,0.0,14465.704617682844,11997.944420583746,10800.0,10488.084799710396,1200.0,10800.0,1.1368683772161603e-13,73,41474.85979529224,200947.9213045733,69
2025-01-06,64273.2015097927,64273.2015097927,236068.44230753122,236068.44230753122,29366.478146701855,2.0598794924690083,0.0,15585.360959830658,12580.222282828558,10488.084799710396,10536.884904859591,1200.0,10536.884904859591,0.0,70,43272.41461660502,192796.02769092622,64
2025-01-07,65850.78938059534,65850.78938059534,237271.38920357244,237271.38920357244,29536.58959689981,7.559904378133979,0.0,14642.705123259364,11829.787000142343,10536.884904859591,10571.11173785708,1200.0,10699.091723922824,0.0,74,44813.497157761434,192457.892045811,67
2025-01-08,68161.13525966939,68161.13525966939,213362.4548635143,213362.4548635143,24840.420812877106,78.50735958920313,0.0,17479.558117529377,14082.510721238745,10571.11173785708,10655.479908923802,1200.0,10655.479908923802,1.1368683772161603e-13,63,46049.87893534008,167312.5759281742,57
2025-01-09,69686.56602316044,69686.56602316044,212722.48523576246,212722.48523576246,24725.89006265522,58.79923243381427,0.0,17119.838080745056,13857.737344029862,10655.479908923802,10665.848243783392,1200.0,10665.848243783392,1.1368683772161603e-13,64,47298.16029243816,165424.3249433243,59
2025-01-10,69455.94898399571,69455.94898399571,36360.67530850333,36360.67530850333,0.0,18849.846958777074,2167.7041999999997,14878.918568194833,11931.187459642864,10665.848243783392,10800.0,4352.5273374653725,10800.0,2.2737367544323206e-13,0,36360.67530850333,0.0,74
