date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,83478.26073087219,98349.80639594205,106901.35190273734,106901.35424899052,3862.5556546565285,21.217300000000023,0.0,32097.2549865035,21941.28025257158,6000.0,10508.32920721806,1200.0,10508.32920721806,2.2737367544323206e-13,26,82218.02669933249,24683.325203404853,21
2025-01-02,102081.74120051047,98362.9575400619,77552.63534587681,81650.98838838951,0.0,538.4373910253433,0.0,25231.39239313822,20292.11151076833,10508.32920721806,10669.791793522096,1208.8564712892605,10800.0,2.2737367544323206e-13,0,77552.63534587681,0.0,1
2025-01-03,101244.15572717649,83381.57580644506,55395.48923767511,65607.0412400141,0.0,31050.580244300065,4707.5778,10533.100050780107,8414.623655301773,10669.791793522096,10800.0,4337.799996393921,10800.0,1.9184653865522705e-13,0,55395.48923767511,0.0,95
2025-01-04,98127.11315605996,82257.6249855212,53592.170074075446,62055.096212569515,0.0,30370.33795096093,5137.811183333333,10441.439392422479,8457.56590786221,10800.0,10800.0,3836.164295276598,10800.0,1.7053025658242404e-13,0,53592.170074075446,0.0,94
2025-01-05,97159.5765752024,96478.41169512106,75754.46118967164,77668.97722567216,34.50688950810297,776.8745184385458,0.0,24993.124701239387,20292.790935048775,10800.0,10746.266747727926,1215.3196997459559,10800.0,2.2737367544323206e-13,3,75502.64759446809,251.8135952035476,8
2025-01-06,96859.34355069613,96057.98535298821,75382.90713615537,76952.73673686097,63.115033714120344,749.6137002155726,0.0,25244.57296111579,20505.56737462904,10746.266747727926,10682.41866314432,1200.0,10800.0,2.2737367544323206e-13,4,74991.22480137579,391.6823347795721,19
2025-01-07,96780.26038772505,99014.94623998209,77762.5889293274,77876.61844237978,18.80496950183317,1564.7962020044638,0.0,25243.320285838658,20341.2662283592,10682.41866314432,10800.0,1200.0,10800.0,2.2737367544323206e-13,1,77639.44458654465,123.14434278275453,36
2025-01-08,107452.22248255089,97257.18821562512,78298.83646578138,87952.81683724912,0.0,2948.9777545571806,0.0,25169.52181263833,20387.31266823705,10800.0,10800.0,1220.401615377278,10800.0,2.2737367544323206e-13,0,78298.83646578138,0.0,36
2025-01-09,101263.39079637518,98793.53358457993,76665.76134722625,79021.60377791517,0.0,3204.992477393095,0.0,23668.34205536933,19171.35706484916,10800.0,10800.0,1339.085950671381,10800.0,2.2737367544323206e-13,0,76665.76134722625,0.0,58
2025-01-10,106569.50448925488,83188.1820293025,56314.19427660108,70384.39358495345,0.0,31889.088971300487,3817.444433333333,10478.852147379002,8487.870239376989,10800.0,10800.0,4161.829914867733,10800.0,2.8421709430404007e-13,0,56314.19427660108,0.0,96
2025-01-11,99094.88408359498,82012.0949031078,53578.00925462559,63221.87993622433,0.0,30558.5707162875,4652.241666666667,10243.783403045722,8308.38749955875,10800.0,10787.863396564762,3932.258169037435,10800.0,1.4210854715202004e-13,0,53578.00925462559,0.0,98
2025-01-12,99610.22176525899,97184.27322627058,78447.36251468363,82482.03448393039,111.79586525779231,1972.2039844147134,0.0,23906.764753041767,19448.7880459281,10787.863396564762,10694.187178826684,1200.0,10800.0,2.2737367544323206e-13,2,77703.52906044657,743.8334542370629,35
2025-01-13,100884.52647140589,95430.45248286212,75457.56703733437,80702.94569836423,150.14772686276416,3017.1981428413615,0.0,22704.140765905082,18414.69566568822,10694.187178826684,10667.140906265457,1200.0,10800.0,2.2737367544323206e-13,5,74733.04656129697,724.5204760374012,57
2025-01-14,100146.3119439687,96677.64888488056,75129.2911339279,78424.24423814355,76.42522633554631,2902.530625902227,0.0,24197.253053705477,19626.022501724932,10667.140906265457,10637.976986017142,1200.0,10800.0,2.2737367544323206e-13,1,74525.18793235856,604.1032015693258,45
2025-01-15,97969.66276746901,98647.67727404105,77766.37926902878,78650.9226161906,145.57496163054117,4214.5703449039975,0.0,23065.856367674904,18557.51741024063,10637.976986017142,10777.7839277683,1200.0,10800.0,2.2737367544323206e-13,4,76743.92252950193,1022.4567395268502,71
2025-01-16,97457.49616386462,96705.41467051624,73426.89238061196,74440.34574483107,0.0,3199.921195810318,0.0,23712.860113957646,19281.518089251713,10777.7839277683,10695.449042272725,1223.5438492937014,10800.0,2.2737367544323206e-13,0,73426.89238061196,0.0,56
2025-01-17,97513.80642188666,80014.75263450897,51793.1195511801,61077.684215900175,0.0,29683.55217054286,5609.216545786041,10204.07678715196,8171.206335638542,10695.449042272725,10800.0,3975.6708524889864,10800.0,1.1368683772161603e-13,0,51793.1195511801,0.0,101
2025-01-18,99511.17990465222,79051.40062793087,51757.48960913153,63422.30859125036,0.0,28393.412926166566,5497.255255937733,10313.305686706082,8395.08225754618,10800.0,10754.105942984164,3745.046960391462,10800.0,1.1368683772161603e-13,0,51757.48960913153,0.0,100
2025-01-19,95473.778701471,96304.55930303101,73919.90554439765,74149.94300129823,95.16626448465955,3048.4305250641946,0.0,24749.67150219029,20081.51592640547,10754.105942984164,10716.014821171564,1200.0,10800.0,2.2737367544323206e-13,3,73323.46121185574,596.4443325419163,45
2025-01-20,97306.20252647724,95448.78484654892,72600.41431693424,74668.99463720326,30.374533887441693,2677.81670065066,0.0,24644.585257379265,19910.319127593553,10716.014821171564,10773.564744375624,1200.0,10800.0,2.2737367544323206e-13,3,72420.13719771252,180.27711922172318,40
2025-01-21,98538.56433963912,92689.6777583379,69942.28426922017,75175.23070887841,0.0,4793.594073939053,27.84333333333325,23114.568566577567,18722.23289884539,10773.564744375624,10774.195455578341,1237.645567368116,10800.0,2.2737367544323206e-13,0,69942.28426922017,0.0,52
2025-01-22,102012.56341951551,97718.88606669748,76649.17455890961,80967.77434694424,227.33230310429965,4435.87668790775,0.0,24420.034625133863,19808.457309906495,10774.195455578341,10742.829607191601,1200.0,10800.0,2.2737367544323206e-13,6,75450.04744333144,1199.1271155781744,55
