date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,83478.26073087219,95172.5795249331,120992.88588830431,120992.88589275761,6187.849376166667,21.217300000000023,0.0,27613.393822543694,18309.352238110594,6000.0,10508.32973127755,1200.0,10508.32973127755,2.2737367544323206e-13,27,80206.46365100417,40786.42223730013,22
2025-01-02,102081.74061822201,98198.05591726262,77327.77089452787,81275.38682802062,0.0,414.71936230158656,0.0,24975.21869457348,20077.121406279097,10508.32973127755,10678.113882750245,1217.1781425749584,10786.912273862428,2.2737367544323206e-13,0,77327.77089452787,0.0,0
2025-01-03,101234.90896151867,93876.84589122084,58341.1488307879,62653.91145339599,0.0,41767.498920471015,4817.981269537037,8824.8780474808,7038.45371293467,10678.113882750245,10800.0,4995.681795754798,10800.0,1.1368683772161603e-13,0,58341.1488307879,0.0,101
2025-01-04,98127.11315605996,92219.67182842939,56924.701019163156,60555.754589080505,0.0,40258.45067075321,5518.926122094834,8824.698257445623,7148.005588530956,10800.0,10800.0,4777.0790773217095,10800.0,2.2737367544323206e-13,0,56924.701019163156,0.0,101
2025-01-05,97159.5765752024,96017.4922467591,77625.83041394339,79290.55148844662,479.4060813346135,722.9566522029403,0.0,25109.368923062793,20371.137547172017,10800.0,10763.834756120956,1200.0,10800.0,2.2737367544323206e-13,8,74314.80546746435,3311.024946479024,13
2025-01-06,96843.53234557086,96377.46969620927,76095.92664653536,76991.6314704299,176.6000049689644,1198.1344204523189,0.0,25245.936783940342,20522.48260321443,10763.834756120956,10682.419413651232,1200.0,10800.0,2.2737367544323206e-13,5,74796.31008214841,1299.616564386945,13
2025-01-07,96780.25955382924,99549.87796761734,78210.17849929523,78230.64612645336,0.0,2091.37353646013,0.0,25188.320807596465,20296.71732643924,10682.419413651232,10800.0,1286.150915391548,10800.0,2.2737367544323206e-13,0,78210.17849929523,0.0,35
2025-01-08,107452.22248255089,97718.08761926624,78543.70671995888,87620.32952606774,0.0,3515.1405392856345,0.0,24615.50401744187,19938.558254127915,10800.0,10800.0,1415.275965463321,10800.0,2.2737367544323206e-13,0,78543.70671995888,0.0,41
2025-01-09,101263.39079637518,99455.18328609559,77011.1585204628,78806.24523644986,0.0,3934.9626762825947,0.0,23308.760490243905,18880.095997097567,10800.0,10800.0,1480.1931751399306,10800.0,2.2737367544323206e-13,0,77011.1585204628,0.0,61
2025-01-10,106569.50448925488,93191.24622012222,58770.11814480975,67825.99140867565,0.0,42133.82679621483,3869.4235747329167,8933.311223725315,7235.982091217504,10800.0,10800.0,4832.349303350887,10800.0,1.1368683772161603e-13,0,58770.11814480975,0.0,99
2025-01-11,99094.88408359498,92274.7988939709,56420.72378513658,60311.96794689337,0.0,40539.90427096232,5212.214937088787,8719.963522384915,7063.170453131782,10800.0,10800.0,4650.667295548426,10800.0,2.2737367544323206e-13,0,56420.72378513658,0.0,102
2025-01-12,99596.73665457239,97619.37921073442,79481.65952120474,83359.94690479792,215.34224574072394,2507.710932623471,0.0,23898.41870019152,19437.296576339846,10800.0,10711.580634239204,1200.0,10800.0,3.410605131648481e-13,2,78021.18148515017,1460.478036054578,36
2025-01-13,100865.20041038192,95720.10045621118,75737.14277638972,80527.65585239921,211.06251890663924,3384.773796679322,0.0,22696.988570557685,18424.556358785845,10711.580634239204,10667.141060201297,1200.0,10800.0,2.2737367544323206e-13,6,74630.9971828022,1106.1455935875267,62
2025-01-14,100319.37635510866,96986.66189191648,76021.21775440428,79120.91142810733,180.76408932734682,3203.346348363162,0.0,24199.517750636674,19515.751051089348,10667.141060201297,10762.539201230593,1200.0,10800.0,2.2737367544323206e-13,1,74592.36801031626,1428.8497440880128,55
2025-01-15,98022.52962995722,98306.12399360997,76867.12249161913,77614.72844175609,113.12632315066597,3916.1413153157787,0.0,23152.901837995036,18720.135769883516,10762.539201230593,10800.0,1200.0,10800.0,2.2737367544323206e-13,3,76025.7069082302,841.4155833889264,62
2025-01-16,99125.70938063283,97147.93996474179,74018.77587782397,75870.02027184251,0.0,3591.792706861732,0.0,23615.941666578103,19133.945858698047,10800.0,10794.407656922464,1239.3796173622695,10800.0,2.2737367544323206e-13,0,74018.77587782397,0.0,55
2025-01-17,97355.46382719613,90545.89778757261,54516.488011248,58305.84536793243,0.0,40432.18212074939,5740.465856654123,8837.385445961241,7153.249102458822,10794.407656922464,10800.0,4504.978774531902,10800.0,1.1368683772161603e-13,0,54516.488011248,0.0,103
2025-01-18,99360.7810428751,89314.03532767345,54435.88423958779,60432.97634912288,0.0,38691.06676759443,5680.054989846857,8949.497650344721,7249.0930967792265,10800.0,10800.0,4616.640370370372,10800.0,2.2737367544323206e-13,0,54435.88423958779,0.0,103
2025-01-19,95282.91012527668,95941.88674147896,75172.41416312748,75451.81156586055,346.1916892511579,3011.8607644679832,0.0,24714.157462984014,20121.07926338854,10800.0,10685.986979587233,1200.0,10800.0,2.2737367544323206e-13,3,72909.26756865266,2263.1465944748275,46
2025-01-20,96666.58566085514,95204.30005419719,73828.76636875099,75659.88580879534,271.4954671436441,2654.130806908408,0.0,24712.664108609708,19958.075944177275,10685.986979587233,10751.744739361215,1200.0,10800.0,2.2737367544323206e-13,5,72106.08979564253,1722.6765731084547,41
2025-01-21,97474.52057035893,92555.51998666968,69606.17077943984,73871.79271687071,0.0,4656.87826844386,27.84333333333325,23027.23402286187,18632.340321302712,10751.744739361215,10773.655002933881,1227.084597329804,10800.0,2.2737367544323206e-13,0,69606.17077943984,0.0,50
