date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,83478.26073087219,95172.5795249331,112835.6014408443,112835.6014452976,6187.849376166667,21.217300000000023,0.0,27613.393822543694,18309.352238110594,6000.0,10508.32973127755,1200.0,10508.32973127755,2.2737367544323206e-13,27,80206.46365100417,32629.13778984011,22
2025-01-02,102081.74061822201,98198.05591726262,77327.77089452787,81275.38682802062,0.0,414.71936230158656,0.0,24975.21869457348,20077.121406279097,10508.32973127755,10678.113882750245,1217.1781425749584,10786.912273862428,2.2737367544323206e-13,0,77327.77089452787,0.0,0
2025-01-03,101234.90896151867,93876.84589122084,58341.1488307879,62653.91145339599,0.0,41767.498920471015,4817.981269537037,8824.8780474808,7038.45371293467,10678.113882750245,10800.0,4995.681795754798,10800.0,1.1368683772161603e-13,0,58341.1488307879,0.0,101
2025-01-04,98127.11315605996,92219.67182842939,56924.701019163156,60555.754589080505,0.0,40258.45067075321,5518.926122094834,8824.698257445623,7148.005588530956,10800.0,10800.0,4777.0790773217095,10800.0,2.2737367544323206e-13,0,56924.701019163156,0.0,101
2025-01-05,97159.5765752024,96017.4922467591,76963.62542464756,78628.34649915082,479.4060813346135,722.9566522029403,0.0,25109.368923062793,20371.137547172017,10800.0,10763.834756120956,1200.0,10800.0,2.2737367544323206e-13,8,74314.80546746435,2648.8199571832192,13
2025-01-06,96843.53234557086,96377.46969620927,75836.00333365797,76731.70815755252,176.6000049689644,1198.1344204523189,0.0,25245.936783940342,20522.48260321443,10763.834756120956,10682.419413651232,1200.0,10800.0,2.2737367544323206e-13,5,74796.31008214841,1039.693251509556,13
2025-01-07,96780.25955382924,99549.87796761734,78210.17849929523,78230.64612645336,0.0,2091.37353646013,0.0,25188.320807596465,20296.71732643924,10682.419413651232,10800.0,1286.150915391548,10800.0,2.2737367544323206e-13,0,78210.17849929523,0.0,35
2025-01-08,107452.22248255089,97718.08761926624,78543.70671995888,87620.32952606774,0.0,3515.1405392856345,0.0,24615.50401744187,19938.558254127915,10800.0,10800.0,1415.275965463321,10800.0,2.2737367544323206e-13,0,78543.70671995888,0.0,41
2025-01-09,101263.39079637518,99455.18328609559,77011.1585204628,78806.24523644986,0.0,3934.9626762825947,0.0,23308.760490243905,18880.095997097567,10800.0,10800.0,1480.1931751399306,10800.0,2.2737367544323206e-13,0,77011.1585204628,0.0,61
2025-01-10,106569.50448925488,93191.24622012222,58770.11814480975,67825.99140867565,0.0,42133.82679621483,3869.4235747329167,8933.311223725315,7235.982091217504,10800.0,10800.0,4832.349303350887,10800.0,1.1368683772161603e-13,0,58770.11814480975,0.0,99
2025-01-11,99094.88408359498,92274.7988939709,56420.72378513658,60311.96794689337,0.0,40539.90427096232,5212.214937088787,8719.963522384915,7063.170453131782,10800.0,10800.0,4650.667295548426,10800.0,2.2737367544323206e-13,0,56420.72378513658,0.0,102
2025-01-12,99596.73665457239,97619.37921073442,79189.56391399383,83067.851297587,215.34224574072394,2507.710932623471,0.0,23898.41870019152,19437.296576339846,10800.0,10711.580634239204,1200.0,10800.0,3.410605131648481e-13,2,78021.18148515017,1168.3824288436624,36
2025-01-13,100865.20041038192,95720.10045621118,75515.91365767221,80306.42673368171,211.06251890663924,3384.773796679322,0.0,22696.988570557685,18424.556358785845,10711.580634239204,10667.141060201297,1200.0,10800.0,2.2737367544323206e-13,6,74630.9971828022,884.9164748700214,62
