name,adjusted,variable,alpha,history_days,max_scenarios,baseline,risk_mode,capacity,power,eta,emergency,events,cash_cost_yuan,alternative_cash_cost_yuan,plan_kwh,final_contract_kwh,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,emergency_slots,settlement_yuan,emergency_yuan,days,soc_end_kwh,soc_bound_rate,equivalent_cycles,pv_curtailment_rate,max_balance_residual_kwh
q2_safe,False,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",18446381.685584377,18446381.685584377,24703183.50702332,24703183.50702332,499461.61793698,4217462.441203058,1977439.0051563606,5624699.880602252,4556145.696968033,2069.0,15383249.090563633,3063132.595020746,334,10645.784799766761,0.3953343313373254,424.20189906542856,0.10369974370554225,3.694822225952521e-13
q2_point,False,False,0.8,60,9,point,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",27574292.968988486,27574292.968988486,19564572.538653575,19564572.538653575,2685630.971450845,1660339.093011266,1618696.222314958,5434193.669707918,4402214.969896385,7712.0,11745146.99448087,15829145.974507613,334,10224.336185586511,0.34266882900864937,409.85035998351265,0.0848867565338217,3.694822225952521e-13
q2_typical,False,False,0.8,60,9,typical,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",27753076.303506132,27753076.303506132,20039395.17932912,20039395.17932912,2724419.8294824394,2019497.7278505627,1773185.713910865,5431979.7380840555,4400037.666000586,7540.0,11817384.710868977,15935691.592637155,334,10651.024274999998,0.35056969394544246,409.6673918368601,0.09298840752883092,3.410605131648481e-13
q2_no_storage,False,False,0.8,60,9,no_storage,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",21648775.085841443,21648775.085841443,24592592.62328785,24592592.62328785,540700.1189349252,4135943.331056111,3058159.9162,0.0,0.0,12392.0,19439700.07173161,2209075.014109834,334,0.0,1.0,,0.16037430165661484,2.2737367544323206e-13
q42_safe,False,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",18924373.19845593,18924373.19845593,24710948.776234694,24710948.776234694,498851.05413195636,4198994.129071556,1992637.63267498,5679539.8282557195,4600561.254602268,2097.0,15725934.90088022,3198438.297575712,334,10651.118094294772,0.3813414836992681,428.33754511908285,0.10449678157839042,4.547473508864641e-13
q42_point,False,True,0.8,60,9,point,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",29015868.603872057,29015868.603872057,19582772.532912876,19582772.532912876,2674276.4715680713,1592032.6317672594,1674100.4125488503,5538129.277006036,4486402.811807862,7734.0,11912683.858076219,17103184.74579584,334,10224.336185586511,0.32591067864271456,417.68883703391236,0.08779223190498918,3.694822225952521e-13
q42_typical,False,True,0.8,60,9,typical,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",29355066.90662477,29355066.90662477,20060514.196619354,20060514.196619354,2740194.7064419743,2039881.1765039347,1771109.6174826631,5529837.170158243,4479308.556050178,7616.0,11780483.057579754,17574583.84904502,334,10643.946419999998,0.3463073852295409,417.04773859201754,0.09287953404805548,3.410605131648481e-13
q42_no_storage,False,True,0.8,60,9,no_storage,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",22124129.729415745,22124129.729415745,24592592.622362282,24592592.622362282,540700.1189349252,4135943.330130542,3058159.9162,0.0,0.0,12392.0,19696054.00513517,2428075.7242805734,334,0.0,1.0,,0.16037430165661484,2.2737367544323206e-13
q3_0h,True,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,[0],17346919.249018025,17346919.249018025,24974746.902116887,24974746.902116887,296815.563527557,4220009.224092712,2007768.7311590156,5814388.468980335,4709793.453554282,1613.0,15505993.784748994,1840925.4642690332,334,10645.784799766761,0.37955339321357284,438.507580105609,0.10529027813160205,3.694822225952521e-13
q3_12h,True,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 12]",16837256.360243764,17435605.698546283,24974657.549004335,24168838.092689518,233937.25116006905,3409006.441294155,1938742.5657688864,5873555.976316263,4757719.134496383,1517.0,15421956.462228693,1415299.8980150707,334,10645.784799766761,0.3664545908183633,442.9697962838602,0.10167044680367354,3.410605131648481e-13
q3_6h,True,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16222449.295710206,17025691.963905223,24974321.281667456,24063658.975016955,100703.51599374649,3232703.5560496906,1863872.6197491507,5940713.758207181,4812116.937961986,1143.0,15631534.801269189,590914.4944410184,334,10645.784650922635,0.3528567864271457,448.034612340382,0.09774415921996096,3.410605131648481e-13
q3_2h,True,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22]",15594064.561901484,17016617.95122504,24978328.474464692,23147412.81253489,44798.07083524942,2229268.127600792,1836875.7531025095,6247454.223366417,5060576.715666246,986.0,15340296.786148746,253767.77575273957,334,10645.78362283635,0.3325016633399867,471.1679557930276,0.0963284047290213,3.410605131648481e-13
q43_0h,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,[0],17819644.989413157,17819644.989413157,24981502.505792413,24981502.505792413,298025.9943938238,4212205.006974174,2012267.1685617627,5873688.544204043,4757821.71452041,1638.0,15845759.0466789,1973885.9427342585,334,10651.118094294772,0.365539753825682,442.9795941135189,0.10552618265483836,3.623767952376511e-13
