release_hour,base_release_set,expanded_release_set,conditional_marginal_saving_yuan,shapley_weight,shapley_saving_yuan,record_type
6,S_none,S_6,196430.95275259018,0.3333333333333333,,conditional_marginal
6,S_12,S_6_12,69742.27234523743,0.16666666666666666,,conditional_marginal
6,S_18,S_6_18,155715.02230562642,0.16666666666666666,,conditional_marginal
6,S_12_18,S_6_12_18,69524.02436302975,0.3333333333333333,,conditional_marginal
12,S_none,S_12,289712.555377936,0.3333333333333333,,conditional_marginal
12,S_6,S_6_12,163023.87497058325,0.16666666666666666,,conditional_marginal
12,S_18,S_12_18,187677.52008641884,0.16666666666666666,,conditional_marginal
12,S_6_18,S_6_12_18,101486.52214382216,0.3333333333333333,,conditional_marginal
18,S_none,S_18,124685.73987294734,0.3333333333333333,,conditional_marginal
18,S_6,S_6_18,83969.80942598358,0.16666666666666666,,conditional_marginal
18,S_12,S_12_18,22650.704581430182,0.16666666666666666,,conditional_marginal
18,S_6_12,S_6_12_18,22432.456599222496,0.3333333333333333,,conditional_marginal
6,,,,,126227.87481368394,shapley
12,,,,,188849.92501675306,shapley
18,,,,,66809.4844919589,shapley
