release_set,allowed_issue_hours,month,days,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,plan_kwh,final_contract_kwh,actual_effective_grid_kwh,emergency_kwh,emergency_days,emergency_slots,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,safe_net_coverage,pinball_mean_kw,soc_end_kwh,max_balance_residual_kwh,saving_vs_S_none_yuan,emergency_reduction_vs_S_none_kwh
S_none,none,2,28,1508776.621926069,1487065.212056386,21711.409869683128,2428649.2405891316,2322494.6804735647,1915525.5303282444,3267.807038983385,11,41,410236.9571843031,108299.18404636509,491298.28534322634,397951.61112801346,0.8809523809523809,183.3219255187836,10800.0,3.410605131648481e-13,0.0,0.0
S_none,none,3,31,1382122.8612440655,1348948.9913905605,33173.8698535048,2223543.2468025405,2153916.5084307166,1823850.293562585,5103.026070286077,13,67,335169.24093841756,194562.49519820866,541948.0626195257,438977.9307218158,0.7934587813620072,183.9484923815867,10800.0,3.410605131648481e-13,0.0,0.0
S_none,none,4,30,1119299.343999867,1066747.5639268295,52551.780073037546,1707595.9724397343,1711947.6208873272,1535251.0883858665,8475.405947659261,13,78,185171.93844912003,217296.64892182974,527766.1536566555,427541.3131926188,0.6421296296296296,182.28184922441446,10743.634743635883,3.410605131648481e-13,0.0,0.0
S_none,none,5,31,1214228.209568102,1086476.9694142488,127751.24015385305,1739998.8993106345,1748703.7723302832,1553258.0195196888,20612.51272427454,20,160,216058.265534869,269087.36160510755,512155.0748273006,414794.88187938585,0.6303763440860215,212.19784820860497,10800.0,3.410605131648481e-13,0.0,0.0
S_none,none,6,30,1575851.7870646038,1454050.8532082257,121800.93385637776,2281505.9428458908,2244240.0581801548,1976680.6265743794,19708.135982677195,21,225,287267.5675884524,124448.07125872723,538102.0480648371,435862.65893251804,0.6340277777777777,223.19163613431348,10800.0,3.410605131648481e-13,0.0,0.0
S_none,none,7,31,1708770.2162344488,1598714.030141023,110056.18609342573,2424397.0591483274,2435361.7457218054,2196503.3319328083,18314.59487728988,20,217,257173.00866628738,145349.66639438484,559654.7685355606,453320.362513804,0.625,218.19572604568177,10800.0,3.836930773104541e-13,0.0,0.0
S_none,none,8,31,1616938.1324006524,1616920.8813145964,17.25108605598239,2550493.2701735096,2467318.1634876453,1969164.9601169,2.5608381289961244,1,1,498155.76420887426,294996.47957373405,473976.92777104845,383921.31149454927,0.9455645161290323,231.82631564699162,10800.0,3.410605131648481e-13,0.0,0.0
S_none,none,9,30,1520806.7684136892,1516556.752456435,4250.015957254026,2375182.337609546,2323409.5631913794,1718869.5030012166,850.0984160411671,3,8,605390.1586062043,242776.39897100054,461627.5620011373,373918.32522092125,0.9666666666666667,250.64786213803572,10800.0,3.410605131648481e-13,0.0,0.0
S_none,none,10,31,1407029.1580381773,1373387.57821516,33641.57982301724,2180187.2222279236,2141612.4525557016,1796545.5306689022,5967.3995181658975,16,86,351034.32140496525,219318.27238744753,537335.0907795879,435241.4235314662,0.7419354838709677,202.2362421207753,10800.0,3.410605131648481e-13,0.0,0.0
S_none,none,11,30,1574365.6891514955,1452243.96270241,122121.72644908592,2269188.0413758107,2261137.283836722,2012665.9272232759,20462.567085924213,21,218,268933.9236993701,117457.9639621913,566207.5839526779,458972.02867492626,0.5148148148148148,197.49603296914805,10417.90480749196,3.410605131648481e-13,0.0,0.0
S_none,none,12,31,1976147.7919914308,1830607.3586685255,145540.43332290553,2798627.6917874003,2795518.5717956144,2522844.9412100217,26372.620323103543,23,238,299046.25090869603,34384.40966519178,653781.5970543857,529358.0017428892,0.5230734767025089,190.60072785639193,10645.784664340155,3.410605131648481e-13,0.0,0.0
S_6,6,2,28,1483381.8863736761,1474531.3382988707,8850.548074805494,2428509.489431747,2278919.384155526,1916777.7975989822,1387.8463549467162,10,32,363529.4329114905,107275.27684657795,503278.1509775659,407655.3022918283,0.8928571428571429,164.27573313134866,10800.0,2.2737367544323206e-13,25394.735552392907,1879.960684036669
S_6,6,3,31,1360908.6129265681,1341052.1695134868,19856.44341308124,2223006.8457507333,2087148.9246506935,1812162.5760031105,3104.316396476439,14,60,278090.66504405945,181400.58109727758,549895.6105936004,445451.2821544342,0.7914426523297491,160.05369205690192,10760.180473758033,2.8421709430404007e-13,21214.248317497295,1998.7096738096384
S_6,6,4,30,1082605.3545986125,1051751.9238956913,30853.430702921403,1707419.2069007854,1694411.3243787764,1532339.3686429777,4830.980907646683,16,67,166902.93664344508,212093.0615961257,539622.4208696928,437105.7128228408,0.6504629629629629,152.37244677966268,10747.34500888082,2.2737367544323206e-13,36693.989401254505,3644.4250400125775
S_6,6,5,31,1215330.3091062242,1075383.9702702453,139946.33883597874,1740299.3028753875,1727862.046671424,1553120.2226133458,21857.425716231646,20,159,196599.24977430946,269293.91394495824,510360.28531428485,413344.44161256345,0.6245519713261649,193.77351482483562,10800.0,2.2737367544323206e-13,-1102.0995381225039,-1244.9129919571037
S_6,6,6,30,1532566.0353279128,1427744.055132659,104821.98019525417,2281223.7926121596,2180976.7007086407,1974699.4865225994,16769.430703241564,21,215,223046.64488928288,119095.94661005601,555844.0722590009,450233.6985297907,0.5854166666666667,198.26265148963444,10800.0,2.5579538487363607e-13,43285.75173669062,2938.705279435634
S_6,6,7,31,1693777.5350607946,1602988.3853646158,90789.14969617901,2423898.934371084,2410148.832047168,2192434.5131308287,15613.6868767885,18,202,233328.00579312773,141836.96853782044,556727.8161912718,450949.53111493017,0.5893817204301075,209.87469104937463,10800.0,3.410605131648481e-13,14992.681173653858,2700.9080005013766
S_6,6,8,31,1606311.916402876,1605831.1447934995,480.7716093762287,2550493.2701735096,2391831.4010802396,1959781.454903226,71.32797071214793,1,4,432121.274147725,285678.8094839189,473630.427119162,383640.6459665213,0.9500448028673835,200.84032655911628,10800.0,2.2737367544323206e-13,10626.215997776642,-68.7671325831518
S_6,6,9,30,1514520.32004497,1512073.670510679,2446.649534291065,2375182.337609546,2281853.6672525946,1707430.6352054027,494.097458311493,2,8,574917.1295055033,230099.3146504034,468144.4910789448,379197.03777394537,0.9655092592592592,232.94462252409002,10800.0,3.410605131648481e-13,6286.448368718957,356.00095772967404
S_6,6,10,31,1373065.354840054,1348618.1974603327,24447.157379721302,2179704.559963057,2066233.7496024477,1768712.1692371557,4471.776971842539,16,78,301993.3573371345,187962.4951071096,555874.1215616481,450258.03846493503,0.7204301075268817,174.82960654932353,10800.0,2.2737367544323206e-13,33963.80319812305,1495.6225463233582
S_6,6,11,30,1557381.3270579402,1450517.0056806388,106864.32137730144,2269248.2446135315,2245442.462901152,2012054.8473599723,17205.375500817427,21,180,250592.99104199713,115413.19528822029,573797.4898962233,465128.2458078046,0.5347222222222222,181.42523259123544,10408.578897929321,2.2737367544323206e-13,16984.362093555916,3257.1915851067884
S_6,6,12,31,1988056.9755403842,1817218.9626873077,170838.0128530764,2798579.22182973,2768828.7677199813,2522721.7846247135,31664.268885001744,23,266,277771.2519802685,34303.882931773616,653513.0541120111,529132.0886524038,0.4849910394265233,186.19485274397354,10645.784651624008,2.8421709430404007e-13,-11909.183548953319,-5291.648561898197
S_12,12,2,28,1475613.3062110166,1474444.3744742398,1168.9317367765202,2428357.6550196474,2284118.0632253373,1915536.7515000144,185.0592550367873,6,8,368766.3709803594,108487.18641584287,490367.8579868685,397197.9649693634,0.9050099206349206,166.8873457069269,10800.0,2.8421709430404007e-13,33163.31571505246,3082.7477839465982
S_12,12,3,31,1337456.7011065476,1331364.825677437,6091.875429110454,2222692.379510233,2113740.816645657,1819598.8576478518,1056.6264432019416,8,33,295198.58544100664,190089.8079177682,543112.5434916696,439921.16022825235,0.8051075268817204,163.6319991970647,10800.0,3.410605131648481e-13,44666.16013751776,4046.399627084136
S_12,12,4,30,1074624.8077129896,1043150.0390980988,31474.768614890752,1707106.6409793145,1698244.1589030176,1534552.6749937625,5297.150447476632,18,67,168988.6343567317,214859.36741650023,536808.193731841,434844.4851545786,0.6569444444444444,157.02272787642784,10766.83529801414,3.410605131648481e-13,44674.53628687755,3178.255500182629
S_12,12,5,31,1193341.60640406,1066555.5736924855,126786.03271157459,1739661.9858066628,1722138.470104321,1547187.6107308653,20317.34119762862,21,164,195268.2005710843,262828.9288629899,513254.57194432395,415706.3550431152,0.6095430107526881,198.15577814336956,10800.0,3.410605131648481e-13,20886.603164041768,295.1715266459227
