variant,month,group,q20_threshold_actual_pv_kwh,days,emergency_day_rate,safe_net_coverage,mean_actual_pv_kwh,mean_cash_cost_yuan,mean_contract_cost_yuan,mean_emergency_cost_yuan,mean_emergency_kwh,mean_unused_contract_kwh,mean_pv_curtailed_kwh,mean_actual_effective_grid_kwh,mean_pinball_mean_kw
q2_fixed,2,low_pv_q20,42771.98938,6,0.0,0.9571759259259259,41652.22804722222,66943.46788977872,66943.46788977872,0.0,0.0,25392.272124432213,1811.1068194444445,77827.48057082169,215.99838022896222
q2_fixed,2,other,42771.98938,22,0.2727272727272727,0.9409722222222222,48707.33748484848,60475.17158523446,60387.36463252888,87.80695270557106,13.512861362165365,28484.27867500103,5327.256649855576,66184.75063980442,269.1905903155192
q2_fixed,3,low_pv_q20,50758.07591666666,7,0.5714285714285714,0.8541666666666666,48617.05687380951,51781.57522189815,51334.57189147811,447.0033304200423,76.47251889903619,18298.476638382053,5036.112081696262,64438.96506511526,200.3877874586426
q2_fixed,3,other,50758.07591666666,24,0.125,0.8955439814814815,57250.1245,44505.510228807245,44466.180268110205,39.32996069704837,6.653077830834836,14637.269631911033,8070.524782475452,58368.77716579754,188.5717047703512
q2_fixed,4,low_pv_q20,62120.41966,6,0.6666666666666666,0.6377314814814815,59557.947875000005,44093.329057074414,37756.751638288035,6336.577418786383,952.9773309347564,5540.235054382389,4162.942362389314,58288.14947949428,170.85741502406245
q2_fixed,4,other,62120.41966,24,0.20833333333333334,0.7662037037037037,66161.0837111111,34786.22364657657,34659.03871585077,127.18493072579282,18.715969950082293,7628.611559961054,9023.77225581504,50294.15143128411,166.9408781424438
q2_fixed,5,low_pv_q20,65536.15706666667,7,0.5714285714285714,0.5793650793650794,64009.37850952381,50697.917059827894,31290.059867470856,19407.857192357034,2933.9106012116345,6476.290213335741,8435.176100978368,48167.771024356676,250.09318047143483
q2_fixed,5,other,65536.15706666667,24,0.7083333333333334,0.5830439814814815,68332.17222777777,42546.73130270833,31928.023519280145,10618.707783428186,1609.1654003313354,4921.088367294141,7374.639678800311,49266.998019284685,203.84662253544403
q2_fixed,6,low_pv_q20,54648.51869999999,6,0.5,0.5972222222222222,52189.661672222224,70084.93361398292,38114.61666263754,31970.31695134538,5230.110663775272,6858.629011456076,4913.384403011821,60718.522491635114,294.06585463438466
q2_fixed,6,other,54648.51869999999,24,0.7916666666666666,0.4513888888888889,58047.381540972216,79525.4393716696,40650.39993202975,38875.039439639855,6281.065982739991,6447.13876503731,3551.1289655760884,66136.78681014232,339.92754544501446
