variant,date,decision_hour,risk_mode,horizon_slots,simultaneous_flow_slots,simultaneous_flow_max_kwh,max_eq_residual_kwh,solver_status
q2_fixed_clustered,2025-02-01,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-02,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-02-03,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-02-04,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-05,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-02-06,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-07,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-02-08,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-09,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-10,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-11,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-02-12,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-13,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-02-14,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-15,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-02-16,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-17,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-02-18,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-19,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-02-20,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-02-21,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-02-22,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-23,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-02-24,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-25,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-02-26,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-02-27,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-02-28,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-01,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-02,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-03,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-03-04,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-03-05,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-06,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-07,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-08,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-09,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-10,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-03-11,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-03-12,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-13,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-14,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-15,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-16,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-17,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-18,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-19,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-20,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-21,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-22,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-23,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-24,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-03-25,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-26,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-27,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-28,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-03-29,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-03-30,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-03-31,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-01,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-04-02,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-03,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-04,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-05,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-06,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-04-07,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-04-08,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-04-09,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-10,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-04-11,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-12,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-04-13,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-14,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-15,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-04-16,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
