variant,month,days,actual_load_kwh,actual_pv_kwh,plan_kwh,final_contract_kwh,actual_effective_grid_kwh,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,pv_used_kwh,charge_kwh,discharge_kwh,contract_cost_yuan,emergency_cost_yuan,cash_cost_yuan,emergency_days,emergency_slots,safe_net_coverage,pinball_mean_kw,soc_end_kwh
q2_fixed,2,28,3035354.4650166663,1321474.7929499997,2701739.8781472757,2701739.8781472757,1923029.3975006274,297.28294996763805,779007.7635966159,128066.28721348936,1193408.5057365107,426754.93800248334,345671.49978201144,1730182.8292543076,1931.7529595225635,1732114.5822138302,6,11,0.9444444444444444,257.7922595826856,10800.0
q2_fixed,3,31,3240640.052583333,1714322.3861166665,2330612.2335692532,2330612.2335692532,1851923.4074349478,694.9815002332894,479383.8076345392,228945.37935128476,1485377.006765382,508738.74535261263,412078.3837356163,1426530.3296749918,4072.9423696694575,1430603.272044661,7,29,0.8862007168458781,191.23985247415894,10800.0
q2_fixed,4,30,3162943.2953166664,1945213.6963166667,1766949.5717287338,1766949.5717287338,1556788.531227784,6167.047264410514,216328.0877653596,241548.18831389686,1703665.5080027697,513263.82258666685,415753.0786727792,1058357.4390101465,41071.90285013732,1099429.341860284,9,26,0.7405092592592593,167.72418551876754,10789.575136023303
q2_fixed,5,31,3274848.2480000006,2088037.7830333333,1623865.1581253053,1623865.1581253053,1519582.3496333288,59157.34381643349,163440.15230840957,236037.58499805603,1852000.198035277,509078.5120580399,412344.21238943323,985302.9835350197,390703.9871487757,1376006.9706837952,21,205,0.5822132616487455,214.2893936822807,10800.0
q2_fixed,6,30,3456268.2932,1706275.1270166666,1965350.8752544466,1965350.8752544466,1951594.018393226,182126.24756841146,195883.10442963193,114707.40159189704,1591567.7254247696,457333.95062103117,370440.5000030353,1204297.2983445395,1124822.8482594287,2329120.146603968,22,584,0.48055555555555557,330.7552072828885,10800.0
q2_fixed,7,31,3970920.4401166663,2026101.1805999998,2595007.022540527,2595007.022540527,2209715.1252961243,25543.898746280887,410835.795990684,160225.38371949064,1865875.7968805092,550897.2739998228,446226.7919398564,1626000.7846568648,151009.72617675053,1777010.5108336157,17,233,0.7202060931899642,214.47155637998486,10800.0
q2_fixed,8,31,3753611.7254499993,2169498.8611833337,2600426.90520298,2600426.90520298,1994171.2777974014,377.35130173297625,606632.9787073111,322650.74879703723,1846848.1123862956,460040.34070367395,372632.6759699759,1645776.5140384235,1891.9299001982079,1647668.4439386216,2,4,0.9543010752688172,247.21432334986378,10800.0
q2_fixed,9,30,3265855.511633333,1877471.6443833332,2180767.8255398064,2180767.8255398064,1693131.0956937878,12145.011821848897,499781.7416678675,213694.2159808572,1663777.4284024762,479226.38138384646,388173.36892091564,1384853.0478127354,69761.88131384706,1454614.929126583,10,72,0.8493055555555555,238.20768745581958,10800.0
q2_fixed,10,31,3234182.50155,1759048.9105166667,1989618.62075445,1989618.62075445,1763442.3304431317,55148.09737850334,281324.3876898217,186764.1962607005,1572284.7142559658,534444.9639426218,432900.4207935236,1228392.735085814,336887.9042365621,1565280.6393223759,20,216,0.6370967741935484,204.66028454308196,10800.0
q2_fixed,11,30,3123123.369616667,1335150.9616333335,2162505.096275799,2162505.096275799,2002591.147594618,83652.3625756271,243566.31125680765,110126.54200371074,1225024.4196296227,551768.8588984221,447276.6612908478,1328493.3191040342,515863.0567268711,1844356.3758309055,21,371,0.42800925925925926,211.78589888810387,10417.904907637825
q2_fixed,12,31,3490331.5867666667,1126294.6505333334,2786340.319884744,2786340.319884744,2519214.002742265,74151.9930135304,341278.31015600916,34673.07692594018,1091621.5736073933,633152.0930530295,512648.1034700379,1765061.8100467569,425114.66307898326,2190176.47312574,23,318,0.5380824372759857,196.30778586078583,10645.784799766761
q3_fixed,2,28,3035354.4650166663,1321474.7929499997,2428357.6550196474,2265210.0665133363,1916032.7901505218,238.99056678965752,349416.26692960336,106383.07755109564,1215091.7153989044,504052.844909262,408282.8043765023,1468048.6331666051,1405.113477445388,1469453.7466440503,8,12,0.9032738095238095,157.4305092254691,10800.0
q3_fixed,3,31,3240640.052583333,1714322.3861166665,2222544.6778661693,2080855.3083352852,1810235.2374817382,409.4513506281326,271029.5222041743,179180.73231410456,1535141.653802562,551246.5194787759,446509.6807778084,1325270.4926715468,2224.5559872719714,1327495.0486588185,6,24,0.821236559139785,149.8091541622217,10800.0
q3_fixed,4,30,3162943.2953166664,1945213.6963166667,1706976.5534758852,1688549.5756171802,1528167.6275465812,2039.1699431162901,162421.11801371526,207389.68727351504,1737824.0090431517,542516.78686765,439468.4455945838,1042479.085078223,12316.3319252883,1054795.4170035115,19,49,0.6574074074074074,143.90935035937204,10766.83529801414
q3_fixed,5,31,3274848.2480000006,2088037.7830333333,1739504.264769593,1718222.617831842,1544609.2568851109,16924.426255032868,190537.78720176395,260312.34744543495,1827725.4355878981,512929.45390116866,415443.00942815945,1068222.9329610735,107762.45893418505,1175985.3918952586,20,145,0.6120071684587813,183.13465402037633,10800.0
q3_fixed,6,30,3456268.2932,1706275.1270166666,2280447.1482742354,2178817.6444965014,1975066.5195569051,14364.691004337219,218115.81594393362,119166.28846286706,1587108.8385537995,557405.6047931834,451498.5398824785,1421167.135826606,89400.39578367046,1510567.5316102768,21,195,0.5900462962962963,188.09533937027538,10800.0
q3_fixed,7,31,3970920.4401166663,2026101.1805999998,2423817.885720456,2398107.3182075773,2191006.5004167533,15652.868204408218,222753.68599523208,140750.15647395529,1885351.0241260442,554932.0232954301,449494.9388692985,1592470.5525326384,91282.4113582126,1683752.9638908515,18,197,0.5882616487455197,204.23611344524463,10800.0
q3_fixed,8,31,3753611.7254499993,2169498.8611833337,2550493.2701735096,2385642.6145137385,1957120.3149792054,2.5608381289961244,428524.8603726619,283935.4691922817,1885563.3919910514,468799.902738195,379727.92121793807,1598963.3554246007,17.25108605598239,1598980.606510657,1,1,0.9576612903225806,196.9571694031255,10800.0
q3_fixed,9,30,3265855.511633333,1877471.6443833332,2375182.337609546,2283547.140388201,1708399.0621093083,494.097458311493,575642.1757372041,231514.52534110425,1645957.1190422287,465792.99746423267,377292.3279460285,1510328.8795042746,2446.649534291065,1512775.5290385655,2,8,0.9699074074074074,232.48868042770724,10800.0
q3_fixed,10,31,3234182.50155,1759048.9105166667,2179650.88546597,2063050.5515248994,1767713.2524733911,4360.501109069072,299697.80016057735,186978.34350952113,1572070.5670071454,555796.4101607185,450195.09223018214,1344915.6577584527,23703.483270241337,1368619.1410286939,16,76,0.7235663082437276,168.99942559082078,10800.0
q3_fixed,11,30,3123123.369616667,1335150.9616333335,2268947.800162045,2237155.6440268923,2010716.7434445,15641.90517779026,242080.8057601823,113958.10925349752,1221192.852379836,574369.0100589553,465582.783851286,1444662.5671232152,96650.56541738147,1541313.1325405964,21,175,0.5087962962962963,175.6805336150812,10417.90477385309
q3_fixed,12,31,3490331.5867666667,1126294.6505333334,2798398.8031304004,2764500.4935615035,2522591.6299169953,30574.85408613428,272483.7177306426,34303.882931773616,1091990.7676015599,652872.2045396093,528621.3937877209,1815005.5092219515,163705.2776669747,1978710.7868889263,23,261,0.47558243727598565,183.2208686625542,10645.784650922635
q4_2_variable,2,28,3035354.4650166663,1321474.7929499997,2700274.2433898756,2700274.2433898756,1922982.5126174334,273.752516807892,777565.4832892503,128376.97104348306,1193097.8219065168,424872.99740675674,344147.12789947295,1775137.121694786,1712.8615358658074,1776849.9832306518,5,10,0.9444444444444444,257.7922595826856,10800.0
q4_2_variable,3,31,3240640.052583333,1714322.3861166665,2330140.6535352906,2330140.6535352906,1853015.0030992674,522.7031771281341,477648.35361315147,229395.57138056183,1484926.8147361048,512114.55395810126,414812.7887060621,1369898.4194404602,2904.4671861485695,1372802.8866266087,6,24,0.8862007168458781,191.23985247415894,10800.0
