variant,date,month,risk_mode,lp_solution_count,planning_simultaneous_flow_slots_total,planning_simultaneous_flow_slots_max_per_lp,planning_simultaneous_flow_max_kwh,execution_simultaneous_flow_slots,execution_simultaneous_flow_max_kwh,target_soc_mae_kwh,target_soc_rmse_kwh,target_soc_max_abs_kwh,initial_plan_to_effective_grid_mae_kwh_per_slot,initial_plan_to_effective_grid_rmse_kwh_per_slot,initial_plan_to_effective_grid_sum_kwh,final_contract_to_effective_grid_mae_kwh_per_slot,final_contract_to_effective_grid_rmse_kwh_per_slot,final_contract_to_effective_grid_sum_kwh,emergency_slots,emergency_soc_end_at_min_rate,max_balance_residual_kwh
q2_fixed_clustered,2025-02-01,2,clustered,1,0,0,0.0,0,0.0,2194.3496860598593,3546.8152705360408,9600.0,402.3170746736853,579.4592513238351,-57933.658753010684,402.3170746736853,579.4592513238351,-57933.658753010684,0,,3.410605131648481e-13
q2_fixed_clustered,2025-02-02,2,clustered,1,0,0,0.0,0,0.0,1065.9547435193444,2178.221117146378,7062.51619225793,177.30203400041802,380.5345211977978,-25415.973226879887,177.30203400041802,380.5345211977978,-25415.973226879887,1,1.0,3.410605131648481e-13
q2_fixed_clustered,2025-02-03,2,clustered,1,0,0,0.0,0,0.0,1082.7823884978914,2251.886980084657,7168.329128051368,167.47278533433456,370.06456603477227,-24108.849144009335,167.47278533433456,370.06456603477227,-24108.849144009335,1,1.0,3.410605131648481e-13
q2_fixed_clustered,2025-02-04,2,clustered,1,0,0,0.0,0,0.0,1018.7314284330005,2062.1448116847105,6519.996909426787,159.1219701732811,349.1768346959593,-22913.56370495248,159.1219701732811,349.1768346959593,-22913.56370495248,0,,2.984279490192421e-13
q2_fixed_clustered,2025-02-05,2,clustered,1,0,0,0.0,0,0.0,700.0127520096845,1333.0029250602702,3756.661333115948,104.95342428114716,250.00077790959438,-15113.293096485191,104.95342428114716,250.00077790959438,-15113.293096485191,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-06,2,clustered,1,0,0,0.0,0,0.0,771.1500062409038,1507.4233765301212,4502.204537732906,110.7864204135642,257.4314784157206,-15953.244539553245,110.7864204135642,257.4314784157206,-15953.244539553245,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-07,2,clustered,1,0,0,0.0,0,0.0,2151.3492865512403,3489.2752091033003,9600.0,396.52939043321595,579.0720306117363,-57100.2322223831,396.52939043321595,579.0720306117363,-57100.2322223831,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-08,2,clustered,1,0,0,0.0,0,0.0,2105.730000636825,3440.189911977543,9600.0,341.41643185142357,506.242960282284,-49163.966186604994,341.41643185142357,506.242960282284,-49163.966186604994,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-09,2,clustered,1,0,0,0.0,0,0.0,713.5516710337045,1404.4848240718657,3964.2392711966513,96.98572412766129,235.0801484261247,-13838.508369736737,96.98572412766129,235.0801484261247,-13838.508369736737,3,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-02-10,2,clustered,1,0,0,0.0,0,0.0,900.0236727416983,1910.4164979412715,6090.3118279020355,129.1549748433348,293.1053472740939,-18598.316377440213,129.1549748433348,293.1053472740939,-18598.316377440213,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-11,2,clustered,1,0,0,0.0,0,0.0,817.1239028528882,1660.232220543222,5092.627861209756,125.77173048107281,279.99565077954486,-17928.117190591554,125.77173048107281,279.99565077954486,-17928.117190591554,5,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-02-12,2,clustered,1,0,0,0.0,0,0.0,856.6384575587825,1800.2832686200325,5619.06608951807,124.60834881124492,281.22502101970144,-17924.689140056358,124.60834881124492,281.22502101970144,-17924.689140056358,1,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-02-13,2,clustered,1,0,0,0.0,0,0.0,993.289353511598,2113.4151074764095,6986.962356101027,151.03897567248168,330.2763630353758,-21749.612496837362,151.03897567248168,330.2763630353758,-21749.612496837362,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-14,2,clustered,1,0,0,0.0,0,0.0,2092.225128685948,3423.1943467438978,9600.0,325.17945567421873,488.8966298713519,-46825.8416170875,325.17945567421873,488.8966298713519,-46825.8416170875,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-15,2,clustered,1,0,0,0.0,0,0.0,2084.2360403409275,3411.385843546401,9600.0,328.631625665883,492.51104276800095,-47322.95409588715,328.631625665883,492.51104276800095,-47322.95409588715,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-16,2,clustered,1,0,0,0.0,0,0.0,784.1389739551192,1556.516115826562,4434.126899065283,111.29793754674198,265.87047305412835,-15745.21480853525,111.29793754674198,265.87047305412835,-15745.21480853525,1,1.0,2.984279490192421e-13
q2_fixed_clustered,2025-02-17,2,clustered,1,0,0,0.0,0,0.0,987.731288544579,2072.765185042656,6582.138334986903,137.27473516228437,310.35780824870517,-19505.4438451467,137.27473516228437,310.35780824870517,-19505.4438451467,3,1.0,2.5579538487363607e-13
q2_fixed_clustered,2025-02-18,2,clustered,1,0,0,0.0,0,0.0,938.7649659491094,1957.9381610722983,6260.639945318564,131.78463604417686,293.6101784960246,-18909.98811287575,131.78463604417686,293.6101784960246,-18909.98811287575,1,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-02-19,2,clustered,1,0,0,0.0,0,0.0,800.2226090991858,1646.7551862774428,5037.163303068777,120.69946315054489,269.74668682540675,-17078.247965399732,120.69946315054489,269.74668682540675,-17078.247965399732,8,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-02-20,2,clustered,1,0,0,0.0,0,0.0,931.4535248907952,1840.6816257945106,5539.947244922991,137.67192027967155,302.78755820119994,-19824.756520272702,137.67192027967155,302.78755820119994,-19824.756520272702,0,,2.8421709430404007e-13
q2_fixed_clustered,2025-02-21,2,clustered,1,0,0,0.0,0,0.0,2113.7798436383196,3443.649546936946,9600.0,329.4609196584379,495.01982715624604,-47442.372430815056,329.4609196584379,495.01982715624604,-47442.372430815056,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-02-22,2,clustered,1,0,0,0.0,0,0.0,2093.1896083707206,3411.729530874542,9600.0,320.3816770559593,486.3850525221682,-46134.96149605814,320.3816770559593,486.3850525221682,-46134.96149605814,0,,3.410605131648481e-13
q2_fixed_clustered,2025-02-23,2,clustered,1,0,0,0.0,0,0.0,809.7064341910047,1661.4722903202194,4960.082379050081,119.26749261430321,271.81907289268565,-16884.54621499743,119.26749261430321,271.81907289268565,-16884.54621499743,3,1.0,3.694822225952521e-13
q2_fixed_clustered,2025-02-24,2,clustered,1,0,0,0.0,0,0.0,988.4698937399901,2078.1618364594988,6780.178628333918,135.75692352437187,304.57875899614237,-19325.53026606283,135.75692352437187,304.57875899614237,-19325.53026606283,5,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-02-25,2,clustered,1,0,0,0.0,0,0.0,1051.735192928193,2247.970137326671,7639.224239940968,146.01769922282747,323.6016078288508,-20833.955248909355,146.01769922282747,323.6016078288508,-20833.955248909355,6,1.0,3.410605131648481e-13
q2_fixed_clustered,2025-02-26,2,clustered,1,0,0,0.0,0,0.0,961.2503594483256,2014.4759112725203,6524.438253024973,121.58007694403689,281.65736642178274,-17507.531079941313,121.58007694403689,281.65736642178274,-17507.531079941313,0,,3.410605131648481e-13
q2_fixed_clustered,2025-02-27,2,clustered,1,0,0,0.0,0,0.0,860.9079363216596,1799.5001496835755,5734.9219536842875,140.64593615825856,298.6854271255377,-20130.21087925594,140.64593615825856,298.6854271255377,-20130.21087925594,5,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-02-28,2,clustered,1,0,0,0.0,0,0.0,2076.8211139051364,3382.898399239631,9600.0,320.1685398114104,483.35620941450696,-46104.2697328431,320.1685398114104,483.35620941450696,-46104.2697328431,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-03-01,3,clustered,1,0,0,0.0,0,0.0,2068.362351648261,3375.537593592835,9600.0,320.48042738105755,479.0932977568054,-46149.18154287229,320.48042738105755,479.0932977568054,-46149.18154287229,0,,2.2737367544323206e-13
q2_fixed_clustered,2025-03-02,3,clustered,1,0,0,0.0,0,0.0,794.3986714264691,1652.5575514123589,5057.135857942085,96.43795304179086,223.59846586872357,-13254.495117599588,96.43795304179086,223.59846586872357,-13254.495117599588,7,1.0,3.410605131648481e-13
q2_fixed_clustered,2025-03-03,3,clustered,1,0,0,0.0,0,0.0,397.91559434574816,746.8167774617812,1781.942455173868,33.545975912142815,105.63667729013068,-4375.547496823273,33.545975912142815,105.63667729013068,-4375.547496823273,8,1.0,1.5276668818842154e-13
q2_fixed_clustered,2025-03-04,3,clustered,1,0,0,0.0,0,0.0,495.1015843662929,948.0475458854029,2645.17018239396,40.02924590654939,134.80605196383866,-5597.481842955605,40.02924590654939,134.80605196383866,-5597.481842955605,6,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-03-05,3,clustered,1,0,0,0.0,0,0.0,753.2706303697171,1571.1995056958237,4746.19191052395,80.23604481632842,197.76975968956899,-11368.492361031285,80.23604481632842,197.76975968956899,-11368.492361031285,3,1.0,2.2737367544323206e-13
q2_fixed_clustered,2025-03-06,3,clustered,1,0,0,0.0,0,0.0,859.0461814255556,1778.8020553831843,5415.882159728631,84.79246544568335,209.3071372416999,-12210.115024178402,84.79246544568335,209.3071372416999,-12210.115024178402,0,,2.2737367544323206e-13
