date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots
2025-02-01,greedy,formal_continuous_closed_loop,26709.12435609976,26709.12435609976,0.0,49023.022603149024,43233.888007593465,5789.134595555555,6312.826350179821,0.0,0,0,7094.942984184794,4222.3180999999995,17513.608345425804,14186.022759794905,10800.0,10800.0,2360.6261485890623,10800.0,0.000268599993432872,1.1368683772161603e-13,0
2025-02-02,greedy,formal_continuous_closed_loop,60814.31655276092,60814.31655276092,0.0,95447.25993643588,89758.78041945177,5688.479516984126,6331.734526354028,0.0,0,0,13075.51518330296,143.10248333333334,20380.86484105052,16508.50052125092,10800.0,10800.0,1890.3158152557307,10800.0,0.0010187000007135794,1.1368683772161603e-13,0
2025-02-03,greedy,formal_continuous_closed_loop,59761.37374098951,59761.37374098951,0.0,94059.09257643559,88351.30972611814,5707.78285031746,6325.6355685206945,0.0,0,0,9863.660882803251,0.0,20939.5536506966,16961.03845706425,10800.0,10800.0,1813.4774210758408,10800.0,0.0002606999914860353,1.1368683772161603e-13,0
2025-02-04,greedy,formal_continuous_closed_loop,60256.86003817031,60256.86003817031,0.0,94763.34714999805,89031.03173301392,5732.3154169841255,6307.104330743882,0.0,0,0,9431.44246381442,0.3517833333332874,21772.047120264757,17635.358167414455,10800.0,10800.0,2044.759881393298,10800.0,0.00023920000239741057,1.1368683772161603e-13,0
2025-02-05,greedy,formal_continuous_closed_loop,58582.167117194185,58582.167117194185,0.0,92567.5088404276,87805.56615709428,4761.942683333333,4566.75086750565,0.0,0,0,7568.893662757196,2.052500000000009,22358.608917563593,18110.47322322651,10800.0,10800.0,1657.9330782804213,10800.0,0.0009227999980794266,2.2737367544323206e-13,0
2025-02-06,greedy,formal_continuous_closed_loop,58974.03607680656,58974.03607680656,0.0,92802.98276806748,88839.82339822622,3963.1593698412707,3251.412147611388,0.0,0,0,8424.991930893599,1.400816666666742,21608.06738863454,17502.534584793975,10800.0,10800.0,1876.9137222222241,10800.0,0.00041649999911896884,1.1368683772161603e-13,0
2025-02-07,greedy,formal_continuous_closed_loop,24137.83848105902,24137.83848105902,0.0,45454.33012959417,42149.74573197513,3304.5843976190476,1942.5968872038493,0.0,0,0,4980.629476214275,5080.818692656978,18880.012073980295,15292.809779924039,10800.0,10800.0,1606.5266402116401,10800.0,0.0002597999991849065,1.1368683772161603e-13,0
2025-02-08,greedy,formal_continuous_closed_loop,22024.09795129196,22024.09795129196,0.0,41292.83964174117,38070.79812507451,3222.041516666666,1927.9955428724606,0.0,0,0,2612.1119787516,3366.9516999999996,19666.38550696268,15929.772260639775,10800.0,10800.0,1624.5250158730155,10800.0,0.0008711999980732799,1.1368683772161603e-13,0
2025-02-09,greedy,formal_continuous_closed_loop,54660.206416058216,54660.206416058216,0.0,86989.37612125189,83759.9018950614,3229.4742261904767,1884.7776228023413,0.0,0,0,2963.2270878306954,0.0,23530.174035550153,19059.44096879563,10800.0,10800.0,1591.592796957672,10800.0,0.00024219999613706023,2.2737367544323206e-13,0
2025-02-10,greedy,formal_continuous_closed_loop,55464.29518743896,55464.29518743896,0.0,88081.68848907827,84862.71942717349,3218.969061904762,1904.2355526711904,0.0,0,0,9312.287896325684,608.481708759546,20180.42789820892,16346.146597549217,10800.0,10800.0,1542.4412116402086,10800.0,0.0003694000042742118,2.2737367544323206e-13,0
