方法,天数,总费用_元,平均每日费用_元,合同费用_元,应急费用_元,应急购电量_kWh,应急购电槽数,应急购电事件数,合同浪费量_kWh,弃光量_kWh,SOC最小值_kWh,SOC最大值_kWh,期末SOC_kWh,执行计算时间_秒,最大平衡残差_kWh,同时充放电槽数,sigma_factor,实际残差标准差倍率
MPC,334,15020452.363247557,44971.41426122023,14142085.215601586,878367.1476459723,167320.6640069166,7559.0,2802.0,2057953.6205642573,1642198.9201487736,1200.0,10800.0,10782.183355906824,364.10721559984086,4.547473508864641e-13,0.0,0.5,0.5
LP+反馈贪心,334,14166166.845141113,42413.67318904525,14142085.215601586,24081.6295395297,3802.861302201789,60.0,36.0,1992943.396437479,1527240.9423194448,1200.0,10800.0,10800.0,0.1627624998654937,2.273736754432321e-13,0.0,0.5,0.5
MPC费用-LP+反馈贪心费用,334,854285.518106442,2557.7410721749766,,,,,,,,,,,,,,0.5,0.5
MPC,334,16420412.624845978,49162.91205043706,14142085.215601586,2278327.409244394,452547.459990618,10258.0,3639.0,2267443.463633453,1751893.7673081025,1200.0,10800.0,10715.889214529983,362.2963140001812,4.547473508864641e-13,0.0,1.0,1.0
LP+反馈贪心,334,14636893.759905675,43823.03520929843,14142085.215601586,494808.544304093,80648.33699267215,456.0,136.0,2037924.814010248,1557153.09207191,1200.0,10800.0,10800.0,0.1621579999336972,2.273736754432321e-13,0.0,1.0,1.0
MPC费用-LP+反馈贪心费用,334,1783518.8649403006,5339.876841138626,,,,,,,,,,,,,,1.0,1.0
MPC,334,18035349.910489447,53998.0536242199,14142085.215601586,3893264.694887864,793354.1528795122,12021.0,4085.0,2482785.09892822,1918379.5890394007,1200.0,10800.0,10680.99794506007,364.82924069985165,4.547473508864641e-13,0.0,1.5,1.5
LP+反馈贪心,334,15492081.495611347,46383.4775317705,14142085.215601586,1349996.2800097612,226519.267080775,961.0,240.0,2122275.510919324,1621398.46220987,1200.0,10800.0,10800.0,0.1595205997582525,2.273736754432321e-13,0.0,1.5,1.5
MPC费用-LP+反馈贪心费用,334,2543268.4148781,7614.576092449402,,,,,,,,,,,,,,1.5,1.5
MPC,334,19755524.22737199,59148.27612985626,14142085.215601586,5613439.011770403,1163276.8977552727,13367.0,4383.0,2698915.557065382,2115718.185575677,1200.0,10800.0,10557.577328517536,368.1586896002118,3.410605131648481e-13,0.0,2.0,2.0
LP+反馈贪心,334,16581147.560123209,49644.15437162638,14142085.215601586,2439062.344521623,417662.28906974697,1520.0,357.0,2220218.95781513,1720289.805212095,1200.0,10800.0,10764.534521243386,0.1560565001273062,2.273736754432321e-13,0.0,2.0,2.0
MPC费用-LP+反馈贪心费用,334,3174376.667248782,9504.121758229883,,,,,,,,,,,,,,2.0,2.0
