date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,49198.28416063793,44873.38981114395,24931.676446697842,27362.785744463476,0.0,4966.971274182476,2107.2153916066673,18005.40637906037,14584.3791670389,10800.0,10800.0,2135.5936754737418,10800.0,1.1368683772161603e-13
2025-02-02,95657.48409482319,90530.21190903502,59154.68439189449,62607.79811557925,0.0,8025.942396317359,59.174066666666704,21520.092084478936,17431.274588427943,10800.0,10800.0,1816.8997037037025,10800.0,1.1368683772161603e-13
2025-02-03,97640.08123526265,90720.58377581273,59583.85456952742,64440.92903267064,0.0,6273.480353823367,0.0,22264.14169468093,18033.954772691555,10800.0,10800.0,1740.0613148148157,10800.0,2.2737367544323206e-13
2025-02-04,100624.3960237782,93305.87510391697,62080.108610644966,67287.29097876203,0.0,7923.239249667498,0.3517833333332874,22039.053267979674,17851.63314706354,10800.0,10800.0,1971.3437407407414,10800.0,1.4921397450962104e-13
2025-02-05,93738.64504856619,90495.45307121986,58725.164613465546,61367.938739713696,0.0,5481.294579810745,2.052500000000009,22440.41583197782,18176.736823902036,10800.0,10800.0,1557.4499307098768,10800.0,1.6431300764452317e-13
2025-02-06,99222.90189185143,90186.71540869049,60172.034435452224,66778.67123614316,0.0,5651.933499633211,0.0,22440.656275740133,18176.931583349513,10800.0,10800.0,1789.3618333333372,10800.0,2.2737367544323206e-13
2025-02-07,48110.54638859438,43207.40719272496,23726.829812205644,26417.454833215903,0.0,3287.5862470850448,4518.61444975995,18923.825416912157,15328.29858769885,10800.0,10800.0,1491.3486613740633,10800.0,1.1368683772161603e-13
2025-02-08,38107.533264056154,38725.631042241606,20469.686606318697,20469.686676569,0.0,1679.834558203471,1514.2770806775652,20812.4036141784,16858.046927484498,10800.0,10800.0,1349.2372592592592,10800.0,1.1368683772161603e-13
2025-02-09,90429.25339272947,87500.70248067832,56181.708840410916,58350.20757939719,0.0,3644.25926279878,0.0,22636.98553269942,18335.95828148654,10800.0,10800.0,1535.8070744444465,10800.0,2.2737367544323206e-13
2025-02-10,87215.70427013436,81550.05780218536,52767.64742311804,56767.91342351944,2.4805249999999432,2820.6667056361275,0.0,23185.442306399476,18780.208268183582,10800.0,10800.0,1476.4015470370343,10800.0,2.2737367544323206e-13
2025-02-11,87026.881429556,81501.5339390574,52824.65258137134,57100.15716808616,14.385319444444576,1782.8588572709305,0.0,23749.80667314514,19237.34340524756,10800.0,10800.0,1275.5272135185257,10800.0,1.4210854715202004e-13
2025-02-12,87521.84522892893,81576.29388126795,53189.0763373745,57533.274050905864,32.49333333333334,1862.342842803553,0.0,23577.41178139158,19097.703542927185,10800.0,10800.0,1432.3042955555552,10800.0,2.2737367544323206e-13
2025-02-13,82446.45750666421,78833.98483402435,50216.05310029659,52872.122273254645,45.15666666666664,3160.3371649384526,9.860220565806408,23049.8163080005,18670.351209480406,10800.0,10800.0,1301.0443931481473,10800.0,1.1368683772161603e-13
2025-02-14,38432.881831669874,39273.45382229918,21004.692701586697,21004.692770261754,0.0,1877.6610865011608,3931.0867937175162,19278.44276533598,15615.538639922142,10800.0,10800.0,1614.0536481481474,10800.0,1.1368683772161603e-13
2025-02-15,39095.1063876048,38663.2025984318,20430.053306977243,20903.83970408325,0.0,1012.490694110807,4700.97397139918,19313.930699588476,15644.283866666663,10800.0,10800.0,1409.2563703703704,10800.0,1.1368683772161603e-13
2025-02-16,88029.24272149712,81051.92770863866,53703.86570838737,59112.395001199926,52.39533611111108,1304.1247157137805,0.0,23277.995942294703,18855.176713258712,10800.0,10800.0,1253.0835050107391,10800.0,1.1368683772161603e-13
2025-02-17,87803.77236735281,77081.0533835185,51469.928837949294,58732.84712608067,24.344077777777784,1735.8563150945968,10.291477777776414,21975.718430301346,17800.331928544092,10800.0,10800.0,1318.2642099999994,10800.0,2.2737367544323206e-13
2025-02-18,78786.92430414863,77863.64073674995,49561.440422854415,50609.32307595187,38.02921666666691,1587.4905439029749,95.83631069958746,21720.817449898597,17593.862134417865,10800.0,10800.0,1521.7129383333345,10800.0,1.1368683772161603e-13
2025-02-19,78738.23858353986,79009.56166841488,50121.81570223566,50637.01492097133,80.7045833333334,1746.9936604718255,0.0,23494.448462858258,19030.503254915187,10800.0,10800.0,1391.325278703704,10800.0,1.5276668818842154e-13
2025-02-20,81752.38840282708,77850.97011476148,49857.19058286847,52670.98146228635,54.492163888888854,2605.050281711724,123.15470571605766,22021.702936259248,17837.579378369992,10800.0,10800.0,1538.6784109259252,10800.0,1.1368683772161603e-13
2025-02-21,36166.98987198217,36378.03640108247,18904.43096978378,18916.861419626133,0.0,1135.7383616941856,5799.388772611738,20434.985439174845,16552.338205731627,10800.0,10800.0,1657.6786481481488,10800.0,1.1368683772161603e-13
