date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,49198.28410087065,44873.3898126055,20406.4203348167,22427.99841590869,0.0,4966.971297290808,2107.2153758970244,18005.4063478123,14584.379141727966,10800.0,10800.0,2135.59371773568,10800.0,1.1368683772161603e-13
2025-02-02,95657.48002680737,90530.31385188866,65337.157921406215,69584.12217693178,0.0,8025.942396724526,59.174066666666704,21520.628623670935,17431.70918517346,10800.0,10800.0,1816.8997037037025,10800.0,1.1368683772161603e-13
2025-02-03,97681.46096918777,90613.29716630385,67113.50481912418,73179.3870303036,0.0,6165.857398882239,0.0,22265.91193379803,18035.388666376406,10800.0,10800.0,1740.0613148148157,10800.0,2.2737367544323206e-13
2025-02-04,100624.33512620542,93294.65340709501,70156.90048300626,76413.12656052911,0.0,7923.239250946321,0.3517833333332874,21979.99169902827,17803.7932762129,10800.0,10800.0,1971.3437407407414,10800.0,1.1368683772161603e-13
2025-02-05,93738.4813074694,90641.41135876383,66117.92579092097,69252.90257183532,0.0,5626.913538243515,2.052500000000009,22442.201774668327,18178.18343748134,10800.0,10800.0,1572.330584259259,10800.0,1.6431300764452317e-13
2025-02-06,99240.71348580907,90186.90593588982,67534.91059261735,75549.32368294502,0.0,5645.692378575162,0.0,22474.507056042145,18204.35071539414,10800.0,10800.0,1973.9516950000027,10800.0,2.2737367544323206e-13
2025-02-07,48110.545835214376,43693.676817837375,19295.260851668783,21161.78379490399,0.0,3372.906263751711,4919.563666426613,18923.827478907297,15328.300257914909,10800.0,10800.0,1491.3486337305685,10800.0,1.1368683772161603e-13
2025-02-08,38107.53322752768,38725.6310036281,16327.97113296607,16327.971190339309,0.0,1548.4231932613184,1657.3647928117025,20750.948952044266,16808.26865115585,10800.0,10800.0,1349.2372592592592,10800.0,1.1368683772161603e-13
2025-02-09,90284.85731369161,87509.27107028029,62511.7826394969,65157.898119838144,5.155613888888865,3673.590791726673,0.0,22554.841714609734,18269.421788833894,10800.0,10800.0,1527.4643011111127,10800.0,2.2737367544323206e-13
2025-02-10,86899.32036575339,81272.57646242107,57052.327399374364,61691.306592401816,0.18145555555554438,2765.7031856035164,0.0,22002.195521262,17821.778372222223,10800.0,10800.0,1599.4137112962965,10800.0,2.2737367544323206e-13
