variant,date,issue_hour,slot,purchase_kwh
q3,2025-03-20,0,1,620.1288
q3,2025-03-20,0,2,619.9305499999999
q3,2025-03-20,0,3,611.9116666666666
q3,2025-03-20,0,4,605.1841
q3,2025-03-20,0,5,601.50225
q3,2025-03-20,0,6,590.4516666666666
q3,2025-03-20,0,7,571.7759999999998
q3,2025-03-20,0,8,565.4907166666666
q3,2025-03-20,0,9,554.5433333333333
q3,2025-03-20,0,10,577.1243666666667
q3,2025-03-20,0,11,604.1830666666667
q3,2025-03-20,0,12,641.1533333333333
q3,2025-03-20,0,13,597.3421666666667
q3,2025-03-20,0,14,580.8616499999999
q3,2025-03-20,0,15,597.7149999999999
q3,2025-03-20,0,16,605.8327333333334
q3,2025-03-20,0,17,626.3196666666666
q3,2025-03-20,0,18,655.0533333333333
q3,2025-03-20,0,19,619.3338
q3,2025-03-20,0,20,592.4002166666667
q3,2025-03-20,0,21,603.9366666666666
q3,2025-03-20,0,22,611.27135
q3,2025-03-20,0,23,594.9293666666666
q3,2025-03-20,0,24,591.1466666666665
q3,2025-03-20,0,25,608.84655
q3,2025-03-20,0,26,621.1988
q3,2025-03-20,0,27,611.2616666666667
q3,2025-03-20,0,28,627.3150833333333
q3,2025-03-20,0,29,639.9862166666667
q3,2025-03-20,0,30,633.565
q3,2025-03-20,0,31,626.30905
q3,2025-03-20,0,32,616.6913666666667
q3,2025-03-20,0,33,615.05
q3,2025-03-20,0,34,601.3455833333333
q3,2025-03-20,0,35,699.5549666666666
q3,2025-03-20,0,36,23.848333333333358
q3,2025-03-20,0,37,0.0
q3,2025-03-20,0,38,0.0
q3,2025-03-20,0,39,0.0
q3,2025-03-20,0,40,0.0
q3,2025-03-20,0,41,0.0
q3,2025-03-20,0,42,0.0
q3,2025-03-20,0,43,0.0
q3,2025-03-20,0,44,0.0
q3,2025-03-20,0,45,366.4713138888881
q3,2025-03-20,0,46,279.57490555555546
q3,2025-03-20,0,47,0.0
q3,2025-03-20,0,48,0.0
q3,2025-03-20,0,49,0.0
q3,2025-03-20,0,50,0.0
q3,2025-03-20,0,51,0.0
q3,2025-03-20,0,52,0.0
q3,2025-03-20,0,53,0.0
q3,2025-03-20,0,54,0.0
q3,2025-03-20,0,55,0.0
q3,2025-03-20,0,56,0.0
q3,2025-03-20,0,57,0.0
q3,2025-03-20,0,58,0.0
q3,2025-03-20,0,59,0.0
q3,2025-03-20,0,60,0.0
q3,2025-03-20,0,61,0.0
q3,2025-03-20,0,62,0.0
q3,2025-03-20,0,63,0.0
q3,2025-03-20,0,64,0.0
q3,2025-03-20,0,65,0.0
q3,2025-03-20,0,66,643.5117833333334
q3,2025-03-20,0,67,621.1989527777773
q3,2025-03-20,0,68,597.7783
q3,2025-03-20,0,69,594.9458916666667
q3,2025-03-20,0,70,635.6209888888886
q3,2025-03-20,0,71,630.2217388888889
q3,2025-03-20,0,72,590.3039666666666
q3,2025-03-20,0,73,627.0189166666667
q3,2025-03-20,0,74,697.2856666666664
q3,2025-03-20,0,75,751.5013083333331
q3,2025-03-20,0,76,791.0246944444441
q3,2025-03-20,0,77,611.1401916666665
q3,2025-03-20,0,78,102.34368333333327
q3,2025-03-20,0,79,129.80571944444432
q3,2025-03-20,0,80,106.7439388888888
q3,2025-03-20,0,81,149.24109166666676
q3,2025-03-20,0,82,133.29171666666673
q3,2025-03-20,0,83,0.03161284648333953
q3,2025-03-20,0,84,0.0
q3,2025-03-20,0,85,0.0
q3,2025-03-20,0,86,0.0
q3,2025-03-20,0,87,0.0
