variant,date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
q3,2025-03-20,72864.73512603325,68081.16441521297,43734.95010151608,47182.28050725086,67.2262225609367,1795.7582943177085,0.0,21808.79224626079,17665.121719471244,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
q3,2025-06-21,40202.075615976435,39945.983510805105,23250.993345437728,23512.804554762035,0.0,5720.31998042537,11194.488933578592,19454.91682526915,15758.482628468006,10800.0,10800.0,2011.6825952207346,10800.0,1.1368683772161603e-13
q3,2025-09-23,74462.36683495577,69123.67967842388,44829.64763281586,48048.857780229126,6.375,2760.030693444008,130.1011833333357,21701.61693849055,17578.30972017735,10800.0,10800.0,1316.298867592593,10800.0,2.2737367544323206e-13
q3,2025-12-21,100988.30476558597,99038.50793995464,64472.85643785038,65900.34145423892,16.228450000000066,5480.997464045466,0.0,23873.45820653951,19337.501147297,10800.0,10800.0,1438.2169444444457,10800.0,1.1368683772161603e-13
q4_2,2025-03-20,70966.651729273,70966.651729273,44399.40043923462,44399.40043923462,0.0,3808.395359465015,1014.3316833333329,20710.330893726277,16775.368023918287,10800.0,10800.0,1619.6950943915353,10800.0,1.4210854715202004e-13
q4_2,2025-06-21,48662.37032584167,48662.37032584167,25426.345867436572,25426.345867436572,0.0,11073.356939510108,14676.994533333333,18827.78133156966,15250.50287857143,10800.0,10800.0,2773.6274259259276,10800.0,1.1368683772161603e-13
q4_2,2025-09-23,71627.96684664005,71627.96684664005,47646.28413435501,47646.28413435501,0.0,3952.881228189303,1705.2494573486201,20280.108304046316,16426.88772627752,10800.0,10800.0,1482.65706820106,10800.0,2.2737367544323206e-13
q4_2,2025-12-21,102031.28820307979,102031.28820307979,77803.66667717334,77803.66667717334,0.0,8895.285552821872,0.0,21569.583071532958,17471.3622879417,10800.0,10800.0,1498.2455000000025,10800.0,1.1368683772161603e-13
q4_3,2025-03-20,72930.98875814996,68009.11951720685,44667.63393898617,48406.6862602507,67.22622759302456,1733.6669316186592,0.0,21756.405244813555,17622.688248298982,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
q4_3,2025-06-21,40360.40753043831,40101.7863683493,20483.575180487194,20686.86624097681,0.0,4912.1854256701945,12093.949453770283,19794.268888993774,16033.357800084956,10800.0,10800.0,2268.204679012346,10800.0,1.1368683772161603e-13
q4_3,2025-09-23,74480.23193469888,69053.58900403525,47070.082255400994,50375.90819465365,10.234366666666801,2685.2736270271535,130.1011833333357,21746.48935267427,17614.656375666164,10800.0,10800.0,1335.4821813962249,10800.0,2.2737367544323206e-13
q4_3,2025-12-21,100866.3802336088,98927.57906625577,75606.4542097278,77610.14771832114,16.228450000000066,5483.004242592095,0.0,23279.060036826413,18856.038629829396,10800.0,10800.0,1438.2169444444457,10800.0,1.1368683772161603e-13
