variant,date,quantity,10:00-10:10_kwh,12:00-12:10_kwh,14:00-14:10_kwh,16:00-16:10_kwh,18:00-18:10_kwh,20:00-20:10_kwh,day_purchase_kwh,actual_cash_cost_yuan
q3,2025-03-20,initial_plan,0.0,627.0189166666667,0.0,671.4298638888893,714.0541166666667,0.0,72864.73512603325,43734.95010151608
q3,2025-03-20,final_contract,-0.0,544.3031277777777,-0.0,536.6474055555557,714.0541166666667,-0.0,68081.16441521297,43734.95010151608
q3,2025-06-21,initial_plan,0.0,0.0,0.0,242.3349166666668,0.0,0.0,40202.075615976435,23250.993345437728
q3,2025-06-21,final_contract,-0.0,-0.0,-0.0,197.48066111111098,-0.0,-0.0,39945.983510805105,23250.993345437728
q3,2025-09-23,initial_plan,0.0,426.5305333333333,0.0,625.1912083333335,777.8049583333334,0.0,74462.36683495577,44829.64763281586
q3,2025-09-23,final_contract,-0.0,56.804149657065125,-0.0,568.9121555555555,777.8431992942491,-0.0,69123.67967842388,44829.64763281586
q3,2025-12-21,initial_plan,0.0,1023.8937555555556,0.0,849.6510361111112,743.1625666666665,0.0,100988.30476558597,64472.85643785038
q3,2025-12-21,final_contract,-0.0,959.2353611111109,-0.0,849.6510361111112,743.1625666666665,-0.0,99038.50793995464,64472.85643785038
q4_2,2025-03-20,initial_plan,45.98197142857134,622.1127690476189,13.987499999999878,505.0456380952382,18.25011428571436,758.9406166666666,70966.651729273,44399.40043923462
q4_2,2025-03-20,final_contract,45.98197142857134,622.1127690476189,13.987499999999878,505.0456380952382,18.25011428571436,758.9406166666666,70966.651729273,44399.40043923462
q4_2,2025-06-21,initial_plan,148.22572142857157,133.55902857142866,157.63362857142857,259.5703928571428,379.50044761904684,52.50258333333333,48662.37032584167,25426.345867436572
q4_2,2025-06-21,final_contract,148.22572142857157,133.55902857142866,157.63362857142857,259.5703928571428,379.50044761904684,52.50258333333333,48662.37032584167,25426.345867436572
q4_2,2025-09-23,initial_plan,98.08222857142846,513.0428880952381,40.23276666666652,589.4193095238093,21.843978571428515,23.829916666666726,71627.96684664005,47646.28413435501
q4_2,2025-09-23,final_contract,98.08222857142846,513.0428880952381,40.23276666666652,589.4193095238093,21.843978571428515,23.829916666666726,71627.96684664005,47646.28413435501
q4_2,2025-12-21,initial_plan,116.54378333333366,1012.369342857143,79.92310952380952,858.4140476190476,750.3043666666667,17.728750000000066,102031.28820307979,77803.66667717334
q4_2,2025-12-21,final_contract,116.54378333333366,1012.369342857143,79.92310952380952,858.4140476190476,750.3043666666667,17.728750000000066,102031.28820307979,77803.66667717334
q4_3,2025-03-20,initial_plan,0.0,627.0189166666667,0.0,671.4298638888893,0.0,758.9197,72930.98875814996,44667.63393898617
q4_3,2025-03-20,final_contract,-0.0,544.3031277777777,-0.0,536.6474055555557,-0.0,758.9197,68009.11951720685,44667.63393898617
q4_3,2025-06-21,initial_plan,0.0,0.0,0.0,242.3349166666668,517.1021416666667,0.0,40360.40753043831,20483.575180487194
q4_3,2025-06-21,final_contract,-0.0,-0.0,-0.0,197.48066111111098,513.4212333333334,-0.0,40101.7863683493,20483.575180487194
q4_3,2025-09-23,initial_plan,0.0,426.5305333333333,0.0,625.1912083333335,0.0,0.0,74480.23193469888,47070.082255400994
q4_3,2025-09-23,final_contract,-0.0,-0.0,-0.0,568.9121555555555,-0.0,-0.0,69053.58900403525,47070.082255400994
q4_3,2025-12-21,initial_plan,0.0,1023.8937555555556,0.0,849.6510361111112,743.1625666666665,0.0,100866.3802336088,75606.4542097278
q4_3,2025-12-21,final_contract,-0.0,959.2353611111109,-0.0,849.6510361111112,743.1625666666665,-0.0,98927.57906625577,75606.4542097278
