variant,date,period,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh
q3,2025-03-20,0:00-4:00,158.30987654320728,209.62428333333355,10800.0,10800.0
q3,2025-03-20,4:00-8:00,178.84454004822464,5993.3198,10800.0,10800.0
q3,2025-03-20,8:00-12:00,4585.706083931718,2710.1509941057298,10800.0,10800.0
q3,2025-03-20,12:00-16:00,6347.064305134072,306.8754975877373,10800.0,10800.0
q3,2025-03-20,16:00-20:00,157.39264636488485,5480.966561111111,10800.0,10800.0
q3,2025-03-20,20:00-24:00,10381.474794238682,2964.1845833333336,10800.0,10800.0
q3,2025-06-21,0:00-4:00,146.879637242798,3274.6728256902293,10800.0,10800.0
q3,2025-06-21,4:00-8:00,451.1299388888887,4840.192652777778,10800.0,10800.0
q3,2025-06-21,8:00-12:00,9420.342866421408,0.0,10800.0,10800.0
q3,2025-06-21,12:00-16:00,0.0,0.0,10800.0,10800.0
q3,2025-06-21,16:00-20:00,296.71304922239204,5157.720566666666,10800.0,10800.0
q3,2025-06-21,20:00-24:00,9139.85133349366,2485.896583333333,10800.0,10800.0
q3,2025-09-23,0:00-4:00,38.87343621399327,31.48748333333333,10800.0,10800.0
q3,2025-09-23,4:00-8:00,147.2464115226332,6550.990724589186,10800.0,10800.0
q3,2025-09-23,8:00-12:00,6087.667260123821,1896.6157166666662,10800.0,10800.0
q3,2025-09-23,12:00-16:00,4694.071853949721,452.33598447705396,10800.0,10800.0
q3,2025-09-23,16:00-20:00,136.65085733882154,5642.333111111111,10800.0,10800.0
q3,2025-09-23,20:00-24:00,10597.107119341561,3004.5467,10800.0,10800.0
q3,2025-12-21,0:00-4:00,41.933415637859866,74.83366666666666,10800.0,10800.0
q3,2025-12-21,4:00-8:00,812.8066872428014,1450.83915,10800.0,10800.0
q3,2025-12-21,8:00-12:00,5446.350477777776,7152.470972669491,10800.0,10800.0
q3,2025-12-21,12:00-16:00,7170.38645304157,2233.752607960847,10800.0,10800.0
q3,2025-12-21,16:00-20:00,0.0,5583.078983333333,10800.0,10800.0
q3,2025-12-21,20:00-24:00,10401.981172839503,2842.5257666666666,10800.0,10800.0
q4_2,2025-03-20,0:00-4:00,136.8989711934172,185.1226333333335,10800.0,10800.0
q4_2,2025-03-20,4:00-8:00,285.9228516166961,5588.244385714287,10800.0,10800.0
q4_2,2025-03-20,8:00-12:00,6604.849997619047,2361.458402380953,10800.0,10800.0
q4_2,2025-03-20,12:00-16:00,3213.3580327327454,279.7146929659027,10800.0,10800.0
q4_2,2025-03-20,16:00-20:00,244.75482857142822,6965.724642857142,10800.0,10800.0
q4_2,2025-03-20,20:00-24:00,10224.546211992943,1395.1032666666667,10800.0,10800.0
q4_2,2025-06-21,0:00-4:00,464.90139672510867,6690.649283333333,10800.0,10800.0
q4_2,2025-06-21,4:00-8:00,1622.6163428571426,1313.259692857143,10800.0,10800.0
q4_2,2025-06-21,8:00-12:00,7793.85136682574,0.0,10800.0,10800.0
q4_2,2025-06-21,12:00-16:00,0.0,0.0,10800.0,10800.0
