variant,date,interval,emergency_kwh
q3,2025-03-20,09:40-09:50,22.01913922760348
q3,2025-03-20,09:50-10:00,45.20708333333323
q3,2025-06-21,无,0.0
q3,2025-09-23,20:20-20:30,6.375
q3,2025-12-21,07:50-08:00,16.228450000000066
q4_2,2025-03-20,无,0.0
q4_2,2025-06-21,无,0.0
q4_2,2025-09-23,无,0.0
q4_2,2025-12-21,无,0.0
q4_3,2025-03-20,09:40-09:50,22.019144259691323
q4_3,2025-03-20,09:50-10:00,45.20708333333323
q4_3,2025-06-21,无,0.0
q4_3,2025-09-23,20:10-20:20,10.234366666666801
q4_3,2025-12-21,07:50-08:00,16.228450000000066
