date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,50397.701642702195,49884.221077164286,28189.99419579384,28571.08393274099,0.0,8200.04920274348,4013.6541293866526,17328.11479842542,14035.772986724594,10800.0,10800.0,2351.947580246911,10800.0,1.1368683772161603e-13
2025-02-02,96792.94051979273,93261.07425152877,60971.443836584614,63046.97093149514,0.0,11109.712079649493,59.174066666666704,19662.685027434833,15926.77487222222,10800.0,10800.0,1890.3160956790134,10800.0,1.1368683772161603e-13
2025-02-03,98787.52731518864,93904.43546506943,61631.98333170067,64708.95115230267,0.0,9856.511167977911,0.0,20163.198932060684,16332.191134969156,10800.0,10800.0,1813.477706790127,10800.0,1.1368683772161603e-13
2025-02-04,101885.35524387758,96814.14527373502,64019.58103042535,67358.45315189337,0.0,11751.84568138315,0.3517833333332874,20353.072942202834,16485.9890831843,10800.0,10800.0,2044.760132716048,10800.0,1.1368683772161603e-13
2025-02-05,94476.51785479166,91842.98963254946,59648.67763254253,61793.747356868524,0.0,7009.910013801946,2.052500000000009,21487.369133758824,17404.768998344643,10800.0,10800.0,1657.9925892592587,10800.0,1.1368683772161603e-13
2025-02-06,100054.92887970989,91481.53295687483,61201.75909394519,67267.09209394421,0.0,7145.221386252796,1.400816666666742,21388.702827835266,17324.849290546565,10800.0,10800.0,1876.913888888889,10800.0,2.2737367544323206e-13
2025-02-07,48756.047631045745,44792.473292459166,25201.87137233391,27667.38192486477,0.0,4544.183319849599,4885.540310655553,18721.42102782818,15164.351032540824,10800.0,10800.0,1608.5840432098764,10800.0,1.1368683772161603e-13
2025-02-08,40990.231442770935,40528.50859129871,22420.937078904004,23256.005422062062,0.0,2506.8322505144024,2529.474249099925,20605.470394830114,16690.431019812393,10800.0,10800.0,1466.26094299383,10800.0,1.1368683772161603e-13
2025-02-09,91089.92483008366,88333.79046959574,56934.09177788487,58859.165199627736,0.0,4670.344264645073,0.0,21621.211780442198,17513.181542158192,10800.0,10800.0,1605.3864539280862,10800.0,2.2737367544323206e-13
2025-02-10,87777.90193385509,82297.25115640092,53488.88294528058,57379.06272267774,2.571666666666488,3684.0648179767513,68.66533333333359,22212.92151802194,17992.466429597767,10800.0,10800.0,1542.4409629629604,10800.0,2.2737367544323206e-13
2025-02-11,87710.91917326595,82462.29492866561,53506.61393783069,57622.53772801094,10.137633333333497,2855.0657394471887,0.0,23140.89310114962,18744.123411931192,10800.0,10800.0,1356.5454800000025,10800.0,1.1368683772161603e-13
2025-02-12,88131.23583280548,82499.10912557528,53697.5713453445,57795.97467891217,10.44162499999993,2896.031127032071,0.0,22877.80784320988,18531.024353,10800.0,10800.0,1521.0421144444433,10800.0,2.2737367544323206e-13
2025-02-13,83182.49832190307,79834.8721016732,50960.830850773236,53478.12549151911,42.94976944444443,4192.778034087792,118.10408333333339,22302.424931736125,18064.964194706263,10800.0,10800.0,1450.5724250000023,10800.0,2.2737367544323206e-13
2025-02-14,40597.962326143854,40265.09313169941,22698.39529950555,23604.93791965333,0.0,2515.0749790527725,4130.065733333333,20095.529487613894,16277.378884967253,10800.0,10800.0,1687.9250370370387,10800.0,1.1368683772161603e-13
2025-02-15,40201.025397157864,38976.315286046745,21675.429793143416,22757.960248002586,0.0,1735.4968919753096,3967.8963585625124,21014.89966057329,17022.06872506436,10800.0,10800.0,1447.9913677062639,10800.0,1.1368683772161603e-13
2025-02-16,88587.96108161783,81804.47441865838,53833.55926227499,58993.564496013314,40.61341111111096,2109.032113929585,0.0,22940.40324126273,18581.726625422816,10800.0,10800.0,1374.9921315991828,10800.0,2.2737367544323206e-13
2025-02-17,88312.58821795537,77995.88064489904,51804.2842242312,58670.361346644546,10.472672222222172,2556.746968984421,126.46173333333331,21785.69183229922,17646.410384162376,10800.0,10800.0,1375.8385300845682,10800.0,1.1368683772161603e-13
2025-02-18,79390.43806314045,78290.54285411802,49638.35220078855,50507.675582587806,5.770286111111318,2102.6132339938376,129.62283333333312,20908.89099772963,16936.201708161003,10800.0,10800.0,1593.694136666666,10800.0,1.1368683772161603e-13
2025-02-19,79481.85835647942,79463.40336424694,50291.01182254431,50497.444020777424,68.92595000000006,2327.780321900896,15.88390000000004,22680.724784277416,18371.38707526471,10800.0,10800.0,1460.6209785185206,10800.0,1.5154544286133387e-13
2025-02-20,82389.40335248101,78823.4518077554,50639.5010465558,53283.653996474364,48.1484999999999,3607.4471143689984,166.5570472222251,21602.433751741246,17497.971338910407,10800.0,10800.0,1607.169239074076,10800.0,1.1368683772161603e-13
2025-02-21,38841.59554726193,38430.834763178595,20968.586326143522,21533.278399195748,0.0,2245.704432613167,6785.95734024107,20204.794510479096,16365.88355348807,10800.0,10800.0,1730.75562962963,10800.0,1.1368683772161603e-13
2025-02-22,39231.92595717748,38650.01194884415,21522.102005861743,22269.041362742304,0.0,2462.5539467078197,4425.629912907733,20616.132662606666,16699.067456711404,10800.0,10800.0,1508.2020866169605,10800.0,1.1368683772161603e-13
2025-02-23,81856.29555821765,78481.35835379185,50027.22189493479,52567.497832313085,21.4039972222223,2627.382673237782,88.78514722222488,22393.37288010915,18138.632032888418,10800.0,10800.0,1495.1772550000017,10800.0,1.1368683772161603e-13
2025-02-24,78169.29440963516,75691.15499150101,48786.74727548023,50764.786288509305,54.58081388888888,3125.7407254115305,483.3609000000033,20703.160859535325,16769.560296223623,10800.0,10800.0,1633.086265740744,10800.0,1.1368683772161603e-13
2025-02-25,81177.35430602374,74027.95359778276,48292.90412499372,53138.1699814985,22.404361111111143,3777.361870264604,443.65708333333305,21094.819852434834,17086.80408047222,10800.0,10800.0,1528.9522112037057,10800.0,2.2737367544323206e-13
2025-02-26,74636.2360903241,76430.21647404114,48010.34007202492,48010.34007202492,29.83897222222231,3364.85905174897,197.0680083333325,21490.94922551437,17407.668872666643,10800.0,10800.0,1394.2112453395077,10800.0,1.1368683772161603e-13
2025-02-27,75355.81476954493,74711.43980828626,47050.45786881707,47674.81734952757,12.596244444444551,3317.602180461835,190.7741833333357,22416.186783871264,18157.11129493572,10800.0,10800.0,1395.8550553703717,10800.0,1.1368683772161603e-13
2025-02-28,37862.307521303184,37315.92800331618,20219.585462519917,20753.361728377495,0.0,2353.1553928497697,7637.5854812042035,21224.176732959022,17191.583153696818,10800.0,10800.0,1385.2486055837842,10800.0,1.1368683772161603e-13
2025-03-01,40647.65308831005,39642.207652493256,21526.302442611137,22411.167443972558,0.0,2890.38810495869,9755.30168464203,17567.11541873261,14229.363489173411,10800.0,10800.0,1532.5017294628217,10800.0,1.1368683772161603e-13
2025-03-02,84556.8113499376,81160.7702736344,52783.960728309845,55465.7283173592,0.0,4750.388402288756,0.0,21326.709498310513,17274.634693631517,10800.0,10800.0,1520.511444074075,10800.0,2.2737367544323206e-13
2025-03-03,86234.82296848317,79757.22933858796,52548.01410677375,57271.48509554196,0.0,3314.2678792344805,288.7614611111121,21773.96507846865,17636.911713559606,10800.0,10800.0,1378.0365000000004,10800.0,1.1368683772161603e-13
2025-03-04,77414.46420831849,76097.4761679864,48485.63438156652,49677.209003249634,0.0,2615.3287286095747,320.01248333333126,20856.194856369308,16893.51783365914,10800.0,10800.0,1464.0445048456777,10800.0,1.1368683772161603e-13
2025-03-05,81313.87670142681,73769.82759361647,48198.94375621974,53051.18160642792,0.0,3713.0627866789673,23.944583333333412,20538.674773355262,16636.326566417767,10800.0,10800.0,1383.5278293518513,10800.0,1.1368683772161603e-13
2025-03-06,76169.05382109988,73847.64077138394,47213.77943824185,48884.226251352404,0.0,3612.617476799124,423.3490611111073,20373.790000738794,16502.76990059842,10800.0,10800.0,1680.9418568518524,10800.0,1.1368683772161603e-13
2025-03-07,38115.29229416642,37024.94256438864,20385.174925049036,21410.342763001536,0.0,2943.2780337105605,9537.807994855659,19060.900013100443,15439.329010611353,10800.0,10800.0,1753.9786596296308,10800.0,1.1368683772161603e-13
2025-03-08,35294.55649747681,35175.363295388895,19287.719124195275,19613.93785717305,8.488180555555061,2550.8738180877954,9599.044791666667,20898.912365912205,16928.11901638889,10800.0,10800.0,1200.0,10800.0,1.1368683772161603e-13
2025-03-09,77659.97575634415,70555.40785923545,45799.9858174556,50009.94060501093,0.0,3116.065906296776,121.45488888888842,20970.326389735725,16985.964375685937,10800.0,10800.0,1399.163185185187,10800.0,2.2737367544323206e-13
2025-03-10,74903.20666594361,75230.34221043633,46893.767903066626,47432.053638549485,0.0,2944.5600539082106,168.08341666666803,21450.669946639227,17375.042656777783,10800.0,10800.0,1409.8206829629623,10800.0,2.2737367544323206e-13
2025-03-11,66097.80950308271,71457.56665584963,45216.90161528929,45216.90161528929,0.0,3050.5096309670844,450.31511194359575,21146.437436520817,17128.614323581864,10800.0,10800.0,1538.260286918757,10800.0,2.2737367544323206e-13
2025-03-12,76055.90093829628,69342.69812720848,45007.97080947508,49083.35531221122,0.0,2724.914205864202,204.24706944444114,20936.853518771102,16958.851350204597,10800.0,10800.0,1493.2154629629617,10800.0,1.1368683772161603e-13
2025-03-13,75944.60389398574,75167.19839507638,46715.38860682711,47539.35216045247,0.0,3610.692372328708,93.69829166666551,20616.78797060188,16699.59825618753,10800.0,10800.0,1217.7658864814816,10800.0,1.1368683772161603e-13
2025-03-14,34934.079491896,34937.80574135523,19329.44989055973,19779.64523947667,0.0,2934.6416238419442,12048.657111992023,20658.32116941015,16733.24014722222,10800.0,10800.0,1590.3421697530896,10800.0,1.1368683772161603e-13
2025-03-15,35529.14955521449,35430.877677436714,19506.92857415991,20017.83459689741,0.0,1939.3400720507552,8642.525327596772,20657.300672574693,16732.413544785508,10800.0,10800.0,1358.5745982716028,10800.0,1.1368683772161603e-13
2025-03-16,73278.13804860995,71986.74737037864,45484.12402441527,47207.38081704265,0.0,4697.37346033062,13.92154722222191,20654.765418381343,16730.359988888886,10800.0,10800.0,1715.8942318827144,10800.0,1.1368683772161603e-13
2025-03-17,69273.60653947387,65149.42240356652,41525.14999142937,43837.75140200416,0.0,3228.412303086424,140.12124722222683,20646.091683813433,16723.334263888893,10800.0,10800.0,1505.4108518518522,10800.0,1.1368683772161603e-13
