variant,date,issue_hour,slot,purchase_kwh
q3,2025-03-20,0,1,621.1222333333333
q3,2025-03-20,0,2,620.154
q3,2025-03-20,0,3,612.3116666666666
q3,2025-03-20,0,4,607.5356166666667
q3,2025-03-20,0,5,601.7587666666666
q3,2025-03-20,0,6,592.8299999999999
q3,2025-03-20,0,7,578.9727
q3,2025-03-20,0,8,570.0403666666666
q3,2025-03-20,0,9,557.7766666666665
q3,2025-03-20,0,10,579.0875166666667
q3,2025-03-20,0,11,614.4843999999999
q3,2025-03-20,0,12,641.9816666666667
q3,2025-03-20,0,13,597.7941999999999
q3,2025-03-20,0,14,585.6600666666666
q3,2025-03-20,0,15,607.86
q3,2025-03-20,0,16,606.2636333333334
q3,2025-03-20,0,17,630.3414166666666
q3,2025-03-20,0,18,668.3083333333333
q3,2025-03-20,0,19,620.1123166666667
q3,2025-03-20,0,20,596.9771499999999
q3,2025-03-20,0,21,604.8899999999999
q3,2025-03-20,0,22,611.7234
q3,2025-03-20,0,23,595.0108666666666
q3,2025-03-20,0,24,592.2416666666666
q3,2025-03-20,0,25,616.9381333333332
q3,2025-03-20,0,26,622.4391833333334
q3,2025-03-20,0,27,612.435
q3,2025-03-20,0,28,630.3032833333333
q3,2025-03-20,0,29,643.4966166666666
q3,2025-03-20,0,30,633.685
q3,2025-03-20,0,31,628.6454833333332
q3,2025-03-20,0,32,618.1196666666666
q3,2025-03-20,0,33,616.895
q3,2025-03-20,0,34,604.6024333333334
q3,2025-03-20,0,35,702.77645
q3,2025-03-20,0,36,34.5016666666667
q3,2025-03-20,0,37,29.269755555555406
q3,2025-03-20,0,38,6.086694444444401
q3,2025-03-20,0,39,13.308949999999962
q3,2025-03-20,0,40,13.487994444444496
q3,2025-03-20,0,41,6.704775000000052
q3,2025-03-20,0,42,19.958783333333333
q3,2025-03-20,0,43,26.109916666666695
q3,2025-03-20,0,44,21.92854444444443
q3,2025-03-20,0,45,15.899525000000077
q3,2025-03-20,0,46,281.24562222222215
q3,2025-03-20,0,47,14.038519444444383
q3,2025-03-20,0,48,14.588216666666614
q3,2025-03-20,0,49,29.41764999999996
q3,2025-03-20,0,50,31.56808333333335
q3,2025-03-20,0,51,24.55900833333328
q3,2025-03-20,0,52,31.859372222222262
q3,2025-03-20,0,53,40.721397222222365
q3,2025-03-20,0,54,22.589716666666693
q3,2025-03-20,0,55,37.9378694444444
q3,2025-03-20,0,56,49.54536666666672
q3,2025-03-20,0,57,44.01343333333322
q3,2025-03-20,0,58,55.13137777777783
q3,2025-03-20,0,59,60.8760555555555
q3,2025-03-20,0,60,46.9065166666666
q3,2025-03-20,0,61,62.087155555555526
q3,2025-03-20,0,62,73.80114999999998
q3,2025-03-20,0,63,66.03903333333324
q3,2025-03-20,0,64,58.53638333333335
q3,2025-03-20,0,65,79.08464166666676
q3,2025-03-20,0,66,658.5841666666668
q3,2025-03-20,0,67,638.9973722222219
q3,2025-03-20,0,68,599.5189666666666
q3,2025-03-20,0,69,606.8109499999999
q3,2025-03-20,0,70,642.6498611111107
q3,2025-03-20,0,71,633.0902138888887
q3,2025-03-20,0,72,608.8271166666667
q3,2025-03-20,0,73,632.2607805555554
q3,2025-03-20,0,74,706.3807944444443
q3,2025-03-20,0,75,757.3452083333332
q3,2025-03-20,0,76,792.5251388888888
q3,2025-03-20,0,77,188.93612373113848
q3,2025-03-20,0,78,121.30625000000009
q3,2025-03-20,0,79,106.64620555555572
q3,2025-03-20,0,80,112.49635086195133
q3,2025-03-20,0,81,122.62773333333332
q3,2025-03-20,0,82,86.75877777777774
q3,2025-03-20,0,83,96.98056111111102
q3,2025-03-20,0,84,94.0401166666667
q3,2025-03-20,0,85,80.36409999999995
q3,2025-03-20,0,86,38.18068333333347
q3,2025-03-20,0,87,53.48005833333339
q3,2025-03-20,0,88,56.32526666666672
q3,2025-03-20,0,89,73.7605166666667
q3,2025-03-20,0,90,1317.0537180030778
q3,2025-03-20,0,91,1321.285836111111
q3,2025-03-20,0,92,518.0577722222223
q3,2025-03-20,0,93,562.5500999999998
q3,2025-03-20,0,94,591.0225444444443
q3,2025-03-20,0,95,618.2406222222226
q3,2025-03-20,0,96,637.6222999999999
q3,2025-03-20,0,97,684.9960500000001
q3,2025-03-20,0,98,720.5848666666665
