variant,date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
q3,2025-03-20,73556.80828981838,68960.8332680657,44274.09620616108,47316.53499543783,0.0,2681.288525377223,0.0,21424.120663272744,17353.537737250925,10800.0,10800.0,1220.9380957407407,10800.0,1.3855583347321954e-13
q3,2025-06-21,45256.911003190035,44126.992577745594,27147.525633004087,28190.585024182143,0.0,8825.715156414266,12394.58154622845,18799.765658436212,15227.810183333331,10800.0,10800.0,2114.690981605605,10800.0,1.1368683772161603e-13
q3,2025-09-23,75405.91444079208,70282.85912928972,46279.53511681077,49552.5424348548,0.0,3605.8607349742906,590.2883527434835,20895.2339907295,16925.139532490895,10800.0,10800.0,1351.1101251851871,10800.0,1.1368683772161603e-13
q3,2025-12-21,101909.70987056922,99957.32462121805,65355.768111788864,66443.1935676302,0.0,6706.557351209609,0.0,22173.607386009346,17960.62198266757,10800.0,10800.0,1498.2448148148176,10800.0,1.7053025658242404e-13
q4_2,2025-03-20,70966.651729273,70966.651729273,44399.40043923462,44399.40043923462,0.0,3808.395359465015,1014.3316833333329,20710.330893726277,16775.368023918287,10800.0,10800.0,1619.6950943915353,10800.0,1.4210854715202004e-13
q4_2,2025-06-21,48662.37032584167,48662.37032584167,25426.345867436572,25426.345867436572,0.0,11073.356939510108,14676.994533333333,18827.78133156966,15250.50287857143,10800.0,10800.0,2773.6274259259276,10800.0,1.1368683772161603e-13
q4_2,2025-09-23,71627.96684664005,71627.96684664005,47646.28413435501,47646.28413435501,0.0,3952.881228189303,1705.2494573486201,20280.108304046316,16426.88772627752,10800.0,10800.0,1482.65706820106,10800.0,2.2737367544323206e-13
q4_2,2025-12-21,102031.28820307979,102031.28820307979,77803.66667717334,77803.66667717334,0.0,8895.285552821872,0.0,21569.583071532958,17471.3622879417,10800.0,10800.0,1498.2455000000025,10800.0,1.1368683772161603e-13
q4_3,2025-03-20,73556.81138758396,68935.9021885091,45232.085045930275,48512.18713437629,0.0,2677.3606778039866,0.0,21313.57733704451,17263.99764300605,10800.0,10800.0,1220.9380957407407,10800.0,1.3855583347321954e-13
q4_3,2025-06-21,45415.24220524805,44286.369524248046,23280.564356640163,24021.564495459614,0.0,7980.8110866346515,13352.463429278936,19043.97162281297,15425.617014478506,10800.0,10800.0,2763.3857222222246,10800.0,1.1368683772161603e-13
q4_3,2025-09-23,75405.91475633802,70278.8824401043,48528.49956542424,51705.89770375761,0.0,3614.747184636487,584.5304305212602,20857.838113753784,16894.848872140567,10800.0,10800.0,1468.6210134567912,10800.0,1.7053025658242404e-13
q4_3,2025-12-21,101805.21776656472,99826.55597778167,76751.20455676777,78288.43074560407,0.0,6687.340515900551,0.0,21586.49260639192,17485.05901117745,10800.0,10800.0,1498.2448148148176,10800.0,1.1368683772161603e-13
