variant,date,quantity,10:00-10:10_kwh,12:00-12:10_kwh,14:00-14:10_kwh,16:00-16:10_kwh,18:00-18:10_kwh,20:00-20:10_kwh,day_purchase_kwh,actual_cash_cost_yuan
q3,2025-03-20,initial_plan,62.087155555555526,632.2607805555554,80.36409999999995,684.9960500000001,715.1459833333334,15.622349999999944,73556.80828981838,44274.09620616108
q3,2025-03-20,final_contract,62.087155555555526,569.7615527777776,40.27206666666666,553.9736666666668,715.1459833333334,15.622349999999944,68960.8332680657,44274.09620616108
q3,2025-06-21,initial_plan,80.64867500000017,81.65045277777776,81.89509722222216,252.6471250000002,71.06504166666662,52.50258333333333,45256.911003190035,27147.525633004087
q3,2025-06-21,final_contract,42.90872777777787,50.4178361111111,81.89509722222216,237.44116388888892,71.06504166666662,52.50258333333333,44126.992577745594,27147.525633004087
q3,2025-09-23,initial_plan,79.14134999999999,469.8641750000001,81.88987222222227,636.9417861111112,779.0798527777778,23.829916666666726,75405.91444079208,46279.53511681077
q3,2025-09-23,final_contract,69.22972500000006,38.45868333333333,30.411594444444464,592.991475,779.2850642609855,23.829916666666726,70282.85912928972,46279.53511681077
q3,2025-12-21,initial_plan,63.71007777777771,1027.8970722222223,88.98168333333336,858.5316333333336,750.3022666666667,17.728750000000066,101909.70987056922,65355.768111788864
q3,2025-12-21,final_contract,63.81784166666671,996.6343305555555,88.98168333333336,858.5316333333336,750.3022666666667,17.728750000000066,99957.32462121805,65355.768111788864
q4_2,2025-03-20,initial_plan,45.98197142857134,622.1127690476189,13.987499999999878,505.0456380952382,18.25011428571436,758.9406166666666,70966.651729273,44399.40043923462
q4_2,2025-03-20,final_contract,45.98197142857134,622.1127690476189,13.987499999999878,505.0456380952382,18.25011428571436,758.9406166666666,70966.651729273,44399.40043923462
q4_2,2025-06-21,initial_plan,148.22572142857157,133.55902857142866,157.63362857142857,259.5703928571428,379.50044761904684,52.50258333333333,48662.37032584167,25426.345867436572
q4_2,2025-06-21,final_contract,148.22572142857157,133.55902857142866,157.63362857142857,259.5703928571428,379.50044761904684,52.50258333333333,48662.37032584167,25426.345867436572
q4_2,2025-09-23,initial_plan,98.08222857142846,513.0428880952381,40.23276666666652,589.4193095238093,21.843978571428515,23.829916666666726,71627.96684664005,47646.28413435501
q4_2,2025-09-23,final_contract,98.08222857142846,513.0428880952381,40.23276666666652,589.4193095238093,21.843978571428515,23.829916666666726,71627.96684664005,47646.28413435501
q4_2,2025-12-21,initial_plan,116.54378333333366,1012.369342857143,79.92310952380952,858.4140476190476,750.3043666666667,17.728750000000066,102031.28820307979,77803.66667717334
q4_2,2025-12-21,final_contract,116.54378333333366,1012.369342857143,79.92310952380952,858.4140476190476,750.3043666666667,17.728750000000066,102031.28820307979,77803.66667717334
q4_3,2025-03-20,initial_plan,62.087155555555526,632.2607805555554,80.36409999999995,684.9960500000001,17.745766666666743,758.9406166666666,73556.81138758396,45232.085045930275
q4_3,2025-03-20,final_contract,62.087155555555526,569.7615527777776,40.27206666666666,553.9736666666668,17.745766666666743,758.9406166666666,68935.9021885091,45232.085045930275
q4_3,2025-06-21,initial_plan,80.64867500000017,81.65045277777776,81.89509722222216,252.6471250000002,370.9348388888894,52.50258333333333,45415.24220524805,23280.564356640163
q4_3,2025-06-21,final_contract,42.90872777777787,50.4178361111111,81.89509722222216,237.44116388888892,370.9348388888894,52.50258333333333,44286.369524248046,23280.564356640163
q4_3,2025-09-23,initial_plan,79.14134999999999,469.8641750000001,81.88987222222227,636.9417861111112,14.904986111111072,23.829916666666726,75405.91475633802,48528.49956542424
q4_3,2025-09-23,final_contract,69.22972500000006,38.45868333333333,30.411594444444464,592.991475,17.022650000000034,23.829916666666726,70278.8824401043,48528.49956542424
q4_3,2025-12-21,initial_plan,63.71007777777771,1027.8970722222223,88.98168333333336,858.5316333333336,750.3022666666667,17.728750000000066,101805.21776656472,76751.20455676777
q4_3,2025-12-21,final_contract,63.81784166666671,996.6343305555555,88.98168333333336,858.5316333333336,750.3022666666667,17.728750000000066,99826.55597778167,76751.20455676777
