variant,date,period,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh
q3,2025-03-20,0:00-4:00,136.8989711934172,185.1226333333335,10800.0,10800.0
q3,2025-03-20,4:00-8:00,117.40455082304658,6305.660730555557,10800.0,10800.0
q3,2025-03-20,8:00-12:00,4344.003422222224,2336.358202777778,10800.0,10800.0
q3,2025-03-20,12:00-16:00,6447.778297223361,142.93647891758866,10800.0,10800.0
q3,2025-03-20,16:00-20:00,39.142870370369764,5513.412708333333,10800.0,10800.0
q3,2025-03-20,20:00-24:00,10338.892551440329,2870.0469833333336,10800.0,10800.0
q3,2025-06-21,0:00-4:00,58.85971985670699,3552.215483333333,10800.0,10800.0
q3,2025-06-21,4:00-8:00,620.5195972222222,4410.912605555555,10800.0,10800.0
q3,2025-06-21,8:00-12:00,9151.64301488266,0.0,10800.0,10800.0
q3,2025-06-21,12:00-16:00,0.0,0.0,10800.0,10800.0
q3,2025-06-21,16:00-20:00,133.86291111111098,5080.895694444443,10800.0,10800.0
q3,2025-06-21,20:00-24:00,8834.88041536351,2183.7864,10800.0,10800.0
q3,2025-09-23,0:00-4:00,34.292407407407694,27.776849999999968,10800.0,10800.0
q3,2025-09-23,4:00-8:00,61.52602880658523,6613.230834746625,10800.0,10800.0
q3,2025-09-23,8:00-12:00,6197.017511347001,1414.453430555555,10800.0,10800.0
q3,2025-09-23,12:00-16:00,3979.353002016242,298.63365052204495,10800.0,10800.0
q3,2025-09-23,16:00-20:00,62.27524691358164,5490.9766,10800.0,10800.0
q3,2025-09-23,20:00-24:00,10560.76979423868,3080.0681666666665,10800.0,10800.0
q3,2025-12-21,0:00-4:00,39.6583333333333,49.683599999999956,10800.0,10800.0
q3,2025-12-21,4:00-8:00,783.6210356652955,1441.7464722222223,10800.0,10800.0
q3,2025-12-21,8:00-12:00,5934.884252777776,6384.711553583894,10800.0,10800.0
q3,2025-12-21,12:00-16:00,5080.160225138295,1712.9006901947887,10800.0,10800.0
q3,2025-12-21,16:00-20:00,0.0,5632.417999999998,10800.0,10800.0
q3,2025-12-21,20:00-24:00,10335.283539094646,2739.161666666667,10800.0,10800.0
q4_2,2025-03-20,0:00-4:00,136.8989711934172,185.1226333333335,10800.0,10800.0
q4_2,2025-03-20,4:00-8:00,285.9228516166961,5588.244385714287,10800.0,10800.0
q4_2,2025-03-20,8:00-12:00,6604.849997619047,2361.458402380953,10800.0,10800.0
q4_2,2025-03-20,12:00-16:00,3213.3580327327454,279.7146929659027,10800.0,10800.0
q4_2,2025-03-20,16:00-20:00,244.75482857142822,6965.724642857142,10800.0,10800.0
q4_2,2025-03-20,20:00-24:00,10224.546211992943,1395.1032666666667,10800.0,10800.0
q4_2,2025-06-21,0:00-4:00,464.90139672510867,6690.649283333333,10800.0,10800.0
q4_2,2025-06-21,4:00-8:00,1622.6163428571426,1313.259692857143,10800.0,10800.0
q4_2,2025-06-21,8:00-12:00,7793.85136682574,0.0,10800.0,10800.0
q4_2,2025-06-21,12:00-16:00,0.0,0.0,10800.0,10800.0
q4_2,2025-06-21,16:00-20:00,28.220476190476298,5062.806995238096,10800.0,10800.0
q4_2,2025-06-21,20:00-24:00,8918.191748971192,2183.786907142857,10800.0,10800.0
q4_2,2025-09-23,0:00-4:00,34.292407407407694,27.776849999999968,10800.0,10800.0
q4_2,2025-09-23,4:00-8:00,61.308771310994885,6380.018783333333,10800.0,10800.0
q4_2,2025-09-23,8:00-12:00,5511.5897690476195,1147.411561904762,10800.0,10800.0
q4_2,2025-09-23,12:00-16:00,4006.929634616572,332.22311199180456,10800.0,10800.0
q4_2,2025-09-23,16:00-20:00,251.38119744267846,6034.323552380951,10800.0,10800.0
q4_2,2025-09-23,20:00-24:00,10414.606524221042,2505.1338666666666,10800.0,10800.0
q4_2,2025-12-21,0:00-4:00,39.6583333333333,49.683599999999956,10800.0,10800.0
