model,count,mae_kw,rmse_kw,bias_kw,mape_percent,mape_count,evaluation,empirical_90_coverage,interval_mean_width_kw,interval_source,issue_hour,lead_hour
analog_load,48096,176.79572117223884,244.28661499529923,-1.9494697043413223,4.132359893630409,48096,"Feb-Dec, ten-minute endpoint",0.877370259481038,829.1679528136088,past <=60 raw rolling-origin residual days; no guarantee,,
analog_pv,48096,153.39970672494297,303.85773925555964,-2.769202212539207,7.766651265150405,23991,"Feb-Dec, ten-minute endpoint",0.9040252827677977,618.1841182893934,past <=60 raw rolling-origin residual days; no guarantee,,
official_pv_raw,8016,186.7346709830339,378.6842131115112,28.697512200598805,7.944482290467471,3945,"Feb-Dec issues, all available 1-24h targets",,,,0.0,
official_pv_bias_corrected,8016,188.188291612254,379.5715458729771,-0.7127233378503637,8.087519845074366,3945,"Feb-Dec, same-day hourly targets only",0.9281437125748503,755.0215013098803,past <=60 raw hourly residual days; no guarantee,0.0,
official_pv_raw_same_day,8016,186.7346709830339,378.6842131115112,28.697512200598805,7.944482290467471,3945,"Feb-Dec, same-day hourly targets only",,,,0.0,
official_pv_raw,8010,100.10615866416978,211.014458046889,6.921948052434461,4.8730118274529515,3945,"Feb-Dec issues, all available 1-24h targets",,,,6.0,
official_pv_bias_corrected,6012,130.99196059193625,243.68565866220266,-1.128497493936586,4.2791906452854,3774,"Feb-Dec, same-day hourly targets only",0.9138389886892881,537.1071341151031,past <=60 raw hourly residual days; no guarantee,6.0,
official_pv_raw_same_day,6012,129.0903119594145,240.9219309374875,8.782015119760484,4.22150328117635,3774,"Feb-Dec, same-day hourly targets only",,,,6.0,
official_pv_raw,8004,214.75829115442278,576.0438820227862,39.01889517741129,8.62829520894182,3939,"Feb-Dec issues, all available 1-24h targets",,,,12.0,
official_pv_bias_corrected,4008,35.58538248835218,71.62507555056982,0.12004456975950063,2.2916870405210523,1806,"Feb-Dec, same-day hourly targets only",0.935379241516966,150.4290496257485,past <=60 raw hourly residual days; no guarantee,12.0,
official_pv_raw_same_day,4008,35.19853151197604,71.08402289086493,-2.6111726796407173,2.264650992642418,1806,"Feb-Dec, same-day hourly targets only",,,,12.0,
official_pv_raw,7998,265.86090326331583,532.1863281493496,54.97652214303576,11.603052706782929,3934,"Feb-Dec issues, all available 1-24h targets",,,,18.0,
official_pv_bias_corrected,2004,0.0005146182634730545,0.005248142092101216,-1.1851297405180422e-06,,0,"Feb-Dec, same-day hourly targets only",0.9925149700598802,0.0018499001996007914,past <=60 raw hourly residual days; no guarantee,18.0,
official_pv_raw_same_day,2004,0.00035833333333333344,0.005206655019014216,0.00018088822355289387,,0,"Feb-Dec, same-day hourly targets only",,,,18.0,
official_pv_raw_lead,1336,19.08664491017964,41.440636664931155,-1.15724446107785,0.8275596672082981,632,"Feb-Dec issues, available targets",,,,,1.0
official_pv_raw_lead,1336,35.59028735029939,69.03511433373369,-0.836033308383231,1.4331123328326938,668,"Feb-Dec issues, available targets",,,,,2.0
official_pv_raw_lead,1336,50.921038772455084,91.97729880313462,-0.907610029940127,1.9845475107679704,668,"Feb-Dec issues, available targets",,,,,3.0
official_pv_raw_lead,1336,68.03748488023952,127.19015897608402,1.4227832335329447,2.7405103955450985,668,"Feb-Dec issues, available targets",,,,,4.0
official_pv_raw_lead,1336,79.66832657185628,169.40527001695378,1.922323877245506,3.509957076061517,633,"Feb-Dec issues, available targets",,,,,5.0
official_pv_raw_lead,1336,91.74277784431138,212.7055219720702,3.482184730538923,4.2826711444777406,676,"Feb-Dec issues, available targets",,,,,6.0
official_pv_raw_lead,1335,111.32166247191012,242.32141391666357,10.005769737827718,4.91755273471742,632,"Feb-Dec issues, available targets",,,,,7.0
official_pv_raw_lead,1335,140.48880509363298,264.02317467294756,14.287727490636712,5.662763762574562,668,"Feb-Dec issues, available targets",,,,,8.0
official_pv_raw_lead,1335,160.69839955056182,284.0586358862554,12.98779071161049,6.225823729583264,668,"Feb-Dec issues, available targets",,,,,9.0
official_pv_raw_lead,1335,157.50893168539326,301.06792044335276,22.418176479400756,6.3612462677620885,668,"Feb-Dec issues, available targets",,,,,10.0
official_pv_raw_lead,1335,162.27927558052434,346.9695570971675,19.71592846441948,7.20220438752673,633,"Feb-Dec issues, available targets",,,,,11.0
official_pv_raw_lead,1335,165.43400898876405,377.66016281991864,21.430641048689132,7.894458883982584,676,"Feb-Dec issues, available targets",,,,,12.0
official_pv_raw_lead,1334,194.0395116941529,412.5696721954682,28.263520389805105,8.664017499958197,631,"Feb-Dec issues, available targets",,,,,13.0
official_pv_raw_lead,1334,226.3231856821589,426.83418276948987,36.50388898050976,9.027779710839663,667,"Feb-Dec issues, available targets",,,,,14.0
official_pv_raw_lead,1334,247.5474476011994,442.5814171073558,39.30910022488755,9.671263828821381,667,"Feb-Dec issues, available targets",,,,,15.0
official_pv_raw_lead,1334,253.56780644677661,476.7369577210156,53.997357421289365,10.338750721942636,667,"Feb-Dec issues, available targets",,,,,16.0
official_pv_raw_lead,1334,236.39736169415292,498.63345164863983,54.88697488755623,10.733589282253089,632,"Feb-Dec issues, available targets",,,,,17.0
official_pv_raw_lead,1334,229.66162443778111,524.2578991588745,37.13212653673163,11.13008750729888,675,"Feb-Dec issues, available targets",,,,,18.0
official_pv_raw_lead,1333,271.2562954988747,570.4573908461384,48.890585371342844,12.285902368033012,630,"Feb-Dec issues, available targets",,,,,19.0
official_pv_raw_lead,1333,311.6026230307577,585.4531483683559,60.69299962490623,12.71174887979099,666,"Feb-Dec issues, available targets",,,,,20.0
official_pv_raw_lead,1333,333.02975948987245,614.6047310075994,67.34963765941487,13.163361523689336,666,"Feb-Dec issues, available targets",,,,,21.0
official_pv_raw_lead,1333,330.3052132033008,627.2729065061011,57.47557794448613,13.427517174229742,666,"Feb-Dec issues, available targets",,,,,22.0
official_pv_raw_lead,1333,341.35829152288073,747.9656128574051,76.20902685671419,15.515195810593523,631,"Feb-Dec issues, available targets",,,,,23.0
official_pv_raw_lead,1333,388.11836834208555,924.0812476891116,112.48372678169541,18.389458270732252,675,"Feb-Dec issues, available targets",,,,,24.0
