date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,50397.701642702195,50397.701642702195,28325.750545722414,28325.750545722414,0.0,8758.955684948052,3964.3874154977616,17348.329520647643,14052.146911724594,10800.0,10800.0,2351.947580246911,10800.0,1.1368683772161603e-13
2025-02-02,96792.94051979273,96792.94051979273,61865.02623274986,61865.02623274986,0.0,14563.404887899746,143.10248333333334,19632.395781892996,15902.24058333333,10800.0,10800.0,1890.3160956790134,10800.0,1.1368683772161603e-13
2025-02-03,98787.52731518864,98787.52731518864,63130.993567829166,63130.993567829166,0.0,14798.78872887517,0.0,19851.69519112359,16079.87310481011,10800.0,10800.0,1813.477706790127,10800.0,2.2737367544323206e-13
2025-02-04,101885.35524387758,101885.35524387758,65649.77830054352,65649.77830054352,0.0,16798.977493449933,64.33819999999992,20143.029475935087,16315.853875507422,10800.0,10800.0,2044.760132716048,10800.0,2.2737367544323206e-13
2025-02-05,94476.51785479166,94476.51785479166,60157.338180135026,60157.338180135026,0.0,9656.413012082474,2.052500000000009,21419.080838820304,17349.455479444445,10800.0,10800.0,1657.9925892592587,10800.0,1.5631940186722204e-13
2025-02-06,100054.92887970989,100054.92887970989,64212.38973286721,64212.38973286721,0.0,15909.801057956101,1.400816666666742,20382.472570633923,16509.80278221348,10800.0,10800.0,1876.913888888889,10800.0,2.2737367544323206e-13
2025-02-07,48756.047631045745,48756.047631045745,26377.32550299767,26377.32550299767,0.0,7729.793369385598,5658.848048789983,18745.929190544717,15184.202644341221,10800.0,10800.0,1608.5840432098764,10800.0,1.1368683772161603e-13
2025-02-08,40990.231442770935,40990.231442770935,22283.430198831207,22283.430198831207,32.99034166666564,2608.807953189299,2823.458654792651,21125.2234725736,17111.43101278462,10800.0,10800.0,1200.0,10800.0,1.1368683772161603e-13
2025-02-09,91089.92483008366,91089.92483008366,57706.56915955777,57706.56915955777,0.0,7546.607402091915,16.686249999999973,20901.13269118469,16929.917479859607,10800.0,10800.0,1519.167274876549,10800.0,1.1368683772161603e-13
2025-02-10,87777.90193385509,87777.90193385509,55404.6474666005,55404.6474666005,2.571666666666488,9183.768589925043,499.6630333333335,19844.233652263374,16073.829258333335,10800.0,10800.0,1542.4409629629604,10800.0,2.2737367544323206e-13
2025-02-11,87710.91917326595,87710.91917326595,55544.428971712245,55544.428971712245,10.137633333333497,8118.742134870214,128.49728076131476,22385.36977702332,18132.14951938889,10800.0,10800.0,1356.5454800000025,10800.0,2.2737367544323206e-13
2025-02-12,88131.23583280548,88131.23583280548,55628.00281341727,55628.00281341727,0.0,8627.682883799995,286.6938,20790.1211351166,16839.998119444444,10800.0,10800.0,1491.7462429320974,10800.0,2.2737367544323206e-13
2025-02-13,83182.49832190307,83182.49832190307,51932.11038576429,51932.11038576429,35.37094999999999,7584.843672623252,392.0884991769583,20586.62149176954,16675.16340833333,10800.0,10800.0,1447.9166812962978,10800.0,1.1368683772161603e-13
2025-02-14,40597.962326143854,40597.962326143854,21975.658798849443,21975.658798849443,0.0,2444.777375034297,4429.985656727675,20638.934093238026,16717.536615522808,10800.0,10800.0,1310.3248865123487,10800.0,1.1368683772161603e-13
2025-02-15,40201.025397157864,40201.025397157864,21975.24929048009,21975.24929048009,0.0,2645.865321364888,4251.132852286793,21178.611176348317,17154.675052842136,10800.0,10800.0,1373.0362561728423,10800.0,1.1368683772161603e-13
2025-02-16,88587.96108161783,88587.96108161783,55812.823743939574,55812.823743939574,15.419194444444202,9130.451331960778,90.55683333333332,21078.910582990393,17073.91757222222,10800.0,10800.0,1390.399071481485,10800.0,2.2737367544323206e-13
2025-02-17,88312.58821795537,88312.58821795537,55107.624237842894,55107.624237842894,10.472672222222172,12617.270857167354,948.4422833333333,18807.813594790736,15234.3290117805,10800.0,10800.0,1352.701489382717,10800.0,1.3855583347321954e-13
