date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,50373.38179333156,50373.38179333156,23281.39622635278,23281.39622635278,0.0,8630.958644170092,4092.384456275722,17220.330313433744,13948.467553881334,10800.0,10800.0,2351.949530039257,10800.0,1.1368683772161603e-13
2025-02-02,96793.29059968478,96793.29059968478,68443.13598096656,68443.13598096656,0.0,14563.778679149531,143.10248333333334,19632.270985273382,15902.139498071443,10800.0,10800.0,1890.3160956790134,10800.0,1.7053025658242404e-13
2025-02-03,98756.19593284989,98756.19593284989,71278.31226611286,71278.31226611286,0.0,14798.78872887517,0.0,19686.793178814336,15946.302474839616,10800.0,10800.0,1813.477706790127,10800.0,2.2737367544323206e-13
2025-02-04,101885.28613208531,101885.28613208531,74356.2258185416,74356.2258185416,0.0,16798.97749344993,64.33819999999992,20142.66572965998,16315.559241024584,10800.0,10800.0,2044.760132716048,10800.0,2.2737367544323206e-13
2025-02-05,94476.67218483411,94476.67218483411,67599.32454972161,67599.32454972161,0.0,9656.767064951984,2.052500000000009,21418.02966604628,17348.60402949749,10800.0,10800.0,1657.9925892592587,10800.0,1.5631940186722204e-13
2025-02-06,99950.6278801969,99950.6278801969,72271.34772648657,72271.34772648657,0.0,15827.366477297668,1.400816666666742,20267.38615560998,16416.582786044084,10800.0,10800.0,2072.869672222224,10800.0,2.2737367544323206e-13
2025-02-07,48641.92139452639,48641.92139452639,21417.260074828082,21417.260074828082,0.0,7368.021505294566,6010.031283333334,18200.9944170096,14742.805477777778,10800.0,10800.0,1608.5840432098764,10800.0,1.1368683772161603e-13
2025-02-08,40990.23140773662,40990.23140773662,18873.03263090138,18873.03263090138,232.7395749999995,2745.5488353058427,2943.2329499999996,20826.455161916376,16869.42868115227,10800.0,10800.0,1200.0,10800.0,1.1368683772161603e-13
2025-02-09,91023.49574855348,91023.49574855348,64282.81170989752,64282.81170989752,0.0,7484.262821982173,16.686249999999973,20879.63531528758,16912.504605382943,10800.0,10800.0,1514.2271446913605,10800.0,1.5276668818842154e-13
2025-02-10,87614.2182422359,87614.2182422359,60036.01163773582,60036.01163773582,0.0,9187.872847345649,461.86496200274485,19146.54131344307,15508.698463888888,10800.0,10800.0,1666.1629218209887,10800.0,2.2737367544323206e-13
