variant,date,quantity,10:00-10:10_kwh,12:00-12:10_kwh,14:00-14:10_kwh,16:00-16:10_kwh,18:00-18:10_kwh,20:00-20:10_kwh,day_purchase_kwh,actual_cash_cost_yuan
q3_no_adjust,2025-03-20,initial_plan,62.087155555555526,632.2607805555554,80.36409999999995,684.9960500000001,715.1459833333334,15.622349999999944,73556.80828981838,46809.77056516426
q3_no_adjust,2025-03-20,final_contract,62.087155555555526,632.2607805555554,80.36409999999995,684.9960500000001,715.1459833333334,15.622349999999944,73556.80828981838,46809.77056516426
q3_no_adjust,2025-06-21,initial_plan,80.64867500000017,81.65045277777776,81.89509722222216,252.6471250000002,71.06504166666662,52.50258333333333,45256.911003190035,27503.62208725703
q3_no_adjust,2025-06-21,final_contract,80.64867500000017,81.65045277777776,81.89509722222216,252.6471250000002,71.06504166666662,52.50258333333333,45256.911003190035,27503.62208725703
q3_no_adjust,2025-09-23,initial_plan,79.14134999999999,469.8641750000001,81.88987222222227,636.9417861111112,779.0798527777778,23.829916666666726,75405.91444079208,47905.25190208628
q3_no_adjust,2025-09-23,final_contract,79.14134999999999,469.8641750000001,81.88987222222227,636.9417861111112,779.0798527777778,23.829916666666726,75405.91444079208,47905.25190208628
q3_no_adjust,2025-12-21,initial_plan,63.71007777777771,1027.8970722222223,88.98168333333336,858.5316333333336,750.3022666666667,17.728750000000066,101909.70987056922,65838.7365355722
q3_no_adjust,2025-12-21,final_contract,63.71007777777771,1027.8970722222223,88.98168333333336,858.5316333333336,750.3022666666667,17.728750000000066,101909.70987056922,65838.7365355722
q4_3_no_adjust,2025-03-20,initial_plan,62.087155555555526,632.2607805555554,80.36409999999995,684.9960500000001,17.745766666666743,758.9406166666666,73556.81138758396,47950.40461339725
q4_3_no_adjust,2025-03-20,final_contract,62.087155555555526,632.2607805555554,80.36409999999995,684.9960500000001,17.745766666666743,758.9406166666666,73556.81138758396,47950.40461339725
q4_3_no_adjust,2025-06-21,initial_plan,80.64867500000017,81.65045277777776,81.89509722222216,252.6471250000002,370.9348388888894,52.50258333333333,45415.24220524805,23527.559414591124
q4_3_no_adjust,2025-06-21,final_contract,80.64867500000017,81.65045277777776,81.89509722222216,252.6471250000002,370.9348388888894,52.50258333333333,45415.24220524805,23527.559414591124
q4_3_no_adjust,2025-09-23,initial_plan,79.14134999999999,469.8641750000001,81.88987222222227,636.9417861111112,14.904986111111072,23.829916666666726,75405.91475633802,50102.01627078134
q4_3_no_adjust,2025-09-23,final_contract,79.14134999999999,469.8641750000001,81.88987222222227,636.9417861111112,14.904986111111072,23.829916666666726,75405.91475633802,50102.01627078134
q4_3_no_adjust,2025-12-21,initial_plan,63.71007777777771,1027.8970722222223,88.98168333333336,858.5316333333336,750.3022666666667,17.728750000000066,101805.21776656472,77463.16281671768
q4_3_no_adjust,2025-12-21,final_contract,63.71007777777771,1027.8970722222223,88.98168333333336,858.5316333333336,750.3022666666667,17.728750000000066,101805.21776656472,77463.16281671768
