variant,date,period,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh
q3_no_adjust,2025-03-20,0:00-4:00,136.8989711934172,185.1226333333335,10800.0,10800.0
q3_no_adjust,2025-03-20,4:00-8:00,92.20291193415756,6570.950458333333,10800.0,10800.0
q3_no_adjust,2025-03-20,8:00-12:00,6374.728030555554,2069.499433666667,10800.0,10800.0
q3_no_adjust,2025-03-20,12:00-16:00,4374.118903600823,66.56601666666633,10800.0,10800.0
q3_no_adjust,2025-03-20,16:00-20:00,0.0,5504.455983333333,10800.0,10800.0
q3_no_adjust,2025-03-20,20:00-24:00,10338.892551440329,2870.0469833333336,10800.0,10800.0
q3_no_adjust,2025-06-21,0:00-4:00,58.85971985670699,3552.215483333333,10800.0,10800.0
q3_no_adjust,2025-06-21,4:00-8:00,664.8982861111109,4406.545180555555,10800.0,10800.0
q3_no_adjust,2025-06-21,8:00-12:00,9101.87244327772,0.0,10800.0,10800.0
q3_no_adjust,2025-06-21,12:00-16:00,0.0,0.0,10800.0,10800.0
q3_no_adjust,2025-06-21,16:00-20:00,133.86291111111086,5085.341152777776,10800.0,10800.0
q3_no_adjust,2025-06-21,20:00-24:00,8840.368635528117,2183.7864,10800.0,10800.0
q3_no_adjust,2025-09-23,0:00-4:00,34.292407407407694,27.776849999999968,10800.0,10800.0
q3_no_adjust,2025-09-23,4:00-8:00,82.79870271046642,6522.200066666665,10800.0,10800.0
q3_no_adjust,2025-09-23,8:00-12:00,6618.102687395757,1166.9364611111114,10800.0,10800.0
q3_no_adjust,2025-09-23,12:00-16:00,3052.4507326646944,211.0786916666664,10800.0,10800.0
q3_no_adjust,2025-09-23,16:00-20:00,22.599142661179446,5492.460672222222,10800.0,10800.0
q3_no_adjust,2025-09-23,20:00-24:00,10560.76979423868,3080.0681666666665,10800.0,10800.0
q3_no_adjust,2025-12-21,0:00-4:00,39.6583333333333,49.683599999999956,10800.0,10800.0
q3_no_adjust,2025-12-21,4:00-8:00,783.6210356652953,1449.656272222222,10800.0,10800.0
q3_no_adjust,2025-12-21,8:00-12:00,6233.672258333332,6391.47842777778,10800.0,10800.0
q3_no_adjust,2025-12-21,12:00-16:00,4798.851958834857,1712.3826047951216,10800.0,10800.0
q3_no_adjust,2025-12-21,16:00-20:00,0.0,5632.417999999998,10800.0,10800.0
q3_no_adjust,2025-12-21,20:00-24:00,10335.283539094646,2739.161666666667,10800.0,10800.0
q4_3_no_adjust,2025-03-20,0:00-4:00,136.8989711934172,185.1226333333335,10800.0,10800.0
q4_3_no_adjust,2025-03-20,4:00-8:00,92.20291193415756,6570.950458333333,10800.0,10800.0
q4_3_no_adjust,2025-03-20,8:00-12:00,6374.728030555554,2069.499433666667,10800.0,10800.0
q4_3_no_adjust,2025-03-20,12:00-16:00,4374.118903600823,66.56601666666633,10800.0,10800.0
q4_3_no_adjust,2025-03-20,16:00-20:00,54.164816666666866,6865.761666666666,10800.0,10800.0
q4_3_no_adjust,2025-03-20,20:00-24:00,10144.433866460906,1395.1032666666667,10800.0,10800.0
q4_3_no_adjust,2025-06-21,0:00-4:00,473.2188833333335,6681.818150589618,10800.0,10800.0
q4_3_no_adjust,2025-06-21,4:00-8:00,1548.9686305555556,1475.054394444444,10800.0,10800.0
q4_3_no_adjust,2025-06-21,8:00-12:00,8048.025504671684,0.0,10800.0,10800.0
q4_3_no_adjust,2025-06-21,12:00-16:00,0.0,0.0,10800.0,10800.0
q4_3_no_adjust,2025-06-21,16:00-20:00,38.795301783264016,5085.341152777776,10800.0,10800.0
q4_3_no_adjust,2025-06-21,20:00-24:00,8935.436244855962,2183.7864,10800.0,10800.0
q4_3_no_adjust,2025-09-23,0:00-4:00,34.292407407407694,27.776849999999968,10800.0,10800.0
q4_3_no_adjust,2025-09-23,4:00-8:00,82.79249825102895,6522.200066666665,10800.0,10800.0
q4_3_no_adjust,2025-09-23,8:00-12:00,6618.110347222223,1166.9364611111114,10800.0,10800.0
q4_3_no_adjust,2025-09-23,12:00-16:00,3052.443278239247,211.07383242934517,10800.0,10800.0
q4_3_no_adjust,2025-09-23,16:00-20:00,113.93827777777778,6039.735925000001,10800.0,10800.0
q4_3_no_adjust,2025-09-23,20:00-24:00,10435.283687242798,2505.1338666666666,10800.0,10800.0
q4_3_no_adjust,2025-12-21,0:00-4:00,39.6583333333333,49.683599999999956,10800.0,10800.0
q4_3_no_adjust,2025-12-21,4:00-8:00,21.679444444445025,832.4835833333333,10800.0,10800.0
q4_3_no_adjust,2025-12-21,8:00-12:00,6118.543716666666,6276.349886111113,10800.0,10800.0
q4_3_no_adjust,2025-12-21,12:00-16:00,4995.708718180566,1893.7110027818105,10800.0,10800.0
q4_3_no_adjust,2025-12-21,16:00-20:00,0.0,5632.417999999998,10800.0,10800.0
q4_3_no_adjust,2025-12-21,20:00-24:00,10335.283539094646,2739.161666666667,10800.0,10800.0
