variant,date,interval,emergency_kwh
q3_no_adjust,2025-03-20,09:00-09:10,138.96171911111094
q3_no_adjust,2025-03-20,09:10-09:20,100.97299999999996
q3_no_adjust,2025-03-20,09:20-09:30,33.17198333333348
q3_no_adjust,2025-06-21,无,0.0
q3_no_adjust,2025-09-23,无,0.0
q3_no_adjust,2025-12-21,无,0.0
q4_3_no_adjust,2025-03-20,09:00-09:10,138.96171911111094
q4_3_no_adjust,2025-03-20,09:10-09:20,100.97299999999996
q4_3_no_adjust,2025-03-20,09:20-09:30,33.17198333333348
q4_3_no_adjust,2025-06-21,无,0.0
q4_3_no_adjust,2025-09-23,无,0.0
q4_3_no_adjust,2025-12-21,无,0.0
