variant,date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
q2,2025-03-20,74529.39216041724,74529.39216041724,45537.756951574556,45537.756951574556,0.0,6778.504435663351,1758.120683771865,19914.764338501896,16130.959114186542,10800.0,10800.0,1203.4414235385243,10800.0,3.410605131648481e-13
q2,2025-06-21,67667.00850071039,67667.00850071039,41425.38389836103,41425.38389836103,0.0,27381.37391746129,19251.978580864197,8941.661065183745,7242.745462798834,10800.0,10800.0,4289.081763556851,10800.0,1.1368683772161603e-13
q2,2025-09-23,70538.62491568,70538.62491568,51144.40058946976,51144.40058946976,1056.4145061359413,5627.446458801472,0.0,20268.301998321804,16417.32461864066,10800.0,10800.0,1200.0,10800.0,1.1368683772161603e-13
q2,2025-12-21,94119.04973027401,94119.04973027401,63398.422683875266,63398.422683875266,472.7868164569609,846.5178924587585,0.0,25281.681656834087,20574.14486922854,10800.0,10693.352525341194,1200.0,10800.0,1.1368683772161603e-13
q3,2025-03-20,72262.71030131054,67693.27958422234,43102.24271460384,46452.652039796965,0.0,1444.2233992081399,0.0,21263.654570250244,17223.560201902703,10800.0,10800.0,1237.7218866822782,10800.0,2.2737367544323206e-13
q3,2025-06-21,68371.80329919442,64768.024919426985,41363.80370060105,43193.16180128659,0.0,24481.611997101663,19251.980408394527,8945.747968056798,7246.055854126009,10800.0,10800.0,4285.403550971102,10800.0,1.1368683772161603e-13
q3,2025-09-23,82180.24683017783,77331.42073466047,50781.34154356435,53820.1954644974,0.0,10526.777732659704,942.0361293876875,19715.74362778818,15969.752338508428,10800.0,10800.0,1819.0565116635576,10800.0,2.2737367544323206e-13
q3,2025-12-21,93441.46884689787,93316.72236396576,66531.37917684036,67396.56356774611,1077.7471320109676,739.8601611492983,0.0,24804.2648829791,20187.43741481833,10800.0,10693.352378216387,1200.0,10800.0,1.1368683772161603e-13
q4_2,2025-03-20,74529.39651614081,74529.39651614081,46666.40326920556,46666.40326920556,0.0,6793.481237009854,1752.2012298111677,19867.11701396384,16092.364781310716,10800.0,10800.0,1285.2320322464825,10800.0,2.2737367544323206e-13
q4_2,2025-06-21,67787.87877532905,67787.87877532905,34810.008002822084,34810.008002822084,0.0,27232.711410903034,19411.69009332513,9519.667742636304,7710.930871535408,10800.0,10800.0,4530.311106211368,10800.0,1.1368683772161603e-13
q4_2,2025-09-23,70617.44871117987,70617.44871117987,52476.71843848095,52476.71843848095,1031.465234248797,5611.309076677802,0.0,20636.785712723824,16715.7964273063,10800.0,10800.0,1200.0,10800.0,1.1368683772161603e-13
q4_2,2025-12-21,93762.13415468746,93762.13415468746,74326.65641404748,74326.65641404748,472.7868164569609,836.2946654905536,0.0,23467.12839537125,19106.28395638404,10800.0,10691.211159851864,1200.0,10800.0,1.4210854715202004e-13
q4_3,2025-03-20,72244.19885327935,67686.030185059,44012.15730452285,47627.986438603555,0.0,1450.2031155456853,0.0,21194.02764656138,17167.162393714723,10800.0,10800.0,1243.1036299584125,10800.0,2.2737367544323206e-13
q4_3,2025-06-21,68487.69382126558,64892.19626269951,34896.00249151884,35909.24285121686,0.0,24347.133363277142,19397.61178939764,9540.582684340652,7727.871974315929,10800.0,10800.0,4510.911601683775,10800.0,1.1368683772161603e-13
q4_3,2025-09-23,82197.11915008453,77330.67315095708,53220.33019100556,56261.74375772216,0.0,10533.682799915685,942.0361293876875,19675.46651747569,15937.127879155312,10800.0,10800.0,1819.0559838312488,10800.0,2.2737367544323206e-13
q4_3,2025-12-21,93101.25878580591,93043.54124209862,78804.6801497953,80042.13170358562,1057.3934683995694,733.7907688547639,0.0,23301.43243518655,18972.07036020977,10800.0,10691.211013657046,1200.0,10800.0,1.1368683772161603e-13
