variant,date,quantity,10:00-10:10_kwh,12:00-12:10_kwh,14:00-14:10_kwh,16:00-16:10_kwh,18:00-18:10_kwh,20:00-20:10_kwh,day_purchase_kwh,actual_cash_cost_yuan
q2,2025-03-20,initial_plan,0.0,689.1090536013187,0.0,584.3981549079356,696.2942936275588,0.0,75035.09329997716,46605.57606917567
q2,2025-03-20,final_contract,0.0,689.1090536013187,0.0,584.3981549079356,696.2942936275588,0.0,75035.09329997716,46605.57606917567
q2,2025-06-21,initial_plan,0.0,698.3716560157831,0.0,546.8957903664773,672.9432083101622,48.47805663390852,72783.61724788015,44633.55458622218
q2,2025-06-21,final_contract,0.0,698.3716560157831,0.0,546.8957903664773,672.9432083101622,48.47805663390852,72783.61724788015,44633.55458622218
q2,2025-09-23,initial_plan,0.0,405.1518933398478,0.0,484.3164435918104,859.0664800985311,80.4918907215773,70012.53979297695,51590.872577912494
q2,2025-09-23,final_contract,0.0,405.1518933398478,0.0,484.3164435918104,859.0664800985311,80.4918907215773,70012.53979297695,51590.872577912494
q2,2025-12-21,initial_plan,0.0,954.0346012922053,0.0,863.5296225788704,600.1990099669696,0.0,94716.85099022194,63120.30571192157
q2,2025-12-21,final_contract,0.0,954.0346012922053,0.0,863.5296225788704,600.1990099669696,0.0,94716.85099022194,63120.30571192157
q3,2025-03-20,initial_plan,0.0,620.2470102869743,0.0,665.1328851029468,696.4513133658359,0.0,71214.47864789075,43146.10936240352
q3,2025-03-20,final_contract,-0.0,548.2114164877212,-0.0,544.9879792370309,696.4513133658359,-0.0,67237.37755915395,43146.10936240352
q3,2025-06-21,initial_plan,0.0,522.6725231343169,0.0,518.7197821967859,680.9671082738446,27.559810751147552,67214.74201337759,41572.47383141049
q3,2025-06-21,final_contract,-0.0,-0.0,-0.0,518.7197821967859,662.8080888123737,36.97794514397151,64689.09117687153,41572.47383141049
q3,2025-09-23,initial_plan,0.0,482.36963975198296,0.0,659.2330984045236,875.9645807421545,87.28009269258837,80713.74289534162,50639.83694002776
q3,2025-09-23,final_contract,-0.0,467.4606302227671,-0.0,652.8356542274498,875.9645807421545,102.12342450012602,77815.74275943941,50639.83694002776
q3,2025-12-21,initial_plan,0.0,967.0147719049868,0.0,836.6009889205766,537.3599460667883,0.0,93486.1938408039,65731.59484611884
q3,2025-12-21,final_contract,-0.0,902.9418965815825,-0.0,839.5434090857707,693.0972015612194,-0.0,93486.7011207963,65731.59484611884
q4_2,2025-03-20,initial_plan,0.0,689.1090536013187,0.0,584.3981549079356,696.2942936275588,0.0,75035.09800591276,47419.904657952524
q4_2,2025-03-20,final_contract,0.0,689.1090536013187,0.0,584.3981549079356,696.2942936275588,0.0,75035.09800591276,47419.904657952524
q4_2,2025-06-21,initial_plan,0.0,698.3716560157831,0.0,546.8957903664773,672.9432083101622,48.47805663390852,72896.92224092576,36993.88924622047
q4_2,2025-06-21,final_contract,0.0,698.3716560157831,0.0,546.8957903664773,672.9432083101622,48.47805663390852,72896.92224092576,36993.88924622047
q4_2,2025-09-23,initial_plan,0.0,405.1518933398478,0.0,484.3164435918104,25.73314676519783,80.4918907215773,70077.6818625811,53101.797513148646
q4_2,2025-09-23,final_contract,0.0,405.1518933398478,0.0,484.3164435918104,25.73314676519783,80.4918907215773,70077.6818625811,53101.797513148646
q4_2,2025-12-21,initial_plan,0.0,954.0346012922053,0.027162641033170967,863.5296225788704,600.1990099669696,0.0,94363.54002969695,74025.45123392303
q4_2,2025-12-21,final_contract,0.0,954.0346012922053,0.027162641033170967,863.5296225788704,600.1990099669696,0.0,94363.54002969695,74025.45123392303
q4_3,2025-03-20,initial_plan,0.0,620.2470102869743,0.0,665.1328851029468,696.4513133658359,0.0,71187.05043784951,43995.96145077346
q4_3,2025-03-20,final_contract,-0.0,548.2114164877212,-0.0,544.9879792370309,696.4513133658359,-0.0,67231.65772007883,43995.96145077346
q4_3,2025-06-21,initial_plan,0.0,522.6725231343169,0.0,518.7197821967859,680.9671082738446,27.559810751147552,67327.3182137306,35139.39706975061
q4_3,2025-06-21,final_contract,-0.0,-0.0,-0.0,518.7197821967859,662.8080888123737,36.97794514397151,64812.17351761313,35139.39706975061
q4_3,2025-09-23,initial_plan,0.0,482.36963975198296,0.0,659.2330984045236,42.631247408821196,87.28009269258837,80713.74204114161,53065.751216965735
q4_3,2025-09-23,final_contract,-0.0,467.4606302227671,-0.0,652.8356542274498,49.90109471469782,102.12342450012602,77818.08717913108,53065.751216965735
q4_3,2025-12-21,initial_plan,0.0,967.0147719049868,0.026582564275829425,836.6009889205766,537.3599460667883,0.0,93135.11911549151,77842.31182901823
q4_3,2025-12-21,final_contract,-0.0,902.9418965815825,0.026582564275829425,839.5434090857707,693.0972015612194,-0.0,93169.87863342461,77842.31182901823
