variant,date,period,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh
q2,2025-03-20,0:00-4:00,75.93589284350439,61.50807320324111,10800.0,10800.0
q2,2025-03-20,4:00-8:00,1586.4388479032718,4386.352029779773,10800.0,10800.0
q2,2025-03-20,8:00-12:00,6291.457016666666,2777.3772166666668,10800.0,10800.0
q2,2025-03-20,12:00-16:00,1280.6868882445956,254.72278333333304,10800.0,10800.0
q2,2025-03-20,16:00-20:00,2.3241868367161564,5708.5688268197355,10800.0,10800.0
q2,2025-03-20,20:00-24:00,10677.921506007144,2942.430184383793,10800.0,10800.0
q2,2025-06-21,0:00-4:00,0.0,0.0,10800.0,10800.0
q2,2025-06-21,4:00-8:00,344.4542499999999,1382.91905,10800.0,10800.0
q2,2025-06-21,8:00-12:00,1362.8532191358029,0.0,10800.0,10800.0
q2,2025-06-21,12:00-16:00,0.0,0.0,10800.0,10800.0
q2,2025-06-21,16:00-20:00,0.0,4031.5770306385293,10800.0,10800.0
q2,2025-06-21,20:00-24:00,7234.353596047943,1828.2493821603039,10800.0,10800.0
q2,2025-09-23,0:00-4:00,0.0,0.0,10800.0,10800.0
q2,2025-09-23,4:00-8:00,0.0,7185.07410053606,10800.0,10800.0
q2,2025-09-23,8:00-12:00,3463.7686423556397,1458.3148661306072,10800.0,10800.0
q2,2025-09-23,12:00-16:00,5565.563135678317,656.600839884568,10800.0,10800.0
q2,2025-09-23,16:00-20:00,572.3035536211778,5294.034541162359,10800.0,10800.0
q2,2025-09-23,20:00-24:00,10666.666666666668,1823.3002709270659,10800.0,10800.0
q2,2025-12-21,0:00-4:00,134.99241197732312,379.4269953012506,10800.0,10693.352525341194
q2,2025-12-21,4:00-8:00,978.3945668287106,1756.6419967087622,10800.0,10693.352525341194
q2,2025-12-21,8:00-12:00,5389.1026612579,7465.150554117734,10800.0,10693.352525341194
q2,2025-12-21,12:00-16:00,8176.3033829921915,2288.602802547718,10800.0,10693.352525341194
q2,2025-12-21,16:00-20:00,15.479855349308309,6281.247707509587,10800.0,10693.352525341194
q2,2025-12-21,20:00-24:00,10587.408778428653,2403.0748130434877,10800.0,10693.352525341194
q3,2025-03-20,0:00-4:00,75.93589284350439,61.50807320324111,10800.0,10800.0
q3,2025-03-20,4:00-8:00,174.19929473308548,5561.8910191444575,10800.0,10800.0
