date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,64321.365011309324,64321.365011309324,218668.6827910142,218668.6827910142,34583.273311524004,21.217300000000023,0.0,18525.022316666662,11676.771310499993,7200.0,10898.32974,1440.0,11848.49583037037,1.1368683772161603e-13,84,35765.26112795569,182903.42166305849,75
2025-01-02,99273.40289014875,99273.40289014875,62131.382573407136,62131.382573407136,53.744576328014816,862.5328076751861,0.0,28830.509870634916,23251.134478500004,10898.32974,11011.194758571428,1440.0,12938.159736496209,2.2737367544323206e-13,3,61911.48988704348,219.89268636366353,2
2025-01-03,102560.96494194386,102560.96494194386,64452.380374374436,64452.380374374436,0.0,48127.89330610969,4748.769192137688,12765.454524969002,8586.093447939176,11011.194758571428,12960.0,6491.071240719111,12960.0,2.2737367544323206e-13,0,64452.380374374436,0.0,89
2025-01-04,99761.95359168752,99761.95359168752,63004.592069037855,63004.592069037855,0.0,47580.027006798235,5391.131183333334,10658.91070994375,8633.71767505444,12960.0,12960.0,6100.669593560525,12960.0,3.410605131648481e-13,0,63004.592069037855,0.0,96
2025-01-05,99084.2461926886,99084.2461926886,64634.35345981302,64634.35345981302,328.30805827692336,5253.686683242904,0.0,24999.39212182915,21876.23485410652,12960.0,11152.525293972334,1440.0,12960.0,2.2737367544323206e-13,3,62416.60027245156,2217.7531873614703,24
2025-01-06,100017.96106880528,100017.96106880528,64328.229663902996,64328.229663902996,269.1179768218068,4595.461628568371,0.0,27006.48149269345,21947.345175634724,11152.525293972334,11072.419553357857,1440.0,12960.0,2.2737367544323206e-13,5,62559.26803462638,1768.9616292766138,16
2025-01-07,102314.617556814,102314.617556814,64318.71942374745,64318.71942374745,0.0,4419.67458214499,0.0,26693.524960783892,21365.48293611488,11072.419553357857,11357.166533491274,1514.0084936587407,12960.0,2.2737367544323206e-13,0,64318.71942374745,0.0,14
2025-01-08,104677.73217701213,104677.73217701213,66316.08857119532,66316.08857119532,0.0,10090.462732699503,0.0,25566.53766608792,20505.269538441946,11357.166533491274,11583.417612479352,1785.578512553022,12960.0,2.2737367544323206e-13,0,66316.08857119532,0.0,25
2025-01-09,106190.94163983835,106190.94163983835,67563.39510709449,67563.39510709449,0.0,10403.172612565308,0.0,25052.699853677994,20356.486943071613,11583.417612479352,11512.528655154427,1799.47500591695,12960.0,2.2737367544323206e-13,0,67563.39510709449,0.0,30
2025-01-10,106025.39423806203,106025.39423806203,67298.23449616971,67298.23449616971,0.0,52538.262722463965,4461.384850000001,11749.240729317802,8214.160780386399,11512.528655154427,12960.0,6264.445703980626,12960.0,3.410605131648481e-13,0,67298.23449616971,0.0,91
2025-01-11,101862.25062601414,101862.25062601414,64587.17729793609,64587.17729793609,0.0,49608.95274248022,5455.2137833333345,10169.460439652195,8237.26295611828,12960.0,12960.0,5896.72925841282,12960.0,3.410605131648481e-13,0,64587.17729793609,0.0,97
2025-01-12,102464.10295406848,102464.10295406848,66990.63763181187,66990.63763181187,272.5089101261207,9118.441231983803,0.0,23442.075708766053,20689.793476555227,12960.0,11069.208719494747,1440.0,12960.0,2.2737367544323206e-13,3,65132.65124543235,1857.9863863795263,47
2025-01-13,106290.2649340243,106290.2649340243,68588.66319362921,68588.66319362921,235.25571377098905,13730.719164053191,0.0,24244.38660547311,19723.542088397677,11069.208719494747,10974.109899534233,1440.0,12960.0,2.2737367544323206e-13,6,67306.54472333305,1282.1184702961618,35
2025-01-14,107979.20260608506,107979.20260608506,69434.95701383027,69434.95701383027,117.1022218860511,14064.756029025955,0.0,24500.043333982212,19748.807468370385,10974.109899534233,11081.0294908178,1440.0,12960.0,2.2737367544323206e-13,2,68620.59733268098,814.3596811492832,34
2025-01-15,109940.17853183959,109940.17853183959,70433.28766835612,70433.28766835612,37.27288917433323,15177.065496479876,0.0,24413.75211357962,19683.709122378903,11081.0294908178,11182.61847928512,1440.0,12960.0,2.2737367544323206e-13,4,70220.19964327896,213.0880250771391,41
2025-01-16,111391.84754515979,111391.84754515979,71477.27763494244,71477.27763494244,0.0,17655.446849586544,0.0,23682.32108175471,19020.07183618147,11182.61847928512,11363.294301551618,1574.6225069717154,12960.0,3.410605131648481e-13,0,71477.27763494244,0.0,41
2025-01-17,106793.2537916058,106793.2537916058,67887.59979033825,67887.59979033825,0.0,54312.98702127915,6254.176316666665,11052.325570472516,7515.348583479192,11363.294301551618,12960.0,5848.949113329429,12960.0,2.2737367544323206e-13,0,67887.59979033825,0.0,97
