date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,64816.03163252717,64816.03163252717,216443.17218575475,216443.17218575475,34593.63373713949,21.217300000000023,0.0,17346.217299999997,9992.939246999993,6000.0,10508.32974,1200.0,10508.32974,1.1368683772161603e-13,84,37403.14888484667,179040.02330090804,78
2025-01-02,61662.86486228251,61662.86486228251,213057.10530730296,213057.10530730296,33834.0285953524,105.19700079365089,0.0,13224.617488888889,10718.160298714283,10508.32974,10501.41848142857,1200.0,10508.32974,1.1368683772161603e-13,79,36335.5178518528,176721.58745545015,73
2025-01-03,63491.178125668725,63491.178125668725,37868.97820014057,37868.97820014057,87.00372245379235,13875.125802486462,524.7662210420553,17919.079427437115,14245.730969509787,10501.41848142857,10800.0,1200.0,10800.0,2.2737367544323206e-13,2,37457.103890706334,411.87430943422623,68
2025-01-04,62642.4107507601,62642.4107507601,36867.120028465775,36867.120028465775,0.0,13631.502628042741,979.7242819090742,17187.27091653487,13921.689442393246,10800.0,10800.0,1705.3419823487045,10800.0,2.2737367544323206e-13,0,36867.120028465775,0.0,72
2025-01-05,62090.40560934748,62090.40560934748,202563.55388672434,202563.55388672434,31406.53264563607,0.6023643526947353,0.0,14428.154057323733,11967.528466692866,10800.0,10488.084799710396,1200.0,10800.0,1.1368683772161603e-13,75,36390.135516038164,166173.41837068618,70
2025-01-06,64180.72620084427,64180.72620084427,195917.58369154544,195917.58369154544,29367.58193577445,2.0598794924690083,0.0,15104.458223642006,12190.691066515748,10488.084799710396,10536.884904859591,1200.0,10536.884904859591,0.0,72,37672.00771919425,158245.5759723512,66
2025-01-07,65850.79120165997,65850.79120165997,198374.39568036603,198374.39568036603,29551.50285478271,7.559904378133979,0.0,14721.20553877273,11893.37233670817,10536.884904859591,10571.11173785708,1200.0,10571.11173785708,0.0,75,38816.945079389836,159557.45060097618,68
2025-01-08,68161.13751433438,68161.13751433438,179457.10452153234,179457.10452153234,24832.190502769034,78.50735958920313,0.0,17436.252562565736,14047.433221718195,10571.11173785708,10655.479908923802,1200.0,10655.479908923802,1.1368683772161603e-13,63,40434.23490310629,139022.86961842605,57
2025-01-09,69705.53174849597,69705.53174849597,179968.92631720175,179968.92631720175,24725.07633423098,162.35057436616808,0.0,17111.823564661492,13935.12217296738,10655.479908923802,10572.652036044274,1200.0,10655.479908923802,1.1368683772161603e-13,64,41554.98094006159,138413.94537714016,58
2025-01-10,69583.64402890361,69583.64402890361,41348.906708794544,41348.906708794544,0.0,18872.819787633234,2154.3257427510785,15059.045338381482,11993.213556528844,10572.652036044274,10800.0,4253.69216347597,10800.0,2.2737367544323206e-13,0,41348.906708794544,0.0,72
2025-01-11,68863.37553904367,68863.37553904367,40835.10775809202,40835.10775809202,0.0,18522.11026543424,2647.9837999999995,14881.025562856736,12053.630705913954,10800.0,10800.0,4300.893558942857,10800.0,1.1368683772161603e-13,0,40835.10775809202,0.0,77
2025-01-12,70332.7825820742,70332.7825820742,175985.59608253738,175985.59608253738,23386.423960496042,1.3175845251332703,0.0,16956.174423382963,14104.173865337852,10800.0,10389.252686224829,1200.0,10800.0,0.0,58,41879.938003877556,134105.6580786598,54
2025-01-13,72573.0839574271,72573.0839574271,156948.97378564888,156948.97378564888,19286.701392826588,10.641464165509092,0.0,19166.839716401097,15591.65279697959,10389.252686224829,10315.349767675163,1200.0,10389.252686224829,1.1368683772161603e-13,46,43265.076221892305,113683.89756375656,41
2025-01-14,74305.93271609454,74305.93271609454,154738.66502607422,154738.66502607422,18704.90619325424,0.0,0.0,20022.991120342886,16292.465144327438,10315.349767675163,10233.302726731052,1200.0,10315.349767675163,0.0,46,44465.597488953135,110273.06753712108,40
2025-01-15,76464.4537098136,76464.4537098136,151410.40133260793,151410.40133260793,17774.081113536435,20.374220324234102,0.0,20452.180566100556,16304.36289640807,10233.302726731052,10524.306462434808,1200.0,10524.306462434808,0.0,46,46077.018488099755,105333.38284450816,40
2025-01-16,77822.65803445705,77822.65803445705,135941.11697541457,135941.11697541457,15205.102278828599,128.93070617322996,0.0,20676.453169998298,16851.775012885868,10524.306462434808,10408.919856671195,1200.0,10524.306462434808,0.0,38,47239.59944714613,88701.51752826842,31
