date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,62585.887154604214,62585.887154604214,218663.39389980526,218663.39389980526,35369.01883240741,21.217300000000023,0.0,16365.090997024974,10466.572326680005,6000.0,10492.55255088883,1200.0,10492.55255088883,1.1368683772161603e-13,84,35954.64521000121,182708.74868980402,78
2025-01-02,96656.11177812197,96656.11177812197,62884.710380169774,62884.710380169774,371.8550901587336,1313.8713090635774,0.0,27159.912739790416,24331.056447239942,10492.55255088883,10611.522726503139,1200.0,10800.0,2.2737367544323206e-13,5,61100.96737561483,1783.743004554937,17
2025-01-03,99956.21378669895,99956.21378669895,63624.12692459394,63624.12692459394,0.0,48402.688920270935,4864.580716666667,10051.975416661,8867.972633566322,10611.522726503139,10800.0,4940.563405346943,10800.0,2.2737367544323206e-13,0,63624.12692459394,0.0,94
2025-01-04,99143.73626372247,99143.73626372247,62973.014449782204,62973.014449782204,0.0,47881.553219985224,5507.138762524066,9894.419145465303,8904.97723091878,10800.0,10800.0,4889.965645168558,10800.0,3.410605131648481e-13,0,62973.014449782204,0.0,95
2025-01-05,98466.02884371133,98466.02884371133,64731.662796148135,64731.662796148135,359.2012841286488,5225.694523971902,0.0,25841.10742794135,23277.282124073252,10800.0,10778.61726988583,1200.0,10800.0,2.2737367544323206e-13,4,62385.01202210478,2346.6507740433576,21
2025-01-06,97411.72428734839,97411.72428734839,63472.75406479306,63472.75406479306,264.6151812777638,4562.951137690461,0.0,25759.99087543733,23279.08364450164,10778.61726988583,10678.381651947317,1200.0,10800.0,2.2737367544323206e-13,5,61735.203937231694,1737.5501275613697,17
2025-01-07,99714.46600077517,99714.46600077517,63487.98394201483,63487.98394201483,0.0,4472.015747712841,0.0,25601.720075282617,22926.170772220285,10678.381651947317,10800.0,1275.9383487564623,10800.0,2.2737367544323206e-13,0,63487.98394201483,0.0,27
2025-01-08,102222.33876129103,102222.33876129103,65650.42588942188,65650.42588942188,21.757294029647028,10312.022589662416,0.0,24060.72148991607,21654.649340924458,10800.0,10800.0,1532.0554839500314,10800.0,2.2737367544323206e-13,1,65551.441080234,98.98480918787915,39
2025-01-09,103926.63482495533,103926.63482495533,66893.65538315297,66893.65538315297,0.0,10453.878738521798,0.0,23811.999697668656,21430.799727901787,10800.0,10800.0,1544.3847830283232,10800.0,2.2737367544323206e-13,0,66893.65538315297,0.0,49
2025-01-10,103673.18209077588,103673.18209077588,66592.97873148393,66592.97873148393,0.0,52617.976981488,4619.2245,9453.138926212168,8507.825033590947,10800.0,10800.0,4864.1145874793765,10800.0,3.410605131648481e-13,0,66592.97873148393,0.0,99
