date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,83478.26073087219,98349.80639594205,106901.35190273734,106901.35424899052,3862.5556546565285,21.217300000000023,0.0,32097.2549865035,21941.28025257158,6000.0,10508.32920721806,1200.0,10508.32920721806,2.2737367544323206e-13,26,82218.02669933249,24683.325203404853,21
2025-01-02,102081.74120051047,98362.9575400619,77552.63534587681,81650.98838838951,0.0,538.4373910253433,0.0,25231.39239313822,20292.11151076833,10508.32920721806,10669.791793522096,1208.8564712892605,10800.0,2.2737367544323206e-13,0,77552.63534587681,0.0,1
2025-01-03,101244.15572717649,83381.57580644506,55395.48923767511,65607.0412400141,0.0,31050.580244300065,4707.5778,10533.100050780107,8414.623655301773,10669.791793522096,10800.0,4337.799996393921,10800.0,1.9184653865522705e-13,0,55395.48923767511,0.0,95
2025-01-04,98127.11315605996,82257.6249855212,53592.170074075446,62055.096212569515,0.0,30370.33795096093,5137.811183333333,10441.439392422479,8457.56590786221,10800.0,10800.0,3836.164295276598,10800.0,1.7053025658242404e-13,0,53592.170074075446,0.0,94
2025-01-05,97159.5765752024,96478.41169512106,75754.46118967164,77668.97722567216,34.50688950810297,776.8745184385458,0.0,24993.124701239387,20292.790935048775,10800.0,10746.266747727926,1215.3196997459559,10800.0,2.2737367544323206e-13,3,75502.64759446809,251.8135952035476,8
2025-01-06,96859.34355069613,96057.98535298821,75382.90713615537,76952.73673686097,63.115033714120344,749.6137002155726,0.0,25244.57296111579,20505.56737462904,10746.266747727926,10682.41866314432,1200.0,10800.0,2.2737367544323206e-13,4,74991.22480137579,391.6823347795721,19
2025-01-07,96780.26038772505,99014.94623998209,77762.5889293274,77876.61844237978,18.80496950183317,1564.7962020044638,0.0,25243.320285838658,20341.2662283592,10682.41866314432,10800.0,1200.0,10800.0,2.2737367544323206e-13,1,77639.44458654465,123.14434278275453,36
2025-01-08,107452.22248255089,97257.18821562512,78298.83646578138,87952.81683724912,0.0,2948.9777545571806,0.0,25169.52181263833,20387.31266823705,10800.0,10800.0,1220.401615377278,10800.0,2.2737367544323206e-13,0,78298.83646578138,0.0,36
2025-01-09,101263.39079637518,98793.53358457993,76665.76134722625,79021.60377791517,0.0,3204.992477393095,0.0,23668.34205536933,19171.35706484916,10800.0,10800.0,1339.085950671381,10800.0,2.2737367544323206e-13,0,76665.76134722625,0.0,58
2025-01-10,106569.50448925488,83188.1820293025,56314.19427660108,70384.39358495345,0.0,31889.088971300487,3817.444433333333,10478.852147379002,8487.870239376989,10800.0,10800.0,4161.829914867733,10800.0,2.8421709430404007e-13,0,56314.19427660108,0.0,96
2025-01-11,98512.11819257328,81063.82774427245,52950.75981559063,62799.71542188886,0.0,29575.00452929831,4652.241666666666,10425.738526013285,8455.043594372462,10800.0,10788.671790775888,3882.4536211749196,10800.0,2.2737367544323206e-13,0,52950.75981559063,0.0,98
2025-01-12,99844.08906803785,96972.95780132792,78650.40285738003,83226.71904181692,107.02450751624171,1772.3183806400903,0.0,23906.71729029921,19464.94176209512,10788.671790775888,10677.00428305061,1200.0,10800.0,2.2737367544323206e-13,2,77939.59188757709,710.8109698029366,32
2025-01-13,100795.95891326127,94968.3925493499,75529.51498114021,81352.33251069294,169.88945613886847,2603.3638120781984,0.0,22765.482011506247,18504.52078476234,10677.00428305061,10605.359443670304,1200.0,10800.0,2.2737367544323206e-13,5,74717.99155351243,811.5234276277802,54
2025-01-14,100710.81378934668,96156.60156197485,75676.0942215016,80166.1211169624,120.18617559293784,2379.781589718032,0.0,24418.183458137682,19801.490243621247,10605.359443670304,10580.068729748398,1200.0,10800.0,2.2737367544323206e-13,2,74728.83114975819,947.263071743404,40
2025-01-15,98104.89317482688,97849.00979208767,76680.66775806763,77586.16030036793,200.87129501218038,3294.9881594253743,0.0,23715.7975115191,19031.247517177944,10580.068729748398,10778.45591547343,1200.0,10800.0,2.2737367544323206e-13,4,75297.84866456686,1382.8190935007706,56
2025-01-16,97919.62117151907,96509.56035142587,73552.76535076203,75182.95114397317,0.0,2988.7619691558602,0.0,23735.14475652323,19288.497824253227,10778.45591547343,10708.421947174085,1223.890131023632,10800.0,2.2737367544323206e-13,0,73552.76535076203,0.0,48
2025-01-17,96786.60714629608,79413.4808616555,51386.68303540585,60601.78112830929,0.0,29138.133339249733,5565.636403875891,10200.933706946831,8180.3360550836105,10708.421947174085,10800.0,3958.7603677479783,10800.0,1.1368683772161603e-13,0,51386.68303540585,0.0,100
2025-01-18,99709.38793496446,78410.0554409317,51542.24210061782,63800.91351210575,0.0,27802.958230032564,5436.9109825590585,10403.643695780293,8475.966484106882,10800.0,10745.538788305732,3658.489682152002,10800.0,1.1368683772161603e-13,0,51542.24210061782,0.0,99
2025-01-19,95679.15060281404,95666.97291575538,74061.95595613096,75137.45776813282,137.61868780325824,2499.8556699808187,0.0,24824.21965836032,20202.62319144916,10745.538788305732,10639.977379219847,1200.0,10800.0,2.2737367544323206e-13,5,73273.49746509333,788.4584910376255,46
2025-01-20,95754.63542843674,94732.75913962087,72491.06653731284,73989.8658945268,117.86676700871627,2046.6366322401204,0.0,24658.3572808603,19921.44455647083,10639.977379219847,10697.560535915418,1200.0,10800.0,3.410605131648481e-13,6,71820.52426761147,670.5422697013685,37
2025-01-21,96896.50166422444,91539.96305716941,69109.12036694586,73807.42549657599,69.36011661872537,3627.2680549662155,27.84333333333325,23369.190675343678,18890.88357318842,10697.560535915418,10739.961506848707,1200.0,10800.0,2.2737367544323206e-13,5,68793.97064789358,315.1497190522709,48
2025-01-22,101653.40093741601,97136.33074374679,77088.94786642454,81965.77772923654,290.09871230055774,3950.561808789254,0.0,24418.55462687298,19841.451346281545,10739.961506848707,10670.603619610452,1200.0,10800.0,2.2737367544323206e-13,7,75547.51636495432,1541.4315014702051,52
