date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,emergency_slots,settlement_yuan,emergency_yuan,soc_bound_slots
2025-01-01,83478.26073087219,95172.5795249331,120992.88588830431,120992.88589275761,6187.849376166667,21.217300000000023,0.0,27613.393822543694,18309.352238110594,6000.0,10508.32973127755,1200.0,10508.32973127755,2.2737367544323206e-13,27,80206.46365100417,40786.42223730013,22
2025-01-02,102081.74061822201,98198.05591726262,77327.77089452787,81275.38682802062,0.0,414.71936230158656,0.0,24975.21869457348,20077.121406279097,10508.32973127755,10678.113882750245,1217.1781425749584,10786.912273862428,2.2737367544323206e-13,0,77327.77089452787,0.0,0
2025-01-03,101234.90896151867,93876.84589122084,58341.1488307879,62653.91145339599,0.0,41767.498920471015,4817.981269537037,8824.8780474808,7038.45371293467,10678.113882750245,10800.0,4995.681795754798,10800.0,1.1368683772161603e-13,0,58341.1488307879,0.0,101
2025-01-04,98127.11315605996,92219.67182842939,56924.701019163156,60555.754589080505,0.0,40258.45067075321,5518.926122094834,8824.698257445623,7148.005588530956,10800.0,10800.0,4777.0790773217095,10800.0,2.2737367544323206e-13,0,56924.701019163156,0.0,101
2025-01-05,97159.5765752024,96017.4922467591,77625.83041394339,79290.55148844662,479.4060813346135,722.9566522029403,0.0,25109.368923062793,20371.137547172017,10800.0,10763.834756120956,1200.0,10800.0,2.2737367544323206e-13,8,74314.80546746435,3311.024946479024,13
2025-01-06,100748.92890440093,98306.47570767361,76705.01060271145,79012.78270150987,0.0,2974.435669273431,0.0,24563.211678468688,19863.6527400685,10763.834756120956,10800.0,1231.4772039822553,10800.0,2.2737367544323206e-13,0,76705.01060271145,0.0,47
2025-01-07,99911.83263600346,101156.23777147637,79599.79495248213,80052.80376901125,0.0,4014.927720626375,0.0,24075.837372894748,19501.428272044745,10800.0,10800.0,1491.6043842192266,10800.0,2.2737367544323206e-13,0,79599.79495248213,0.0,50
2025-01-08,111016.70266979013,99474.36805190094,81108.90422072404,92052.38174360403,0.0,5410.641904356838,0.0,23882.76226777606,19345.037436898605,10800.0,10800.0,1631.7292491401738,10800.0,2.2737367544323206e-13,0,81108.90422072404,0.0,53
2025-01-09,104762.39977799455,100931.53223893947,79093.20847015243,82649.27796239231,0.0,5499.981587815617,0.0,22842.07649714316,18502.081962685967,10800.0,10800.0,1638.8584298115093,10800.0,2.2737367544323206e-13,0,79093.20847015243,0.0,74
2025-01-10,109681.3504028928,95102.54727254395,60596.15849475381,70590.52829731906,0.0,43925.69110212189,4032.9727666666668,8701.140458361695,7047.923771272968,10800.0,10800.0,4976.854516218838,10800.0,2.2737367544323206e-13,0,60596.15849475381,0.0,100
2025-01-11,100165.92890219695,92813.1485492796,56986.874288489926,61319.80285259134,0.0,40998.069335029526,5319.752871302924,8575.998559371064,6946.558833090561,10800.0,10800.0,4702.379296583582,10800.0,2.2737367544323206e-13,0,56986.874288489926,0.0,102
2025-01-12,102158.5096465571,97888.77277431673,79501.62276604498,85005.07065033754,83.00776202948714,2614.960837801358,0.0,23757.701375215485,19266.77007667062,10800.0,10774.408930282145,1200.0,10800.0,2.2737367544323206e-13,2,78939.69811969863,561.9246463463422,39
2025-01-13,103162.34330686473,96047.84402407154,76447.32040708335,83290.85034115128,140.8986546196483,3645.218826660968,0.0,23011.790756442762,18742.2238710792,10774.408930282145,10660.32742099263,1200.0,10800.0,2.2737367544323206e-13,5,75762.44405947012,684.876347613213,61
2025-01-14,101501.1303889172,97088.21149959421,76418.55231314029,80566.28783178108,149.1221226461348,3300.581344412605,0.0,24064.986869671156,19408.547525176753,10660.32742099263,10753.762797944726,1200.0,10800.0,2.2737367544323206e-13,2,75242.56487176217,1175.987441378123,57
2025-01-15,99034.2565640186,98282.16324009576,76888.41968425433,78233.02981278885,67.92751340781834,3908.418789110065,0.0,22787.97657479177,18416.64754373159,10753.762797944726,10800.0,1200.0,10800.0,2.2737367544323206e-13,2,76395.29944627901,493.1202379753129,64
2025-01-16,98909.591455983,97307.65129865862,74601.14272102085,76616.7544535928,0.0,3769.866216214892,0.0,23492.80859180909,19029.17495936536,10800.0,10800.0,1335.566128482904,10800.0,2.2737367544323206e-13,0,74601.14272102085,0.0,53
2025-01-17,98640.7960322513,91036.77982312597,55324.33927207858,59733.378894734706,0.0,40852.90396579232,5836.970544005688,8725.220245585766,7067.428398924473,10800.0,10800.0,4601.197536263344,10800.0,1.1368683772161603e-13,0,55324.33927207858,0.0,105
2025-01-18,100297.47354135523,89996.89804120739,55067.08060678717,61351.37690363026,0.0,39245.6108291525,5814.085330546806,8919.436130744243,7224.743265902838,10800.0,10800.0,4616.640370370372,10800.0,3.410605131648481e-13,0,55067.08060678717,0.0,106
2025-01-19,96211.6910841821,96814.65006747111,75094.93994187808,75743.3006870242,177.35916206274192,3618.568979695411,0.0,24699.273114793337,20008.972331621553,10800.0,10797.154323734492,1200.0,10800.0,2.5579538487363607e-13,1,73876.65985766912,1218.2800842089741,45
2025-01-20,97997.31851415263,95396.00842178815,73162.01705025646,75828.62793020532,96.21844101028094,2776.394217802441,0.0,24602.94077566223,19954.184680666247,10797.154323734492,10768.48470997913,1200.0,10800.0,2.2737367544323206e-13,2,72565.11883989185,596.8982103646069,37
2025-01-21,98897.91197926289,92733.2552583153,70374.77847756725,75804.46300660449,0.0,4868.237558829633,27.84333333333325,22804.768009474876,18443.49832665587,10768.48470997913,10800.0,1351.2981916051017,10800.0,2.2737367544323206e-13,0,70374.77847756725,0.0,51
2025-01-22,102425.99501675795,98051.67355948951,77817.93730852709,82286.64806005996,285.1698546819689,4890.018324977104,0.0,24165.04810833127,19616.987385803564,10800.0,10751.890646605292,1200.0,10800.0,2.2737367544323206e-13,7,76185.4936455004,1632.44366302669,62
