date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,104055.08829723051,104055.08829723051,67415.10608771673,67415.10608771673,0.0,57933.658753010684,10378.94055,7180.595057297318,5816.281996410828,10800.0,10800.0,4872.319314814817,10800.0,3.410605131648481e-13
2025-02-02,107655.17812968991,107655.17812968991,70806.83761469132,70806.83761469132,57.75983459015356,25473.733061470044,437.19254999999976,18135.44422531595,14689.709822505922,10800.0,10800.0,1200.0,10800.0,3.410605131648481e-13
2025-02-03,107784.05379356637,107784.05379356637,70568.94099986563,70568.94099986563,3.615972067420671,24112.465116076757,80.66648333333319,17776.956138019596,14399.334471795875,10800.0,10800.0,1200.0,10800.0,3.410605131648481e-13
2025-02-04,107993.67249056879,107993.67249056879,70718.13614029369,70718.13614029369,0.0,22913.56370495248,319.04835000000026,18769.45518745431,15203.258701837995,10800.0,10800.0,1373.7254882109987,10800.0,2.984279490192421e-13
2025-02-05,99805.93877873971,99805.93877873971,64340.77878800611,64340.77878800611,0.0,15113.293096485191,41.18235000000004,20542.296573269483,16639.26022434829,10800.0,10800.0,1324.1138022070381,10800.0,2.2737367544323206e-13
2025-02-06,100068.83725899075,100068.83725899075,64572.788515258384,64572.788515258384,0.0,15953.244539553245,1.4008166666668558,20227.024663706216,16383.889977602037,10800.0,10800.0,1397.5258768218785,10800.0,2.2737367544323206e-13
2025-02-07,102756.11756900292,102756.11756900292,66457.43960812749,66457.43960812749,0.0,57100.2322223831,12399.403233333334,7635.8023506306845,6184.999904010853,10800.0,10800.0,4700.647148148148,10800.0,2.2737367544323206e-13
2025-02-08,93429.9539588885,93429.9539588885,59233.733445373546,59233.733445373546,0.0,49163.966186604994,11221.401066666665,7723.284152369311,6255.86016341914,10800.0,10800.0,4680.24522222222,10800.0,2.2737367544323206e-13
2025-02-09,97326.03745499166,97326.03745499166,62833.87984779557,62833.87984779557,63.71795232324439,13902.226322059982,46.93039999999985,20448.330097832993,16563.147379244725,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
2025-02-10,97545.91107704744,97545.91107704744,62604.35719005925,62604.35719005925,0.0,18598.316377440216,1122.0858000000007,18686.897494068675,15188.026177794785,10800.0,10742.623102667603,1205.128085114698,10800.0,2.2737367544323206e-13
2025-02-11,97614.74622394552,97614.74622394552,63198.15732386926,63198.15732386926,91.50599934146655,18019.62318993302,739.1776680108395,19343.23697058233,15616.382738572533,10742.623102667603,10800.0,1200.0,10800.0,2.2737367544323206e-13
2025-02-12,97745.52584524531,97745.52584524531,62857.780674288944,62857.780674288944,9.45654438145591,17934.145684437815,908.65555,19186.552746608628,15541.10772475299,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
2025-02-13,97883.26997707413,97883.26997707413,62947.245849171944,62947.245849171944,0.0,21749.612496837362,1503.4440166666668,17372.286562649726,14071.552115746286,10800.0,10800.0,1227.9560518599253,10800.0,2.2737367544323206e-13
