date,slot,natural_interval,official_template_interval,price_yuan_per_kwh,initial_planning_price_yuan_per_kwh,actual_load_kw,actual_pv_kw,initial_plan_kwh,final_contract_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,settlement_cost_yuan,emergency_cost_yuan,cash_cost_yuan
2025-02-01,1,00:00-00:10,0:10-0:20,0.4248,0.4248,2532.1822,0.0,587.6966270915609,587.6966270915609,0.0,0.0,10800.0,10800.0,0.0,165.66626042489423,0.0,249.65352718849508,0.0,249.65352718849508
2025-02-01,2,00:10-00:20,0:20-0:30,0.4245,0.4245,2492.4439,0.0,597.1615862615365,597.1615862615365,0.0,0.0,10800.0,10800.0,0.0,181.7542695948698,0.0,253.49509336802225,0.0,253.49509336802225
2025-02-01,3,00:20-00:30,0:30-0:40,0.4269,0.4269,2464.3,0.0,596.0844823091821,596.0844823091821,0.0,0.0,10800.0,10800.0,0.0,185.36781564251544,0.0,254.46846549778985,0.0,254.46846549778985
2025-02-01,4,00:30-00:40,0:40-0:50,0.4272,0.4272,2581.7688,0.0,594.3269412540855,594.3269412540855,0.0,0.0,10800.0,10800.0,0.0,164.0321412540855,0.0,253.89646930374533,0.0,253.89646930374533
2025-02-01,5,00:40-00:50,0:50-1:00,0.4271,0.4271,2546.4635,0.0,605.7134613439633,605.7134613439633,0.0,0.0,10800.0,10800.0,0.0,181.30287801063002,0.0,258.70021934000675,0.0,258.70021934000675
2025-02-01,6,00:50-01:00,1:00-1:10,0.4285,0.4285,2436.31,0.0,631.0921022117907,631.0921022117907,0.0,0.0,10800.0,10800.0,0.0,225.04043554512407,0.0,270.4229657977523,0.0,270.4229657977523
2025-02-01,7,01:00-01:10,1:10-1:20,0.4311,0.4311,2620.5011,0.0,639.2628534408759,639.2628534408759,0.0,0.0,10800.0,10800.0,0.0,202.5126701075426,0.0,275.5862161183616,0.0,275.5862161183616
2025-02-01,8,01:10-01:20,1:20-1:30,0.4302,0.4302,2710.7861,0.0,643.6046972441778,643.6046972441778,0.0,0.0,10800.0,10800.0,0.0,191.80701391084455,0.0,276.87874075444535,0.0,276.87874075444535
2025-02-01,9,01:20-01:30,1:30-1:40,0.4279,0.4279,2676.48,0.0,632.757515556053,632.757515556053,0.0,0.0,10800.0,10800.0,0.0,186.67751555605304,0.0,270.7569409064351,0.0,270.7569409064351
2025-02-01,10,01:30-01:40,1:40-1:50,0.4312,0.4312,2830.598,0.0,634.4404346040702,634.4404346040702,0.0,0.0,10800.0,10800.0,0.0,162.6741012707369,0.0,273.5707154012751,0.0,273.5707154012751
2025-02-01,11,01:40-01:50,1:50-2:00,0.4333,0.4333,2688.1558,0.0,642.8083347097496,642.8083347097496,0.0,0.0,10800.0,10800.0,0.0,194.78236804308295,0.0,278.5288514297345,0.0,278.5288514297345
2025-02-01,12,01:50-02:00,2:00-2:10,0.4311,0.4311,2384.42,0.0,656.3170731801079,656.3170731801079,0.0,0.0,10800.0,10800.0,0.0,258.91373984677455,0.0,282.9382902479445,0.0,282.9382902479445
2025-02-01,13,02:00-02:10,2:10-2:20,0.4293,0.4293,2604.5438,0.0,647.9462745784678,647.9462745784678,0.0,0.0,10800.0,10800.0,0.0,213.85564124513445,0.0,278.16333567653624,0.0,278.16333567653624
2025-02-01,14,02:10-02:20,2:20-2:30,0.4324,0.4324,2943.3655,0.0,659.6032942578643,659.6032942578643,0.0,0.0,10800.0,10800.0,0.0,169.04237759119763,0.0,285.2124644371005,0.0,285.2124644371005
2025-02-01,15,02:20-02:30,2:30-2:40,0.4367,0.4367,3019.32,0.0,676.6922609451335,676.6922609451335,0.0,0.0,10800.0,10800.0,0.0,173.47226094513348,0.0,295.5115103547398,0.0,295.5115103547398
2025-02-01,16,02:30-02:40,2:40-2:50,0.4348,0.4348,2844.4369,0.0,678.7613352677242,678.7613352677242,0.0,0.0,10800.0,10800.0,0.0,204.68851860105758,0.0,295.1254285744065,0.0,295.1254285744065
