date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,104182.28925574635,104182.28925574635,57637.145717634936,57637.145717634936,0.0,57982.66293301074,10472.001883333332,7102.360558257647,5752.912052188696,10800.0,10800.0,4820.073918119719,10800.0,3.410605131648481e-13
2025-02-02,107816.1960326425,107816.1960326425,79840.34944451912,79840.34944451912,77.68869539869968,25658.900758595373,437.19254999999976,18113.228786557018,14671.71531711119,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
2025-02-03,107945.32048964617,107945.32048964617,80856.16940949063,80856.16940949063,3.615972067420671,24260.042858240242,80.66648333333319,17849.003263894854,14457.692643754835,10800.0,10800.0,1200.0,10800.0,3.694822225952521e-13
2025-02-04,108154.6359726483,108154.6359726483,81107.33392769202,81107.33392769202,0.0,23058.129629512772,319.04835000000026,18855.75812176597,15273.164078630442,10800.0,10800.0,1373.7254882109987,10800.0,2.2737367544323206e-13
2025-02-05,99827.673304983,99827.673304983,73285.7984562871,73285.7984562871,0.0,15158.36380370834,41.18235000000004,20419.4745681124,16539.774400171045,10800.0,10800.0,1351.8042299220333,10800.0,3.410605131648481e-13
2025-02-06,100089.42347956357,100089.42347956357,73174.86844987058,73174.86844987058,0.0,15962.350355511908,1.4008166666668558,20287.447845885967,16432.832755167634,10800.0,10800.0,1396.59653046846,10800.0,2.2737367544323206e-13
2025-02-07,102844.42694433428,102844.42694433428,55481.71328743716,55481.71328743716,0.0,57215.87206757117,12399.403233333334,7491.957772437457,6068.48579567434,10800.0,10800.0,4630.40528661277,10800.0,2.2737367544323206e-13
2025-02-08,93496.78993486197,93496.78993486197,49438.58110389581,49438.58110389581,0.0,49111.00993954946,11342.19525,7718.010677083366,6251.588648437523,10800.0,10800.0,4536.38062452175,10800.0,2.2737367544323206e-13
2025-02-09,97326.04753542514,97326.04753542514,70347.39226115566,70347.39226115566,63.71795232324439,13891.58289768063,46.93039999999985,20504.401175795287,16608.564952394183,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
2025-02-10,97545.9211660013,97545.9211660013,68344.45968631544,68344.45968631544,0.0,18598.316377440216,1122.0858000000007,18686.950593825866,15188.069188598109,10800.0,10742.623102667603,1205.128085114698,10800.0,3.410605131648481e-13
2025-02-11,97614.7563114464,97614.7563114464,69585.95265939855,69585.95265939855,91.50599934146655,18019.62318993302,739.1776680108395,19343.290062692235,15616.425743181553,10742.623102667603,10800.0,1200.0,10800.0,2.2737367544323206e-13
2025-02-12,97645.44479988456,97645.44479988456,69054.60623852251,69054.60623852251,9.45654438145591,17849.055659060083,908.65555,19107.652641434775,15477.19863956217,10800.0,10800.0,1200.0,10800.0,2.8421709430404007e-13
2025-02-13,97763.332004255,97763.332004255,68094.91710245443,68094.91710245443,0.0,21620.794002519757,1503.4440166666668,17419.026149483845,14109.411181081916,10800.0,10800.0,1273.8472647799088,10800.0,3.410605131648481e-13
2025-02-14,90490.92124145245,90490.92124145245,47062.11839934593,47062.11839934593,0.0,46779.56796737047,12498.177185634278,7428.285640952908,6016.911369171854,10800.0,10800.0,4783.8755925925925,10800.0,2.2737367544323206e-13
2025-02-15,91184.06561333904,91184.06561333904,48110.49830629271,48110.49830629271,0.0,47280.43173934385,13198.642233479994,7499.476529027328,6074.575988512135,10800.0,10800.0,4690.990388888889,10800.0,2.2737367544323206e-13
2025-02-16,95206.50720976769,95206.50720976769,68114.5615094569,68114.5615094569,140.8440990977989,15891.209989191477,518.5538666666661,18737.938700038685,15177.730347031335,10800.0,10800.0,1200.0,10800.0,3.410605131648481e-13
2025-02-17,95315.51041226304,95315.51041226304,67579.8645152968,67579.8645152968,131.05900911112505,19653.807937353966,1445.7844179715544,17018.30974335786,13855.195843975886,10800.0,10721.816720159974,1200.0,10800.0,2.5579538487363607e-13
2025-02-18,95446.7941918296,95446.7941918296,66353.63518179426,66353.63518179426,33.499738742859904,18909.567580612947,974.4408166666659,18076.488411070968,14571.590661111459,10721.816720159974,10800.0,1200.0,10800.0,2.8421709430404007e-13
2025-02-19,94688.32790932505,94688.32790932505,66246.1220362202,66246.1220362202,151.23736413936535,17240.697432497087,1310.019047213947,18686.401288895213,15276.87987847516,10800.0,10643.450183922185,1200.0,10800.0,2.2737367544323206e-13
2025-02-20,95639.97175957474,95639.97175957474,66763.39469280679,66763.39469280679,0.0,19760.033276532933,1408.4893166666657,17565.371571430354,14087.05613838855,10643.450183922185,10800.0,1278.052287063301,10800.0,2.2737367544323206e-13
2025-02-21,90006.39611887789,90006.39611887789,46080.69571756193,46080.69571756193,0.0,47314.625566269635,15787.08679514841,7075.903811192208,5731.482087065688,10800.0,10800.0,4907.910185185186,10800.0,2.2737367544323206e-13
2025-02-22,88853.80496717655,88853.80496717655,46106.0916083944,46106.0916083944,0.0,45990.53275987512,13604.669984975431,7441.259678908797,6027.420339916126,10800.0,10800.0,5094.262735880428,10800.0,3.410605131648481e-13
2025-02-23,92371.85441118041,92371.85441118041,64761.81068163701,64761.81068163701,144.98636073111936,16950.0096697587,696.9691499999999,17997.22507342579,14659.21680460629,10800.0,10709.48389429845,1200.0,10800.0,2.5579538487363607e-13
2025-02-24,93238.29679023975,93238.29679023975,64699.92954227564,64699.92954227564,111.73336072336278,19391.96397877305,2536.760900000001,16825.43439580465,13607.16274028125,10709.48389429845,10733.305139099024,1200.0,10800.0,2.2737367544323206e-13
2025-02-25,93186.64401045354,93186.64401045354,63486.2073389873,63486.2073389873,96.29671958890287,20836.400313747494,3590.5249,16038.366747890024,13003.67446492841,10733.305139099024,10719.308028946249,1200.0,10800.0,2.2737367544323206e-13
2025-02-26,91424.7411782415,91424.7411782415,62613.166102855495,62613.166102855495,0.0,17318.41927825209,1991.952371356017,16983.677480798324,13684.15598549827,10719.308028946249,10800.0,1257.6440274392294,10800.0,3.410605131648481e-13
2025-02-27,93234.30310502174,93234.30310502174,62790.44986676973,62790.44986676973,57.13169958932936,20131.329554836746,2784.8922331059966,17992.7832456228,14574.154428954467,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
2025-02-28,87720.99186866492,87720.99186866492,44177.9457083391,44177.9457083391,0.0,45871.11434924809,17148.47712282637,7414.772876791831,6005.966030201386,10800.0,10800.0,5226.998370370371,10800.0,2.2737367544323206e-13
2025-03-01,86573.79321009012,86573.79321009012,43199.176828835494,43199.176828835494,0.0,45922.08453637468,15549.164337076516,7598.833701608455,6155.055298302849,10800.0,10800.0,5137.926138204692,10800.0,2.2737367544323206e-13
2025-03-02,89046.12165842291,89046.12165842291,62471.25323009823,62471.25323009823,315.64712723314847,13470.972835801978,67.77113333333307,18601.676059376125,15136.958309522035,10800.0,10722.66588730292,1200.0,10800.0,2.2737367544323206e-13
2025-03-03,81017.24181650733,81017.24181650733,54530.35809139385,54530.35809139385,212.94933461070468,4698.168909820481,296.48959999999954,22373.93740482761,18155.551396863375,10722.66588730292,10686.37466624402,1200.0,10800.0,2.2737367544323206e-13
2025-03-04,79707.17937070953,79707.17937070953,52443.15138822471,52443.15138822471,21.875756595535584,5745.0491671935615,783.1469000000003,21160.149922486864,17158.74879570868,10686.37466624402,10665.233156805883,1200.0,10800.0,1.7053025658242404e-13
2025-03-05,82338.32986912239,82338.32986912239,53950.07866321636,53950.07866321636,66.593822272173,11596.556633353843,938.7643499999995,19263.01648245461,15523.885791080556,10665.233156805883,10753.186000925529,1200.0,10800.0,2.2737367544323206e-13
2025-03-06,83521.06030871358,83521.06030871358,54471.004288396456,54471.004288396456,0.0,12116.204043981172,1874.8241499999995,18848.411877172275,15259.033895773196,10753.186000925529,10762.274583965918,1209.7747722896038,10800.0,2.2737367544323206e-13
2025-03-07,75662.64642902429,75662.64642902429,35667.081945206206,35667.081945206206,0.0,35826.18241459507,17219.938466666666,8738.353368413416,7044.113353984194,10762.274583965918,10800.0,5688.1975859605645,10800.0,2.2737367544323206e-13
2025-03-08,72286.45193454405,72286.45193454405,34009.44818247939,34009.44818247939,0.0,32087.15435866233,19330.11382771936,9505.495955240538,7699.451723744834,10800.0,10800.0,5513.2786007452405,10800.0,2.2737367544323206e-13
