date,slot,natural_interval,official_template_interval,price_yuan_per_kwh,initial_planning_price_yuan_per_kwh,actual_load_kw,actual_pv_kw,initial_plan_kwh,final_contract_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,settlement_cost_yuan,emergency_cost_yuan,cash_cost_yuan
2025-02-01,1,00:00-00:10,0:10-0:20,0.3281,0.4379,2532.1822,0.0,584.4107986388177,584.4107986388177,0.0,0.0,10800.0,10800.0,0.0,162.38043197215103,0.0,191.7451830333961,0.0,191.7451830333961
2025-02-01,2,00:10-00:20,0:20-0:30,0.3257,0.42045,2492.4439,0.0,592.3578064855085,592.3578064855085,0.0,0.0,10800.0,10800.0,0.0,176.9504898188418,0.0,192.93093757233012,0.0,192.93093757233012
2025-02-01,3,00:20-00:30,0:30-0:40,0.3041,0.4238,2464.3,0.0,595.186443826925,595.186443826925,0.0,0.0,10800.0,10800.0,0.0,184.46977716025833,0.0,180.9961975677679,0.0,180.9961975677679
2025-02-01,4,00:30-00:40,0:40-0:50,0.3126,0.41885,2581.7688,0.0,597.8903600358726,597.8903600358726,0.0,0.0,10800.0,10800.0,0.0,167.59556003587267,0.0,186.9005265472138,0.0,186.9005265472138
2025-02-01,5,00:40-00:50,0:50-1:00,0.3286,0.4356,2546.4635,0.0,606.6201800744446,606.6201800744446,0.0,0.0,10800.0,10800.0,0.0,182.20959674111134,0.0,199.33539117246252,0.0,199.33539117246252
2025-02-01,6,00:50-01:00,1:00-1:10,0.3438,0.4444,2436.31,0.0,624.8297129914076,624.8297129914076,0.0,0.0,10800.0,10800.0,0.0,218.778046324741,0.0,214.81645532644595,0.0,214.81645532644595
2025-02-01,7,01:00-01:10,1:10-1:20,0.3704,0.44845,2620.5011,0.0,641.7627381644236,641.7627381644236,0.0,0.0,10800.0,10800.0,0.0,205.01255483109026,0.0,237.7089182161025,0.0,237.7089182161025
2025-02-01,8,01:10-01:20,1:20-1:30,0.3746,0.44955,2710.7861,0.0,639.4824966897852,639.4824966897852,0.0,0.0,10800.0,10800.0,0.0,187.6848133564519,0.0,239.55014325999352,0.0,239.55014325999352
2025-02-01,9,01:20-01:30,1:30-1:40,0.3606,0.43815000000000004,2676.48,0.0,630.7848489351582,630.7848489351582,0.0,0.0,10800.0,10800.0,0.0,184.70484893515817,0.0,227.46101652601803,0.0,227.46101652601803
2025-02-01,10,01:30-01:40,1:40-1:50,0.3582,0.45715,2830.598,0.0,632.6910216931467,632.6910216931467,0.0,0.0,10800.0,10800.0,0.0,160.9246883598134,0.0,226.62992397048515,0.0,226.62992397048515
2025-02-01,11,01:40-01:50,1:50-2:00,0.3041,0.4552,2688.1558,0.0,637.5730317566106,637.5730317566106,0.0,0.0,10800.0,10800.0,0.0,189.54706508994394,0.0,193.88595895718527,0.0,193.88595895718527
2025-02-01,12,01:50-02:00,2:00-2:10,0.2537,0.43684999999999996,2384.42,0.0,643.9509331159408,643.9509331159408,0.0,0.0,10800.0,10800.0,0.0,246.54759978260745,0.0,163.37035173151415,0.0,163.37035173151415
2025-02-01,13,02:00-02:10,2:10-2:20,0.3346,0.45215000000000005,2604.5438,0.0,652.836742887252,652.836742887252,0.0,0.0,10800.0,10800.0,0.0,218.74610955391864,0.0,218.4391741700745,0.0,218.4391741700745
2025-02-01,14,02:10-02:20,2:20-2:30,0.3971,0.4562,2943.3655,0.0,669.1855926710259,669.1855926710259,0.0,0.0,10800.0,10800.0,0.0,178.6246760043593,0.0,265.7335988496644,0.0,265.7335988496644
2025-02-01,15,02:20-02:30,2:30-2:40,0.367,0.4481,3019.32,0.0,681.1997550585421,681.1997550585421,0.0,0.0,10800.0,10800.0,0.0,177.97975505854208,0.0,250.00031010648496,0.0,250.00031010648496
2025-02-01,16,02:30-02:40,2:40-2:50,0.3185,0.45835000000000004,2844.4369,0.0,665.871600988059,665.871600988059,0.0,0.0,10800.0,10800.0,0.0,191.7987843213923,0.0,212.0801049146968,0.0,212.0801049146968
2025-02-01,17,02:40-02:50,2:50-3:00,0.3285,0.46835000000000004,2768.3064,0.0,669.8692154245796,669.8692154245796,0.0,0.0,10800.0,10800.0,0.0,208.4848154245796,0.0,220.0520372669744,0.0,220.0520372669744
