variant,date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
q2,2025-03-20,75035.09329997716,75035.09329997716,46605.57606917567,46605.57606917567,105.70281360149318,7315.593542933548,1891.0016666666663,19725.024750404456,15999.785663092676,10800.0,10774.982649705486,1200.0,10800.0,2.2737367544323206e-13
q2,2025-06-21,72783.61724788015,72783.61724788015,44633.55458622218,44633.55458622218,0.0,32545.606811980015,19251.978580864197,8691.007658083821,7039.716203047898,10800.0,10800.0,4514.6698299467835,10800.0,2.2737367544323206e-13
q2,2025-09-23,70012.53979297695,70012.53979297695,51590.872577912494,51590.872577912494,1188.9470325075954,5167.490765808904,0.0,20617.791980748985,16700.411504406682,10800.0,10800.0,1200.0,10800.0,1.1368683772161603e-13
q2,2025-12-21,94716.85099022194,94716.85099022194,63120.30571192157,63120.30571192157,382.22676703367927,1433.232659683732,0.0,24783.718435235332,20155.655204330105,10800.0,10710.174142456119,1200.0,10800.0,1.1368683772161603e-13
q3,2025-03-20,71214.47864789075,67237.37755915395,43146.10936240352,46191.90318570423,53.05163937567386,1006.2311933851136,0.0,21448.61151830449,17373.37532982664,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
q3,2025-06-21,67214.74201337759,64689.09117687153,41572.47383141049,43284.4264112502,0.0,24435.234811128554,19251.980262620847,8774.398437484868,7107.262734362741,10800.0,10800.0,4439.618128485841,10800.0,1.1368683772161603e-13
q3,2025-09-23,80713.74289534162,77815.74275943941,50639.83694002776,52397.8525290133,0.0,10953.223570673648,1032.7522382672728,19542.90193244824,15829.75056528308,10800.0,10800.0,1835.5489666731623,10800.0,2.2737367544323206e-13
q3,2025-12-21,93486.1938408039,93486.7011207963,65731.59484611884,66363.85374725403,979.7443526980588,724.6787291410174,0.0,24965.506841356877,20261.52196367021,10800.0,10756.153975365405,1200.0,10800.0,1.1368683772161603e-13
q4_2,2025-03-20,75035.09800591276,75035.09800591276,47419.904657952524,47419.904657952524,56.96489386554015,7246.639333628595,1891.0016666666663,19831.45104253391,16085.990959717534,10800.0,10774.982649705486,1200.0,10800.0,2.2737367544323206e-13
q4_2,2025-06-21,72896.92224092576,72896.92224092576,36993.88924622047,36993.88924622047,0.0,32347.699615432753,19444.19001862526,9317.32740456715,7547.035197699392,10800.0,10800.0,4746.328487580138,10800.0,2.2737367544323206e-13
q4_2,2025-09-23,70077.6818625811,70077.6818625811,53101.797513148646,53101.797513148646,1183.9917575785037,5160.199306665549,0.0,20972.94068505644,16988.081954895722,10800.0,10800.0,1200.0,10800.0,1.1368683772161603e-13
q4_2,2025-12-21,94363.54002969695,94363.54002969695,74025.45123392303,74025.45123392303,382.22676703367927,1424.7394667841286,0.0,23003.592185171783,18720.346721891954,10800.0,10702.84772010798,1200.0,10800.0,2.2737367544323206e-13
q4_3,2025-03-20,71187.05043784951,67231.65772007883,43995.96145077346,47275.808851290465,48.509921263796514,1006.2313053357982,0.0,21394.602733369305,17329.628214029137,10800.0,10800.0,1200.0,10800.0,2.2737367544323206e-13
q4_3,2025-06-21,67327.3182137306,64812.17351761313,35139.39706975061,36105.71507426424,0.0,24302.91184248745,19390.193110884073,9391.200864429562,7606.872700187945,10800.0,10800.0,4638.087176513015,10800.0,2.2737367544323206e-13
q4_3,2025-09-23,80713.74204114161,77818.08717913108,53065.751216965735,54739.81249768533,0.0,10956.018203263206,1032.7522382672728,19540.53239088037,15827.831236613103,10800.0,10800.0,1835.546789766981,10800.0,2.2737367544323206e-13
q4_3,2025-12-21,93135.11911549151,93169.87863342461,77842.31182901823,78756.7932235692,978.6827032535924,719.8838963631929,0.0,23338.267094673898,18947.371521025554,10800.0,10751.80536184478,1200.0,10800.0,2.2737367544323206e-13
