date,plan_kwh,final_contract_kwh,cash_cost_yuan,alternative_cash_cost_yuan,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh
2025-02-01,49198.28427759873,44873.39000539182,26408.482515580698,28839.591718855147,250.2470972222222,5022.209591982562,2163.294674988544,18736.61527531369,15176.658373004086,10799.999894735283,10799.999894735283,1950.0044263833834,10799.99991412547,1.1368683772161603e-13
2025-02-02,95657.48421178402,91519.33939083452,59864.669020629684,62775.84345466283,98.85561111111102,7403.054766168391,1292.7349048733388,24032.25008395269,19466.12270304878,10799.999894735283,10799.999744682951,1200.0005914620006,10800.0,1.1368683772161603e-13
2025-02-03,97640.0815189478,90974.31140230894,61225.84921357357,65938.75636354512,320.9810865226347,5419.561014287052,1110.0096829089941,23941.080482292266,19392.275190656736,10799.999744682951,10799.999744682951,1200.0005914620008,10800.0,2.2737367544323206e-13
2025-02-04,100624.39630746382,94853.30314583075,62698.57669298882,67103.06346694568,56.055319444444194,7718.573721858349,1384.458535931983,24725.635374319892,20114.17311683503,10799.999744682951,10703.990340643042,1200.0005914620006,10799.999908621008,2.2737367544323206e-13
2025-02-05,93845.32243542455,92189.43771130111,60674.84202067749,62307.20509939745,277.65335555555544,6035.376358434982,1009.7289334547322,24142.896463145866,19469.337671512236,10703.990340643042,10799.999744682953,1200.0005914619906,10799.999912790381,1.1368683772161603e-13
2025-02-06,99222.90217553702,91264.41120644729,61300.33979999574,67266.4482944678,170.88172222222306,5350.034206176382,1170.4240462272783,24440.933997890417,19797.156538291245,10799.999744682953,10799.999744682951,1200.0005914620008,10799.999909661214,1.1368683772161603e-13
2025-02-07,48110.54667227998,43219.48808656825,25300.653447050227,27979.353755900145,262.05398611111127,3566.7179280630635,4251.6351238988755,20302.680100019294,16445.170745968528,10799.999744682951,10799.999894735283,1200.002525901657,10799.99991521169,2.2737367544323206e-13
2025-02-08,38107.5333587944,38521.930871043776,24530.65175946842,24553.739427131717,877.0431246588078,1992.4104314399888,1927.5999481446452,20666.225877386667,16764.424977935385,10799.999894735283,10772.46432001064,1200.0025252474302,10799.999910827937,1.1368683772161603e-13
2025-02-09,90459.84852217542,87828.21860612993,58253.98843124215,60205.89426514813,461.713954110326,3459.944978439162,777.4129519898709,23554.935920573043,19057.777257428475,10772.46432001064,10796.598584716965,1200.0005914619906,10800.0,2.2737367544323206e-13
2025-02-10,87219.48361172731,81986.36204271912,54992.688566172474,58669.00196859289,454.70825679710293,2895.798924236389,741.9344087298721,23863.85995338054,19387.1605701639,10796.598584716965,10732.783020355115,1200.0005914620006,10800.0,2.2737367544323206e-13
